id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2792749477,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-03-29T15:38:15.531Z,2025-03-29T15:38:15Z,,,,,5605938331,30,"xtbkmjbqwop0n2jvmnovidp1, a3p681d64e0k9qse621eqi9xx, 3ks6pxe94hk9l4q46do2c628l, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, 3durmgxmp7tzxsr234mlhot1, 780mdhlnrheqczv6o7p5l8hzo, epnkff9nsysx1eyh90muhmvl6, dmj5oe18blqnxozkfd8q5myfp, 9l9q0mke2dk7pwbzlfqixmcmi, dzdryjruyr4lpu3t7d5pgpn11, 3kdo987cyshholc6o499t5skp, bar5tlyxm2vim2ewqauywgb85, 4iguik2n53ywq82altuqoouwa, 7sez5w47trh4xnngir0epzl04, eq9x5pboy1dehdauroonsw3c9, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 8k4fw4zak03as07nwf1kiktuc",5605938337,130,4,5605938341,194,3durmgxmp7tzxsr234mlhot1,5605938339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605938335,59,"1, 5, 21, 8, 4, 25, 14, 16, 9, 24, 27, 32, 6, 10, 11, 13, 15, 17, 19, 29",5605938333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5605938343,197,4756,5605938345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792778617,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-03-29T15:52:07.573Z,2025-03-29T17:06:06Z,,,,,5606087981,194,8unnvgvft6knxupbp9oxh621h,5606087973,130,2,5606087967,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, c9qk8n9d4130okk9go1brzskq, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, 17zz0x6tm20e9yfh4q5ehaf9x, 7qgiqoaaarr6c2bs4yffqwju2, aw75jdzi3u012jkwj7t0eln2s, 4smb0sorl9dms1k26si6tbqzu, 89ow55pri5urh5lk857koiihg, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, 9niqy9wbsy6b03fa5iyx22gic, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 32xfhqnf7sa2pyyttqac9u385, 47ymu9whey6w61nk2nx7gpv6c",5606087977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5606087971,59,"25, 21, 6, 24, 2, 3, 19, 5, 7, 10, 77, 40, 17, 20, 23, 32, 33, 39, 35",5606087969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5606087989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5606087985,197,5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851581,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-03-29T16:30:58.197Z,2025-03-29T16:30:58Z,,,,,5606467023,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851605,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-03-29T16:30:58.197Z,2025-03-29T16:31:02Z,,,,,5606467153,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851627,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,50.2,50.1,2025-03-29T16:30:58.470Z,2025-03-29T16:31:03Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5606467315,279,S,5606467309,141,50.7,5606467305,56,Back,5606467313,213,3.10,5606467307,140,39.8,5606467311,212,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851735,4,1,1,0,3,9zqn9ugvg64it0lr5z8cq4g9v,1,40.6,51.5,2025-03-29T16:31:01.207Z,2025-03-29T16:31:03Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5606467903,140,22.2,5606467899,56,Back,5606467919,213,2.83,5606467907,141,60.5,5606467913,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851825,5,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,1,22.9,60.0,2025-03-29T16:31:03.063Z,2025-03-29T16:31:06Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5606468393,213,4.68,5606468385,56,Back,5606468389,141,33.9,5606468387,140,22.4,5606468391,212,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792851969,6,1,1,0,7,9zqn9ugvg64it0lr5z8cq4g9v,1,23.8,33.3,2025-03-29T16:31:05.831Z,2025-03-29T16:31:10Z,17jltcnnaha4707duh52hirit,M. Lode,,,5606469123,141,61.7,5606469119,56,Back,5606469121,140,18.9,5606469127,213,1.83,5606469125,212,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792852047,7,1,1,0,12,9zqn9ugvg64it0lr5z8cq4g9v,1,23.6,62.4,2025-03-29T16:31:10.678Z,2025-03-29T16:31:13Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5606469509,212,20.0,5606469505,140,17.9,5606469511,213,1.87,5606469503,56,Back,5606469507,141,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792852181,8,1,1,0,15,9zqn9ugvg64it0lr5z8cq4g9v,0,19.9,90.3,2025-03-29T16:31:13.272Z,2025-03-29T16:31:17Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5606470221,1,,5606470219,213,6.23,5606470215,141,85.1,5606470217,212,73.1,5606470211,56,Left,5606470213,140,89.4,5606470207,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
