id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2813536379,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-11T13:34:52.600Z,2025-05-11T13:34:53Z,,,,,5720382961,197,25078,5720382957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720382953,59,"1, 28, 23, 2, 29, 8, 27, 10, 24, 26, 25, 30, 4, 6, 13, 14, 16, 19, 20, 21",5720382949,30,"2qac7z5bt0grylf296n67j384, 8zvc2mjym1u4uev3t60rhmvis, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, 85mzxov9sqq8gec4e0wwt8h78, 6legryh9z8lvc4bq4s456m09h, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, 5kgu7z697mnyizf6pbaf5j5zo, 25ytwmg2c5xcqp5ta12oznm22, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, amgtzrnw9lmo9o506a0mhzip6, 18m0hkgbsvq0axzflltkyylsl, 6ge1pogxpimmolqpr3gdillhw, 3vezn38wnyk5dtstopwbl0dn8, 9hybzhhut4ac2xinqk7kzzpwp, 6tqclthbz4m9kqiukixum1mhg, wv67qz43iwolqireq2ttfx1w",5720382955,130,13,5720382951,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720382959,194,6legryh9z8lvc4bq4s456m09h,5720382963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813543723,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-11T13:41:11.055Z,2025-05-11T14:33:14Z,,,,,5720422513,194,4kmd502s272vf5wgkx8hk4vl5,5720422517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720422505,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720422509,130,4,5720422507,59,"13, 3, 21, 26, 5, 15, 10, 7, 29, 19, 18, 32, 4, 8, 14, 16, 20, 22, 23, 25",5720422503,30,"aadwnc8p356rns7i7nyttyy5m, 99dbjsnn2lagcp44boyghq9zo, c09quzlxh0hscffbfzbtohi7e, dl3faj0dj1z16de9rb63nxyp5, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, bs0mkqzsgcrk6tswsxj5a83c9, 4p1gi0hkamzt27nm2nf1j90bt, 4rxaizp3a327azz02f6tsop1x, 9401ndwivx7fpdplnv57v965m, 6bri5bqx4wq8jy49qf5hjney2, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 1dvhwhz4n5f9cf4ts58rfu21, 3cplil800nf4znsypobvc22qy, b1xiyyiho37nmdr5cibnkvac4, bmdhp0p1sqy48a5algqcdv6qx, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, 5r3h17uip2r1dlw1tde1e4hzo",5720422515,197,17685,5720422511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584365,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-11T14:32:12.725Z,2025-05-11T14:32:13Z,,,,,5720642323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584357,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-11T14:32:12.725Z,2025-05-11T14:32:12Z,,,,,5720642269,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584405,3,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,50.0,50.0,2025-05-11T14:32:12.726Z,2025-05-11T14:32:16Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5720642525,213,3.11,5720642529,279,S,5720642513,56,Back,5720642517,141,51.0,5720642519,212,22.0,5720642515,140,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584457,4,1,1,0,3,1939bnru25svvgv15k2c7tw2y,0,25.9,48.8,2025-05-11T14:32:16.285Z,2025-05-11T14:38:22Z,85mzxov9sqq8gec4e0wwt8h78,I. Buhari,,,5720642769,56,Right,5720642775,212,56.8,5720642771,140,74.8,5720642779,1,,5720642777,213,5.84,5720642773,141,13.2,5720671371,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813590053,71,1,1,0,4,cfvya7igkhkas7wvsktwz6j8k,0,9.8,91.0,2025-05-11T14:32:16.942Z,2025-05-11T14:39:21Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,,5720676139,3,,5720676143,140,22.9,5720676147,212,14.1,5720676149,213,6.05,5720676141,56,Back,5720676145,141,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584511,5,44,1,0,8,1939bnru25svvgv15k2c7tw2y,1,65.5,20.2,2025-05-11T14:32:21.378Z,2025-05-11T16:35:14Z,5kgu7z697mnyizf6pbaf5j5zo,L. Richtnér,,,5720643117,233,3,5720643099,56,Right,5720643101,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584491,3,44,1,0,8,cfvya7igkhkas7wvsktwz6j8k,0,34.5,79.8,2025-05-11T14:32:21.379Z,2025-05-11T16:35:14Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720643159,233,5,5720642915,285,,5720642913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584515,6,61,1,0,8,1939bnru25svvgv15k2c7tw2y,1,61.1,23.9,2025-05-11T14:32:21.502Z,2025-05-11T15:33:37Z,5kgu7z697mnyizf6pbaf5j5zo,L. Richtnér,,,5720643115,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584557,7,1,1,0,10,1939bnru25svvgv15k2c7tw2y,1,62.8,23.3,2025-05-11T14:32:22.924Z,2025-05-11T14:40:53Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5720643337,140,72.4,5720643341,212,14.2,5720643343,213,5.50,5720643339,141,8.6,5720643335,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584577,8,1,1,0,12,1939bnru25svvgv15k2c7tw2y,1,62.7,8.5,2025-05-11T14:32:25.188Z,2025-05-11T14:41:25Z,8zvc2mjym1u4uev3t60rhmvis,F. Aronsson,,,5720643475,212,10.9,5720643471,140,52.9,5720643473,141,14.0,5720643477,213,2.79,5720643469,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584583,9,1,1,0,13,1939bnru25svvgv15k2c7tw2y,0,52.9,14.0,2025-05-11T14:32:26.173Z,2025-05-11T14:41:23Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5720643493,140,67.7,5720643497,212,22.1,5720643489,155,,5720643499,213,0.79,5720643495,141,37.1,5720643491,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584537,4,43,1,0,14,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-11T14:32:26.794Z,2025-05-11T14:41:41Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5720688079,144,1,5720643253,212,6.5,5720643247,56,Back,5720643255,213,1.49,5720643251,141,91.4,5720643249,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584625,6,1,1,0,18,cfvya7igkhkas7wvsktwz6j8k,1,21.3,70.6,2025-05-11T14:32:31.186Z,2025-05-11T14:41:38Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5720643757,3,,5720643761,140,31.3,5720643765,141,77.9,5720643769,213,0.44,5720643767,212,11.6,5720643759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584635,7,1,1,0,19,cfvya7igkhkas7wvsktwz6j8k,1,31.3,77.9,2025-05-11T14:32:31.827Z,2025-05-11T14:42:05Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,,5720643809,141,85.3,5720643805,56,Back,5720643813,213,2.20,5720643811,212,6.2,5720643807,140,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584637,8,43,1,0,19,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-11T14:32:32.723Z,2025-05-11T14:42:19Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720691763,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584659,9,1,1,0,20,cfvya7igkhkas7wvsktwz6j8k,1,28.7,84.5,2025-05-11T14:32:32.787Z,2025-05-11T14:32:34Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720643941,212,16.1,5720643945,213,3.17,5720643929,56,Back,5720643933,140,13.4,5720643937,141,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584679,10,1,1,0,21,cfvya7igkhkas7wvsktwz6j8k,0,14.0,83.3,2025-05-11T14:32:34.259Z,2025-05-11T14:42:32Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5720644027,213,6.10,5720644023,141,74.4,5720644019,56,Back,5720644017,157,,5720644021,140,45.3,5720644025,212,33.4,5720644029,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584739,11,44,1,0,23,1939bnru25svvgv15k2c7tw2y,1,59.6,22.4,2025-05-11T14:32:36.209Z,2025-05-11T16:35:14Z,85mzxov9sqq8gec4e0wwt8h78,I. Buhari,,,5720644437,233,11,5720644391,56,Center,5720644393,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584681,11,44,1,0,23,cfvya7igkhkas7wvsktwz6j8k,0,40.4,77.6,2025-05-11T14:32:36.210Z,2025-05-11T16:35:15Z,4rxaizp3a327azz02f6tsop1x,C. Kouakou,,,5720644037,56,Back,5720644441,233,11,5720644039,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584691,10,1,1,0,24,1939bnru25svvgv15k2c7tw2y,0,51.7,23.9,2025-05-11T14:32:37.205Z,2025-05-11T14:42:53Z,85mzxov9sqq8gec4e0wwt8h78,I. Buhari,,,5720644089,213,6.05,5720644085,141,15.5,5720644081,56,Right,5720644079,3,,5720644087,212,24.7,5720644083,140,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584729,12,50,1,0,26,cfvya7igkhkas7wvsktwz6j8k,1,39.8,88.2,2025-05-11T14:32:38.883Z,2025-05-11T16:35:30Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5720644337,56,Back,5720644595,233,12,5720644339,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584763,12,7,1,0,26,1939bnru25svvgv15k2c7tw2y,0,60.2,11.8,2025-05-11T14:32:38.884Z,2025-05-11T16:35:30Z,5kgu7z697mnyizf6pbaf5j5zo,L. Richtnér,,,5720644573,233,12,5720644553,285,,5720644551,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584745,13,1,1,0,28,cfvya7igkhkas7wvsktwz6j8k,0,36.9,91.8,2025-05-11T14:32:40.778Z,2025-05-11T14:43:22Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,,5720644429,140,41.9,5720644431,141,86.2,5720644435,213,5.66,5720644433,212,6.5,5720644427,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584799,14,1,1,0,30,1939bnru25svvgv15k2c7tw2y,1,61.7,18.3,2025-05-11T14:32:42.925Z,2025-05-11T14:32:45Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5720644721,56,Right,5720644725,141,2.0,5720644729,213,5.38,5720644727,212,14.1,5720644723,140,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584807,15,3,1,0,32,1939bnru25svvgv15k2c7tw2y,0,65.4,4.7,2025-05-11T14:32:45.389Z,2025-05-11T16:35:31Z,5kgu7z697mnyizf6pbaf5j5zo,L. Richtnér,,,5720701667,233,14,5720644771,56,Right,5720644773,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584897,14,7,1,0,32,cfvya7igkhkas7wvsktwz6j8k,1,34.6,95.3,2025-05-11T14:32:45.390Z,2025-05-11T16:35:31Z,c09quzlxh0hscffbfzbtohi7e,L. Bergquist,,,5720701679,233,15,5720645267,285,,5720645265,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584873,16,83,1,0,36,1939bnru25svvgv15k2c7tw2y,0,49.2,8.8,2025-05-11T14:32:49.549Z,2025-05-11T14:32:53Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5720645387,399,6bri5bqx4wq8jy49qf5hjney2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813584907,17,83,1,0,39,1939bnru25svvgv15k2c7tw2y,0,53.5,8.2,2025-05-11T14:32:52.142Z,2025-05-11T14:32:54Z,5kgu7z697mnyizf6pbaf5j5zo,L. Richtnér,,,5720645523,399,6bri5bqx4wq8jy49qf5hjney2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
