id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820695099,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-06-01T13:36:40.510Z,2025-06-01T14:27:26Z,,,,,5760185995,59,"1, 5, 3, 8, 6, 24, 7, 28, 9, 18, 10, 39, 2, 4, 15, 17, 21, 26, 32",5760186001,194,4w8yuib6lrya8ucle0j9maxka,5760185999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5760186005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760185991,30,"27hg1g0tz1l6mt4eugz841hw5, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 1t67kvg37jg2elz9voix5kcet, 8ebx705t6jvq53z6tjk0ke1d6, 40l3vtezw1ofwk2occi4z5w45, 2e1xnfe3hisebv1tytnkzk178, cntz26i7p4q9fyzh55xswpudw, 5svga5s2fg0n058ms3pndyhhw, 30117qloj2vhnxq4djfktp7u1, 4id56bnddab7qd1mxxsm8ueqc, 2mfqgk982ky4y88ddcljx25n8, dczigjj5jklu5214hs3rw1mvo, 659a50ce2qqdoptyyjyo4whjp, b83hbe115qfbfh703m5idim8k, 6pnws0618dfug6udvka4wv9m2, 3eo81o5kixwopw1onaipk3l78, 9eaa74frc7sjli4e48cey3r4k",5760185993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5760185997,130,4,5760186003,197,25126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820695531,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-06-01T13:37:50.454Z,2025-06-01T14:55:41Z,,,,,5760188353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760188343,59,"1, 14, 17, 24, 5, 4, 22, 10, 18, 7, 19, 35, 6, 11, 15, 16, 25, 27, 39, 26",5760188347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760188345,130,17,5760188349,194,czfitwajt0sayki90i3fk5n85,5760188339,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, 5h6xr50d54zcxnktz7q58oa1h, a0i74nqik3lbi02ngno0m0ys4, 507n9mr51v21q8isz9ll3m6eh, czfitwajt0sayki90i3fk5n85, drzdo6ouxi5n4jafhfajpor85, 15mg49mqn215ce4ojukev0o2x, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, bbrdybdlcobf8cc9epxzeledw, 9dfl060r1skgp74piehh2uvhl, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, b7bmxh0q5aa8646sxmvy0etqs, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw, 43anppywo7v1ydan12sq816ac",5760188351,197,7821,5760188341,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710513,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-06-01T14:31:21.945Z,2025-06-01T14:31:22Z,,,,,5760273923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710519,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-06-01T14:31:21.945Z,2025-06-01T14:31:24Z,,,,,5760273961,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710523,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.0,50.0,2025-06-01T14:31:22.107Z,2025-06-01T14:31:26Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5760273987,212,32.0,5760273981,56,Back,5760273991,279,S,5760273989,213,3.04,5760273985,141,54.6,5760273983,140,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710545,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,1,26.3,53.7,2025-06-01T14:31:26.243Z,2025-06-01T14:31:28Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5760274175,157,,5760274179,140,74.1,5760274183,212,58.5,5760274185,213,5.74,5760274181,141,9.5,5760274177,56,Right,5760274187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710549,5,44,1,0,6,durq4oppf7c08tnbzrlebt0uz,1,71.4,12.6,2025-06-01T14:31:28.850Z,2025-06-01T14:31:32Z,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,5760274197,56,Right,5760274199,286,,5760274201,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710547,3,44,1,0,6,spvvjmk37iid7hsky9g3nce7,0,28.6,87.4,2025-06-01T14:31:28.851Z,2025-06-01T14:31:31Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760274193,285,,5760274207,233,5,5760274191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710567,6,1,1,0,7,durq4oppf7c08tnbzrlebt0uz,1,74.1,9.5,2025-06-01T14:31:29.330Z,2025-06-01T14:31:34Z,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,5760274293,212,14.7,5760274287,56,Center,5760274285,3,,5760274289,140,72.4,5760274295,213,1.69,5760274291,141,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820713497,99,61,1,0,8,durq4oppf7c08tnbzrlebt0uz,0,65.2,21.7,2025-06-01T14:31:30.293Z,2025-06-01T14:41:50Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5760292237,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710561,5,1,1,0,11,spvvjmk37iid7hsky9g3nce7,0,26.2,89.1,2025-06-01T14:31:33.282Z,2025-06-01T14:31:35Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760274263,141,92.1,5760274267,213,0.34,5760274321,286,,5760274317,233,7,5760274265,212,6.1,5760274261,140,31.7,5760274259,56,Back,5760274313,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710569,7,74,1,0,11,durq4oppf7c08tnbzrlebt0uz,1,69.1,15.3,2025-06-01T14:31:33.283Z,2025-06-01T15:24:47Z,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,5760274299,56,Right,5760274325,233,5,5760274301,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710565,6,61,1,0,13,spvvjmk37iid7hsky9g3nce7,1,31.7,92.1,2025-06-01T14:31:35.659Z,2025-06-01T14:33:07Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760274283,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710577,9,1,1,0,14,durq4oppf7c08tnbzrlebt0uz,1,67.4,21.9,2025-06-01T14:31:36.514Z,2025-06-01T14:31:37Z,5svga5s2fg0n058ms3pndyhhw,Mohammad Alsalkhadi,,,5760274355,141,40.7,5760274359,213,1.49,5760274351,56,Center,5760274353,140,68.4,5760274357,212,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710587,10,1,1,0,15,durq4oppf7c08tnbzrlebt0uz,1,68.4,40.7,2025-06-01T14:31:37.262Z,2025-06-01T14:31:38Z,cntz26i7p4q9fyzh55xswpudw,J. Kalu,,,5760274401,140,61.8,5760274407,213,4.15,5760274399,56,Center,5760274403,141,24.7,5760274405,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710599,11,1,1,0,15,durq4oppf7c08tnbzrlebt0uz,0,61.8,24.7,2025-06-01T14:31:37.310Z,2025-06-01T14:44:06Z,5svga5s2fg0n058ms3pndyhhw,Mohammad Alsalkhadi,,,5760274441,56,Center,5760274447,212,11.6,5760274443,140,61.2,5760274449,213,1.62,5760274445,141,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710593,7,8,1,0,15,spvvjmk37iid7hsky9g3nce7,1,31.2,51.0,2025-06-01T14:31:37.882Z,2025-06-01T14:44:10Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760274437,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820713981,112,45,1,0,16,durq4oppf7c08tnbzrlebt0uz,0,75.1,54.5,2025-06-01T14:31:38.334Z,2025-06-01T15:24:35Z,2e1xnfe3hisebv1tytnkzk178,F. Adjei,,,5760295545,233,180,5760295535,56,Center,5760295537,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820713961,180,3,1,0,16,spvvjmk37iid7hsky9g3nce7,1,24.9,45.5,2025-06-01T14:31:38.334Z,2025-06-01T15:24:34Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760295541,233,112,5760295343,56,Back,5760295345,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710605,9,1,1,0,17,spvvjmk37iid7hsky9g3nce7,1,31.5,56.4,2025-06-01T14:31:39.730Z,2025-06-01T14:31:40Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760274505,213,0.89,5760274499,141,61.7,5760274489,56,Back,5760274495,140,34.3,5760274501,212,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710607,10,1,1,0,18,spvvjmk37iid7hsky9g3nce7,0,34.3,61.8,2025-06-01T14:31:40.577Z,2025-06-01T14:31:42Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5760274517,212,2.2,5760274523,233,12,5760274527,286,,5760274513,140,35.9,5760274511,56,Back,5760274515,141,59.6,5760274519,213,5.56,5760274521,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710601,12,74,1,0,18,durq4oppf7c08tnbzrlebt0uz,1,59.0,34.3,2025-06-01T14:31:40.578Z,2025-06-01T14:31:42Z,2e1xnfe3hisebv1tytnkzk178,F. Adjei,,,5760274481,56,Center,5760274485,285,,5760274531,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710629,11,1,1,0,24,spvvjmk37iid7hsky9g3nce7,0,22.4,91.1,2025-06-01T14:31:46.322Z,2025-06-01T14:31:47Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760274671,141,79.0,5760274667,56,Back,5760274673,212,18.1,5760274669,140,37.8,5760274665,155,,5760274675,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710635,13,1,1,0,25,durq4oppf7c08tnbzrlebt0uz,0,60.1,22.5,2025-06-01T14:31:47.441Z,2025-06-01T14:31:48Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5760274705,212,15.5,5760274703,141,9.5,5760274697,3,,5760274707,213,5.68,5760274701,140,72.2,5760274699,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710659,12,1,1,0,27,spvvjmk37iid7hsky9g3nce7,1,31.2,88.6,2025-06-01T14:31:49.392Z,2025-06-01T14:31:51Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5760274839,56,Back,5760274845,141,76.4,5760274851,213,4.69,5760274841,140,31.0,5760274847,212,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710647,14,83,1,0,28,durq4oppf7c08tnbzrlebt0uz,0,66.7,30.7,2025-06-01T14:31:50.050Z,2025-06-01T14:31:54Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5760274977,399,drzdo6ouxi5n4jafhfajpor85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710675,13,1,1,0,29,spvvjmk37iid7hsky9g3nce7,1,31.0,76.4,2025-06-01T14:31:51.714Z,2025-06-01T14:31:53Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5760274921,140,19.7,5760274919,56,Back,5760274927,213,2.42,5760274923,141,91.8,5760274925,212,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710681,14,1,1,0,31,spvvjmk37iid7hsky9g3nce7,1,14.3,94.2,2025-06-01T14:31:53.634Z,2025-06-01T14:31:59Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760274955,140,7.2,5760274959,212,31.6,5760274953,56,Back,5760274961,213,4.47,5760274957,141,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710725,15,1,1,0,37,spvvjmk37iid7hsky9g3nce7,1,8.2,48.2,2025-06-01T14:31:59.091Z,2025-06-01T14:32:01Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5760275223,212,9.8,5760275217,56,Back,5760275225,213,1.51,5760275221,141,62.6,5760275219,140,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710731,16,1,1,0,39,spvvjmk37iid7hsky9g3nce7,1,8.7,62.4,2025-06-01T14:32:01.794Z,2025-06-01T14:32:02Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5760275247,56,Back,5760275253,212,6.0,5760275251,141,60.8,5760275255,213,6.10,5760275249,140,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710743,17,1,1,0,40,spvvjmk37iid7hsky9g3nce7,1,14.3,60.8,2025-06-01T14:32:02.770Z,2025-06-01T14:32:05Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5760275339,212,16.0,5760275335,140,2.4,5760275341,213,3.82,5760275333,56,Back,5760275337,141,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710753,18,1,1,0,43,spvvjmk37iid7hsky9g3nce7,1,2.3,46.0,2025-06-01T14:32:05.042Z,2025-06-01T14:32:06Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5760275397,141,23.6,5760275393,56,Back,5760275401,213,5.17,5760275395,140,9.5,5760275399,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710777,19,1,1,0,44,spvvjmk37iid7hsky9g3nce7,1,9.5,23.6,2025-06-01T14:32:06.818Z,2025-06-01T14:32:12Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760275529,212,12.2,5760275525,140,3.4,5760275531,213,2.12,5760275523,56,Back,5760275527,141,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710799,20,1,1,0,50,spvvjmk37iid7hsky9g3nce7,1,9.6,48.2,2025-06-01T14:32:11.954Z,2025-06-01T14:32:17Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5760275671,212,16.0,5760275667,140,19.6,5760275669,141,66.0,5760275673,213,0.86,5760275665,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710807,21,1,1,0,55,spvvjmk37iid7hsky9g3nce7,1,23.2,62.1,2025-06-01T14:32:17.011Z,2025-06-01T14:32:20Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5760275711,140,24.8,5760275717,213,4.78,5760275709,56,Back,5760275713,141,24.3,5760275715,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710819,22,1,1,0,58,spvvjmk37iid7hsky9g3nce7,1,24.8,24.1,2025-06-01T14:32:20.514Z,2025-06-01T14:32:22Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760275759,140,33.8,5760275761,141,8.6,5760275765,213,5.44,5760275757,56,Back,5760275763,212,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710829,23,1,1,1,0,spvvjmk37iid7hsky9g3nce7,1,33.8,8.5,2025-06-01T14:32:22.306Z,2025-06-01T14:33:28Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5760275821,141,11.7,5760275819,140,20.7,5760275823,212,13.9,5760275817,56,Back,5760275825,213,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710847,24,1,1,1,3,spvvjmk37iid7hsky9g3nce7,1,16.8,13.5,2025-06-01T14:32:24.962Z,2025-06-01T14:32:28Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5760275945,141,37.6,5760275949,213,2.10,5760275941,56,Back,5760275943,140,7.6,5760275947,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710863,25,1,1,1,6,spvvjmk37iid7hsky9g3nce7,1,13.3,46.0,2025-06-01T14:32:28.370Z,2025-06-01T14:32:34Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5760276025,56,Back,5760276029,141,68.1,5760276031,212,15.0,5760276033,213,1.58,5760276027,140,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710879,26,1,1,1,12,spvvjmk37iid7hsky9g3nce7,1,19.0,68.1,2025-06-01T14:32:34.674Z,2025-06-01T14:32:39Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5760276147,140,26.3,5760276153,213,1.16,5760276151,212,19.1,5760276149,141,93.9,5760276145,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710883,27,1,1,1,18,spvvjmk37iid7hsky9g3nce7,1,27.0,93.9,2025-06-01T14:32:40.051Z,2025-06-01T14:32:41Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5760276175,141,86.8,5760276179,213,3.70,5760276171,56,Back,5760276173,140,19.6,5760276177,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710885,28,1,1,1,19,spvvjmk37iid7hsky9g3nce7,1,20.2,85.4,2025-06-01T14:32:41.459Z,2025-06-01T14:32:43Z,5h6xr50d54zcxnktz7q58oa1h,T. Pettersson,,,5760276195,213,4.57,5760276189,140,18.3,5760276193,212,13.7,5760276187,56,Back,5760276191,141,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820710903,29,1,1,1,21,spvvjmk37iid7hsky9g3nce7,1,16.0,62.1,2025-06-01T14:32:43.586Z,2025-06-01T14:32:47Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5760276291,141,30.1,5760276287,56,Back,5760276293,212,22.8,5760276289,140,22.6,5760276295,213,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
