id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value
2820652113,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-06-01T11:18:48.263Z,2025-06-01T19:57:27Z,,,,5759941855,59,"99, 13, 21, 14, 8, 4, 16, 15, 19, 10, 29, 1, 32, 17, 22, 28, 39, 40, 42, 44",5759941865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759941851,30,"42p4op3tm9umpwxyxde5xjefp, 7sez5w47trh4xnngir0epzl04, 3ks6pxe94hk9l4q46do2c628l, 3durmgxmp7tzxsr234mlhot1, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 780mdhlnrheqczv6o7p5l8hzo, eq9x5pboy1dehdauroonsw3c9, e8s9kg55x4npvg6tkuwe5wj6c, bar5tlyxm2vim2ewqauywgb85, 8k4fw4zak03as07nwf1kiktuc, xtbkmjbqwop0n2jvmnovidp1, dzdryjruyr4lpu3t7d5pgpn11, c3okou4sh3r5i7mei6lpjks4q, 5sobeblelb6fl7aafw833iwwk, 8kkbwlif9496fekfraadrws9g, acredwjpf6ou0mdqx2cpxm4no, 6nniogydhwg50fb1tkdd6gnpw, b8d9uwfw2r74ueh6vskteqvx0, 50xax4sqxz9mbfney5xxi47pw",5759941861,194,3durmgxmp7tzxsr234mlhot1,5759941863,197,25091,5759941859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759941853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759941857,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820652195,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-06-01T11:19:54.341Z,2025-06-01T12:14:10Z,,,,5759942387,197,23796,5759942381,130,23,5759942377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759942385,194,4yg4i2wvdz87rrxpn0rqn2xg5,5759942389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759942379,59,"33, 2, 25, 7, 17, 19, 40, 29, 32, 22, 38, 1, 6, 9, 11, 16, 34, 35, 37, 44",5759942383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759942375,30,"7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, carpl05zgalgbsd6gnk3akc89, d58ji96mcnebbci6skc46x9uc, 4yg4i2wvdz87rrxpn0rqn2xg5, as6coaak724tr7igyz1wwlfc9, 27w9691m35wlxy4ujti7sppn8, 8ydeghsg8bdyovqjnr56hz8x5, 329r6jq5pn0m174v3berarh90, dvi2tleym136aqpvwfi4lustm, 7hugqbtot3c8fmxtfqld9l15g, cj7aybqox4kzoicnzea7b64t1, duhvdeeqlyxgt2qve8fjgrpat, 90eoelhr2oxpg3ejr2whwwu6t, 4az5n8aekw6ipzu7fagqhkys4, b9tsqyrv0xp0tt5nzwrmy9gb9, d8b1lbi0r229uiylsfm2lo3ro, 7si8brq1p8o6fvw93hq9v9bmc, 1pkp4fqrgj87mk6x7lhryt6vo, 4tfxftr5a5sqi5muo7sbtgu8k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660443,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-06-01T12:04:15.014Z,2025-06-01T12:04:15Z,,,,5759988813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660451,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-06-01T12:04:15.014Z,2025-06-01T12:04:17Z,,,,5759988853,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660475,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,50.1,49.9,2025-06-01T12:04:15.015Z,2025-06-01T12:04:19Z,8ydeghsg8bdyovqjnr56hz8x5,S. Hakšabanović,,5759988973,56,Back,5759988983,279,S,5759988979,212,18.0,5759988977,141,55.8,5759988975,140,33.4,5759988981,213,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660489,4,1,1,0,4,93ohqui2qgqm8408viwmm1ken,0,32.7,55.1,2025-06-01T12:04:19.079Z,2025-06-01T12:04:22Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,5759989053,212,54.6,5759989043,56,Left,5759989057,1,,5759989049,141,100.0,5759989055,213,0.62,5759989041,155,,5759989045,140,74.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660495,3,5,1,0,7,9zqn9ugvg64it0lr5z8cq4g9v,1,25.9,-2.0,2025-06-01T12:04:22.423Z,2025-06-01T12:15:25Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,5759989075,347,,5759989095,233,5,5759989073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660499,5,5,1,0,7,93ohqui2qgqm8408viwmm1ken,0,74.1,102.0,2025-06-01T12:04:22.423Z,2025-06-01T12:15:25Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,5759989091,347,,5759989099,233,3,5759989089,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660505,6,43,1,0,9,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-06-01T12:04:24.699Z,2025-06-01T12:04:26Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,5759989107,56,Center,5759989159,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820660605,4,57,1,0,22,9zqn9ugvg64it0lr5z8cq4g9v,0,25.9,0.0,2025-06-01T12:04:37.578Z,2025-06-01T12:05:06Z,7sez5w47trh4xnngir0epzl04,S. Jansson,,5759989631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
