id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2810266611,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-04T13:32:41.573Z,2025-05-04T16:30:38Z,,,,,5702337223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702337227,194,chzhwdk4l54t2kf606bkuiaqd,5702337219,130,4,5702337211,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, chzhwdk4l54t2kf606bkuiaqd, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, cyfvxg9z9aqfsoydhz7sr3qxg, 4mroygq2ruxkml5c5j4awwted, au1cbzehllmo4yyt6s0d16rkk, 8hq0so8nzsuzmsffae5nwdwmi, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5702337229,197,22117,5702337217,59,"1, 2, 19, 20, 4, 6, 8, 5, 9, 7, 18, 27, 13, 17, 21, 22, 23, 26, 29, 34",5702337213,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702337233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810272055,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-04T13:35:38.706Z,2025-05-04T14:33:26Z,,,,,5702366733,197,17685,5702366731,194,4p1gi0hkamzt27nm2nf1j90bt,5702366729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702366735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702366725,59,"13, 33, 21, 7, 5, 3, 10, 8, 20, 25, 18, 32, 2, 4, 6, 14, 19, 23, 26, 29",5702366721,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 4p1gi0hkamzt27nm2nf1j90bt, e96wc563k8h3w7049l1nvcokq, 99dbjsnn2lagcp44boyghq9zo, bs0mkqzsgcrk6tswsxj5a83c9, 1dvhwhz4n5f9cf4ts58rfu21, bmdhp0p1sqy48a5algqcdv6qx, 5r3h17uip2r1dlw1tde1e4hzo, 6bri5bqx4wq8jy49qf5hjney2, 3qtrkzdi4nbb6lnsti2v6hgq1, ah01wimesmr2z3ngqdeme6k15, 7x9rvw3fkbdq9ape85thu5pzp, 32bvga34o0hleev3duw2342ui, 3cplil800nf4znsypobvc22qy, 9401ndwivx7fpdplnv57v965m, czrpc1phedwtryuc92x244yqd, dl3faj0dj1z16de9rb63nxyp5, 4rxaizp3a327azz02f6tsop1x",5702366727,130,8,5702366723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810351947,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-04T14:30:54.348Z,2025-05-04T14:30:57Z,,,,,5702803275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810351935,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-04T14:30:54.348Z,2025-05-04T14:30:54Z,,,,,5702803207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352065,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.0,50.0,2025-05-04T14:30:54.349Z,2025-05-04T14:30:59Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5702803847,140,29.2,5702803855,279,S,5702803851,212,21.9,5702803845,56,Back,5702803853,213,3.11,5702803849,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352159,4,1,1,0,5,2nnlsjfbcea40t4jeclcbw9lk,1,27.0,48.8,2025-05-04T14:30:59.567Z,2025-05-04T14:31:03Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5702804305,140,14.1,5702804311,213,3.35,5702804307,141,44.6,5702804303,56,Back,5702804309,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352217,5,1,1,0,8,2nnlsjfbcea40t4jeclcbw9lk,0,14.1,44.6,2025-05-04T14:31:03.039Z,2025-05-04T14:31:05Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5702804609,212,49.9,5702804595,157,,5702804603,140,59.8,5702804615,1,,5702804599,56,Center,5702804613,213,0.28,5702804605,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352269,3,44,1,0,11,cfvya7igkhkas7wvsktwz6j8k,1,37.4,33.0,2025-05-04T14:31:06.114Z,2025-05-04T15:22:53Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5702804981,233,6,5702804931,56,Back,5702804933,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352251,6,44,1,0,11,2nnlsjfbcea40t4jeclcbw9lk,0,62.6,67.0,2025-05-04T14:31:06.115Z,2025-05-04T15:22:53Z,au1cbzehllmo4yyt6s0d16rkk,J. Erabi,,,5702805053,233,3,5702804829,286,,5702804827,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352305,4,1,1,0,12,cfvya7igkhkas7wvsktwz6j8k,0,34.1,31.0,2025-05-04T14:31:06.990Z,2025-05-04T14:31:08Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5702805149,213,5.33,5702805139,3,,5702805145,141,10.3,5702805141,56,Back,5702805143,140,43.6,5702805147,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
