id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2802354235,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-18T12:09:57.919Z,2025-04-18T12:09:58Z,,,,,5658860265,30,"ch1ehgr9guufs2wmz5dbvmvo5, 8fle9xgnd83jth2i2d6vh0k16, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, cyfvxg9z9aqfsoydhz7sr3qxg, chzhwdk4l54t2kf606bkuiaqd, au1cbzehllmo4yyt6s0d16rkk, 2v1tnyzorjyx7pyf3auj73ytw, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, 1ojl4m8rsuzsjufucdotav4es, 8hq0so8nzsuzmsffae5nwdwmi, p4vij77v1xw1bl68jl4jts0k, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5658860275,194,chzhwdk4l54t2kf606bkuiaqd,5658860277,197,22117,5658860269,59,"1, 17, 19, 5, 4, 6, 8, 20, 9, 26, 18, 27, 2, 7, 13, 21, 22, 23, 29, 34",5658860273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658860271,130,4,5658860267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658860279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802354581,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-18T12:11:34.156Z,2025-04-18T12:11:34Z,,,,,5658862135,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658862141,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658862139,197,7821,5658862129,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658862131,59,"1, 14, 17, 5, 13, 4, 10, 22, 18, 6, 19, 35, 7, 9, 15, 16, 25, 26, 27, 39",5658862133,130,13,5658862137,194,czfitwajt0sayki90i3fk5n85,5658862127,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, bbrdybdlcobf8cc9epxzeledw, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, 93qjy2eilbuufwu2kbwpfng7p, 73h2980bizllhxfk8ic8uketw, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, b7bmxh0q5aa8646sxmvy0etqs, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365185,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-18T13:01:26.005Z,2025-04-18T13:01:26Z,,,,,5658924287,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365189,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-18T13:01:26.005Z,2025-04-18T13:01:28Z,,,,,5658924291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365195,3,43,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-18T13:01:26.006Z,2025-04-18T13:01:29Z,au1cbzehllmo4yyt6s0d16rkk,J. Erabi,,,5658924325,213,0.00,5658924347,144,1,5658924321,141,49.9,5658924317,56,Back,5658924323,212,0,5658924319,140,49.9,5658924327,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365205,4,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,49.8,50.9,2025-04-18T13:01:26.085Z,2025-04-18T13:12:03Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5658924375,140,29.8,5658940225,279,S,5658924373,56,Back,5658924377,141,70.0,5658924381,213,2.59,5658924379,212,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365215,5,1,1,0,3,2nnlsjfbcea40t4jeclcbw9lk,1,29.8,70.0,2025-04-18T13:01:29.774Z,2025-04-18T13:01:30Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5658924403,212,21.2,5658924397,56,Back,5658924399,140,11.1,5658924405,213,3.52,5658924401,141,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365229,6,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,0,11.1,58.4,2025-04-18T13:01:30.829Z,2025-04-18T13:01:34Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5658924483,141,48.2,5658924479,56,Center,5658924487,213,6.17,5658924489,1,,5658924477,157,,5658924481,140,67.8,5658924485,212,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365223,3,43,1,0,6,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-18T13:01:32.013Z,2025-04-18T13:13:18Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5658924445,56,Back,5658942689,144,44,5658924447,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365231,7,43,1,0,6,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-18T13:01:32.014Z,2025-04-18T13:13:17Z,au1cbzehllmo4yyt6s0d16rkk,J. Erabi,,,5658924493,56,Center,5658924513,233,3,5658924495,286,0,5658942629,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
