id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2793651771,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-03-30T13:40:11.169Z,2025-03-30T13:40:11Z,,,,,5610767845,130,8,5610767851,197,8325,5610767841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610767849,194,8ntq70sdmvbmmvchvu5jd6ndh,5610767853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610767847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610767837,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, 9d08simhpio6vi217mqtro6ad, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, a2ggooyqi2s1berhxtm75j5qt, ez7xc7vakt4fmabtp61w72yju, 8ntq70sdmvbmmvchvu5jd6ndh, 2k1v6526ielemu1w3rayxdkkq, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, 3kgwkv2bjw5h244h675kmsclx, ekiy8mogxcfn05kwouydbdwr8, 5jv0xmo83g4lbzo8nodqbh46i, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5610767843,59,"40, 37, 14, 9, 19, 2, 10, 11, 5, 15, 8, 30, 3, 4, 7, 20, 21, 22, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793657871,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-03-30T13:44:07.393Z,2025-03-30T14:34:04Z,,,,,5610802225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610802221,194,4kmd502s272vf5wgkx8hk4vl5,5610802217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610802207,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 4p1gi0hkamzt27nm2nf1j90bt, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 1dvhwhz4n5f9cf4ts58rfu21, bmdhp0p1sqy48a5algqcdv6qx, rz5zhw17e2j2xp4h4c40pnca, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, ah01wimesmr2z3ngqdeme6k15, 7x9rvw3fkbdq9ape85thu5pzp, 32bvga34o0hleev3duw2342ui, bs0mkqzsgcrk6tswsxj5a83c9, 3cplil800nf4znsypobvc22qy, 6bri5bqx4wq8jy49qf5hjney2, 9mr7ry4dyqgtk6ejbcmwoyuc4, dl3faj0dj1z16de9rb63nxyp5",5610802213,59,"13, 33, 21, 7, 5, 15, 19, 8, 20, 9, 25, 32, 2, 4, 6, 10, 14, 18, 22, 26",5610802215,130,8,5610802209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610802223,197,17716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711251,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-03-30T14:30:30.480Z,2025-03-30T14:30:33Z,,,,,5611097771,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711243,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-03-30T14:30:30.480Z,2025-03-30T14:30:30Z,,,,,5611097709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711281,3,1,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,49.8,49.9,2025-03-30T14:30:30.481Z,2025-03-30T14:31:23Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5611097927,56,Back,5611097933,212,16.4,5611097937,279,S,5611097929,140,34.2,5611097931,141,49.9,5611097935,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711337,4,1,1,0,4,cfvya7igkhkas7wvsktwz6j8k,0,36.5,49.4,2025-03-30T14:30:34.713Z,2025-03-30T14:42:52Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5611098309,212,41.5,5611098301,157,,5611098311,213,6.00,5611098305,140,74.5,5611098303,56,Center,5611098307,141,32.4,5611098313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793729635,129,12,1,0,6,7hlumphk42363z3i2nry2wrzj,1,21.5,66.9,2025-03-30T14:30:37.223Z,2025-03-30T14:44:17Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5611202525,56,Back,5611202533,213,0.46,5611202777,15,,5611202529,141,77.3,5611202531,212,16.0,5611202527,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711595,3,2,1,0,7,7hlumphk42363z3i2nry2wrzj,1,33.3,77.3,2025-03-30T14:30:38.089Z,2025-03-30T14:44:28Z,ay6mgdylpu08d9pydxejbd562,Í. Sigurgeirsson,,,5611099743,7,8ntq70sdmvbmmvchvu5jd6ndh,5611099749,141,58.7,5611099747,140,53.3,5611099745,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711549,6,55,1,0,7,cfvya7igkhkas7wvsktwz6j8k,1,44.7,41.6,2025-03-30T14:30:38.090Z,2025-03-30T14:47:47Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5611205301,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793711451,5,43,1,0,10,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-03-30T14:30:41.402Z,2025-03-30T14:30:47Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5611098823,286,0,5611099317,144,44,5611098821,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
