id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2814684313,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-14T16:05:14.889Z,2025-05-14T18:43:09Z,,,,,5726794395,59,"1, 2, 21, 34, 4, 6, 26, 8, 23, 20, 18, 27, 7, 13, 15, 16, 17, 22, 29",5726794397,130,8,5726794403,197,22116,5726794399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5726794405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726794393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5726794391,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, b1sztx2xd79amygbbvdia24et, cp6wq9yycl773piudi3we5b84, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, 2v1tnyzorjyx7pyf3auj73ytw, cyfvxg9z9aqfsoydhz7sr3qxg, 5ib5990rsa8y9pf2bu4risjqh, chzhwdk4l54t2kf606bkuiaqd, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, 8hq0so8nzsuzmsffae5nwdwmi, p4vij77v1xw1bl68jl4jts0k, 6mworg0saiu0e3pfg8sqopo2c, 7d1yx4r4omxp8q8n5ft2l9fys, 8fle9xgnd83jth2i2d6vh0k16, 5e2tf15sp7zo70njveqg1b2z9, dwmmr57jqlzrzvkpxr01fnt3o",5726794401,194,chzhwdk4l54t2kf606bkuiaqd,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814685295,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-05-14T16:10:41.668Z,2025-05-14T17:25:50Z,,,,,5726800277,197,5799,5726800269,59,"1, 13, 21, 10, 5, 15, 14, 17, 9, 7, 19, 34, 3, 8, 18, 20, 24, 29, 33, 36",5726800275,194,dsw7clrtv93nkdnppqhfm1n9,5726800279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726800267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5726800265,30,"dsw7clrtv93nkdnppqhfm1n9, dcewpavwmjbplo5fahrzfxega, cdlngd5oc988etq8dp8bh4s7p, 546vmchsyl1wt10pr13r5oup6, 4ly7t29cozmc49wu7avkvv3yt, 6lykrd3hzedl7xljr167gow5x, di0z3rihhkz11o1ccqo2b654a, 451liwl34giar3r8y7b295w16, 9mvwnz2zlvx54nggvvw3l9ega, 21ht7s882is4sisnr8dpf61yi, 2cvq4wyrr0xtelibpirkxqpsk, 6f0gn0s326avqwshii5mvfz10, bdgqvvkpadpthmlm40wa6dcyx, 5k4gsy5f7ius93bbks9wbvqei, 3xrja99d4b0jewfjzelq4rspg, 9jqz6yi90pj9dlvgktdwrsf10, dy1lhnql8cpw307wcxw3brndg, rxypx04u4hxdd5dfwoazp2xg, 77767sxrg8n7kfm58qf1wq32s, es8z1xh8vhhtrjs8jrfbrqrro",5726800273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726800271,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692717,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-05-14T17:01:14.130Z,2025-05-14T17:01:14Z,,,,,5726846803,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692729,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-14T17:01:14.130Z,2025-05-14T17:01:17Z,,,,,5726846843,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692743,3,1,1,0,0,4jg5vd59i24chckyua90dr1lg,1,50.0,50.0,2025-05-14T17:01:14.131Z,2025-05-14T17:01:19Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5726847013,213,2.64,5726847015,279,S,5726847007,140,26.3,5726847005,56,Back,5726847011,212,28.4,5726847009,141,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692753,4,1,1,0,5,4jg5vd59i24chckyua90dr1lg,0,26.5,69.4,2025-05-14T17:01:19.436Z,2025-05-14T17:10:41Z,6lykrd3hzedl7xljr167gow5x,S. Sandberg,,,5726847071,141,34.6,5726847069,140,72.3,5726847077,1,,5726847075,213,5.83,5726847073,212,53.6,5726847067,56,Center,5726847065,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692767,3,44,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,1,26.8,66.8,2025-05-14T17:01:21.579Z,2025-05-14T17:56:40Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726847149,285,,5726847151,233,5,5726847147,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692761,5,44,1,0,7,4jg5vd59i24chckyua90dr1lg,0,73.2,33.2,2025-05-14T17:01:21.580Z,2025-05-14T17:56:40Z,9mvwnz2zlvx54nggvvw3l9ega,R. Ure,,,5726847119,286,,5726847167,233,3,5726847117,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692775,4,1,1,0,8,2nnlsjfbcea40t4jeclcbw9lk,0,25.1,69.0,2025-05-14T17:01:22.188Z,2025-05-14T17:12:27Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5726847199,56,Back,5726847207,213,5.30,5726847205,212,4.6,5726847201,140,27.5,5726847203,141,63.4,5726847197,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814696423,56,1,1,0,11,4jg5vd59i24chckyua90dr1lg,1,76.1,23.1,2025-05-14T17:01:25.325Z,2025-05-14T17:13:26Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5726868627,141,33.6,5726868625,140,79.6,5726868629,212,8.0,5726868623,56,Center,5726868631,213,1.10,5726868621,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
