id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2816349215,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-18T11:02:25.710Z,2025-05-18T12:05:38Z,,,,,5735964111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735964099,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735964101,59,"1, 5, 3, 8, 6, 24, 11, 22, 9, 18, 10, 39, 2, 4, 7, 15, 20, 21, 28, 32",5735964107,194,8wz2m0yj4f0ci90m0wjftnoid,5735964097,30,"27hg1g0tz1l6mt4eugz841hw5, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 1t67kvg37jg2elz9voix5kcet, 8ebx705t6jvq53z6tjk0ke1d6, 6vy0wrnn1jz4tjp9ofxr9qesq, 8wz2m0yj4f0ci90m0wjftnoid, cntz26i7p4q9fyzh55xswpudw, 5svga5s2fg0n058ms3pndyhhw, 30117qloj2vhnxq4djfktp7u1, 4id56bnddab7qd1mxxsm8ueqc, 2mfqgk982ky4y88ddcljx25n8, dczigjj5jklu5214hs3rw1mvo, 40l3vtezw1ofwk2occi4z5w45, 659a50ce2qqdoptyyjyo4whjp, 2e1j4tbrlrgqvm7io0hfu7is5, 6pnws0618dfug6udvka4wv9m2, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k",5735964109,197,25126,5735964105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735964103,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816358171,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-18T11:18:19.478Z,2025-05-18T12:06:16Z,,,,,5736012161,59,"99, 28, 21, 16, 8, 4, 39, 15, 19, 10, 29, 26, 13, 17, 22, 40, 42, 44, 41, 45",5736012167,194,bar5tlyxm2vim2ewqauywgb85,5736012159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736012165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736012171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736012169,197,4756,5736012163,130,8,5736012157,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 780mdhlnrheqczv6o7p5l8hzo, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, acredwjpf6ou0mdqx2cpxm4no, eq9x5pboy1dehdauroonsw3c9, e8s9kg55x4npvg6tkuwe5wj6c, bar5tlyxm2vim2ewqauywgb85, 8k4fw4zak03as07nwf1kiktuc, eydu7p01ud08kscyaav4aaok5, 7sez5w47trh4xnngir0epzl04, c3okou4sh3r5i7mei6lpjks4q, 5sobeblelb6fl7aafw833iwwk, 3m1hinnpok7z1mcesei1ttvkk, b8d9uwfw2r74ueh6vskteqvx0, 50xax4sqxz9mbfney5xxi47pw, 6nniogydhwg50fb1tkdd6gnpw, bz5kz71ga8m9kcznurmnh4iz8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381237,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-18T12:00:30.155Z,2025-05-18T12:00:32Z,,,,,5736134701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381235,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-18T12:00:30.155Z,2025-05-18T12:00:30Z,,,,,5736134679,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381261,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.0,50.0,2025-05-18T12:00:30.156Z,2025-05-18T12:00:33Z,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,5736134825,212,27.1,5736134819,56,Back,5736134829,279,S,5736134823,141,45.5,5736134821,140,24.4,5736134827,213,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381291,4,1,1,0,3,durq4oppf7c08tnbzrlebt0uz,0,26.2,45.5,2025-05-18T12:00:33.573Z,2025-05-18T12:09:43Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5736135023,212,51.9,5736135019,140,71.0,5736135025,213,0.44,5736161773,157,,5736135017,56,Center,5736135027,1,,5736135021,141,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381305,3,12,1,0,7,9zqn9ugvg64it0lr5z8cq4g9v,1,28.6,14.7,2025-05-18T12:00:37.841Z,2025-05-18T12:00:39Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5736135083,141,0.5,5736135079,56,Back,5736135101,15,,5736135087,213,5.03,5736135085,212,10.2,5736135081,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381327,4,1,1,0,11,9zqn9ugvg64it0lr5z8cq4g9v,1,31.7,3.2,2025-05-18T12:00:41.264Z,2025-05-18T12:00:42Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,,5736135223,212,16.0,5736135219,140,16.5,5736135225,213,3.12,5736135215,3,,5736135217,56,Back,5736135221,141,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381335,5,1,1,0,12,9zqn9ugvg64it0lr5z8cq4g9v,1,16.4,3.7,2025-05-18T12:00:42.672Z,2025-05-18T12:10:12Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5736163215,1,,5736163213,157,,5736135257,213,6.27,5736135251,140,25.0,5736135253,141,3.5,5736135249,56,Back,5736135255,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816381349,7,1,1,0,14,9zqn9ugvg64it0lr5z8cq4g9v,1,23.5,4.0,2025-05-18T12:00:44.449Z,2025-05-18T12:00:47Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,,5736135347,213,1.06,5736135341,140,33.7,5736135339,56,Back,5736135343,141,31.9,5736135345,212,21.8,5736135337,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
