id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2801365641,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-14T16:06:24.338Z,2025-04-14T17:50:10Z,,,,,5653207219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653207217,197,10629,5653207211,130,17,5653207215,194,edzj7i715cpyuuumcttajkc0l,5653207213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653207205,30,"2trecv075gi4o78mfuyh4xiol, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, b248ue8bteo0awvp627dokd0, c36ffo382u9flu5foebt4di39, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, eikthetfmpxyeqsisa7vs3hsl, 8uzx6yb66zjn0ke2rwqlg7wus, e9q5sweea5ymhqqwh5tucuzth, c3jxdm8s5meuohhv6hthhdy0a, 87x84p759ef1d1qyffeghbp3p, bdw87kq6mx8rdkkpb9w5nar1m, d7nx940m1bs3895u6vnu8ah1x, 7q001jk9hk2ylv31sv48fv7dg, eacqkvqbdrk7h93nzhwk0jff9, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, bpzni5riygngh99pfbcu8f78q, bzm752bvefjt54nj6ruf9tbtg",5653207207,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5653207209,59,"1, 11, 15, 2, 5, 3, 6, 13, 9, 8, 18, 12, 4, 7, 10, 14, 20, 21, 25, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801366033,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-14T16:07:50.135Z,2025-04-14T17:52:26Z,,,,,5653209495,197,17716,5653209493,194,4kmd502s272vf5wgkx8hk4vl5,5653209491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653209497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653209489,130,6,5653209485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5653209483,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 1dvhwhz4n5f9cf4ts58rfu21, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 32bvga34o0hleev3duw2342ui, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 99dbjsnn2lagcp44boyghq9zo, 7x9rvw3fkbdq9ape85thu5pzp, rz5zhw17e2j2xp4h4c40pnca, bs0mkqzsgcrk6tswsxj5a83c9, 3cplil800nf4znsypobvc22qy, 6bri5bqx4wq8jy49qf5hjney2, 9mr7ry4dyqgtk6ejbcmwoyuc4, dl3faj0dj1z16de9rb63nxyp5",5653209487,59,"13, 33, 21, 8, 5, 15, 19, 7, 20, 6, 25, 32, 3, 4, 9, 10, 14, 18, 22, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380247,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-14T17:01:16.621Z,2025-04-14T17:01:16Z,,,,,5653293671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380251,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-14T17:01:16.621Z,2025-04-14T17:51:36Z,,,,,5653293681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380263,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,49.9,49.7,2025-04-14T17:01:16.625Z,2025-04-14T17:01:19Z,eikthetfmpxyeqsisa7vs3hsl,G. Eyjólfsson,,,5653293735,212,23.3,5653293733,141,39.7,5653293729,56,Back,5653293731,140,28.7,5653293737,213,3.44,5653293739,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380285,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,1,29.8,36.9,2025-04-14T17:01:19.664Z,2025-04-14T17:06:32Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5653293909,212,12.7,5653293907,141,18.3,5653293901,140,30.2,5653293911,213,4.75,5653293897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380319,5,1,1,0,5,6i936isoyj6d0uuxdj537uc97,0,29.8,13.1,2025-04-14T17:01:22.272Z,2025-04-14T17:08:09Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,5653294081,141,26.4,5653294085,212,43.1,5653294089,213,0.21,5653294077,140,69.9,5653294073,157,,5653294075,56,Center,5653294093,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380305,3,44,1,0,8,cfvya7igkhkas7wvsktwz6j8k,1,27.4,71.1,2025-04-14T17:01:24.678Z,2025-04-14T17:48:13Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5653294009,56,Back,5653294011,285,,5653294133,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380327,6,44,1,0,8,6i936isoyj6d0uuxdj537uc97,0,72.6,28.9,2025-04-14T17:01:24.679Z,2025-04-14T17:48:13Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,,5653294125,286,,5653294121,56,Center,5653294137,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801380315,4,12,1,0,8,cfvya7igkhkas7wvsktwz6j8k,1,22.9,66.9,2025-04-14T17:01:25.109Z,2025-04-14T17:01:26Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5653294107,15,,5653294059,213,5.30,5653294053,140,29.2,5653294055,141,52.4,5653294051,56,Back,5653294057,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
