id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2816455891,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-18T13:38:12.712Z,2025-05-18T14:42:02Z,,,,,5736539409,59,"13, 3, 14, 26, 5, 15, 6, 7, 20, 19, 25, 32, 4, 8, 10, 16, 17, 22, 23, 29",5736539405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736539423,194,4kmd502s272vf5wgkx8hk4vl5,5736539435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736539413,130,4,5736539429,197,17685,5736539403,30,"aadwnc8p356rns7i7nyttyy5m, 99dbjsnn2lagcp44boyghq9zo, 3cplil800nf4znsypobvc22qy, dl3faj0dj1z16de9rb63nxyp5, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 32bvga34o0hleev3duw2342ui, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 9401ndwivx7fpdplnv57v965m, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 1dvhwhz4n5f9cf4ts58rfu21, bs0mkqzsgcrk6tswsxj5a83c9, b1xiyyiho37nmdr5cibnkvac4, 58macwlwpfn7ee9ubfzio4idw, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, 4rxaizp3a327azz02f6tsop1x",5736539417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2816480297,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-18T13:55:45.726Z,2025-05-18T13:55:45Z,,,,,5736658413,30,"kod0xzh15xxa52700ufz7kyd, 4nx0njulsjs2hegiee011dxpl, f1qvh9qszr743tj8zb3kcvaei, c8uz8jj2xzomls23oz4rcuiqy, 6nh2bvbggqul1m3t1gv9k7pqs, 7wesnkwthjcluc9b83s8ab1g4, 6ivuk1j53ybmv5hhzp55ybzzd, 7ctf2925tg7mc3a05unhxsd1w, 4psxc0t1nm2o7a984utuzwciy, bi57bgog4e5pmkde5tl4bvxg4, 1bufat0ubgsc88lkybvxb1bs9, f10q2mnvhe30a9au85fjnnt3o, 5ijbt4bhic3y1zasavky12311, 7d9e5tvw9ghew36m4mh2nr23u, aybt4s09eeonv6pdk2v9c9v6c, cpamr0c0qq5lf5u6de1cbvgx6, 3s86186xnukjddv1sqf3pvl9m, 1a112nxaob06fjynlat625u96, b3jbj4ayr4x1x0ynt9dcu5u6s, bi5afrvo7cv1elj9wxyn5vsut",5736658421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736658417,59,"1, 12, 2, 7, 22, 4, 9, 32, 19, 16, 26, 5, 6, 8, 10, 11, 13, 18, 24, 25",5736658425,197,23548,5736658423,194,kod0xzh15xxa52700ufz7kyd,5736658419,130,4,5736658415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736658427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2816523591,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-18T14:30:48.564Z,2025-05-18T14:30:51Z,,,,,5736879261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523585,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-18T14:30:48.564Z,2025-05-18T14:30:49Z,,,,,5736879199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523621,3,1,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,50.0,50.0,2025-05-18T14:30:48.565Z,2025-05-18T14:30:52Z,1bufat0ubgsc88lkybvxb1bs9,C. Amatkarijo,,,5736879417,213,2.44,5736879413,141,73.0,5736879419,279,S,5736879415,212,24.4,5736879411,140,32.2,5736879409,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523643,4,1,1,0,3,33hzf6j2rd9r50g2n4agsytkd,0,32.2,73.0,2025-05-18T14:30:51.582Z,2025-05-18T14:30:55Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5736879553,56,Right,5736879563,1,,5736879557,141,20.3,5736879551,157,,5736879561,213,5.47,5736879559,212,49.3,5736879555,140,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523685,3,44,1,0,5,cfvya7igkhkas7wvsktwz6j8k,1,32.1,82.4,2025-05-18T14:30:54.461Z,2025-05-18T15:20:43Z,5r3h17uip2r1dlw1tde1e4hzo,Y. Sanyang,,,5736879785,56,Back,5736879789,285,,5736879835,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523649,5,44,1,0,5,33hzf6j2rd9r50g2n4agsytkd,0,67.9,17.6,2025-05-18T14:30:54.462Z,2025-05-18T15:20:43Z,bi57bgog4e5pmkde5tl4bvxg4,R. Niklasson Petrovic,,,5736879839,233,3,5736879585,56,Right,5736879587,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523695,4,12,1,0,6,cfvya7igkhkas7wvsktwz6j8k,1,26.2,86.9,2025-05-18T14:30:54.575Z,2025-05-18T14:32:45Z,5r3h17uip2r1dlw1tde1e4hzo,Y. Sanyang,,,5736879871,212,9.7,5736879875,213,1.31,5736879909,167,,5736879867,141,100.0,5736879857,56,Back,5736879883,15,,5736879861,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523707,5,5,1,0,9,cfvya7igkhkas7wvsktwz6j8k,0,30.0,101.0,2025-05-18T14:30:57.919Z,2025-05-18T15:18:14Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5736879905,347,,5736879941,233,6,5736879903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523669,6,5,1,0,9,33hzf6j2rd9r50g2n4agsytkd,1,70.0,-1.0,2025-05-18T14:30:57.919Z,2025-05-18T14:31:39Z,bi57bgog4e5pmkde5tl4bvxg4,R. Niklasson Petrovic,,,5736879933,233,5,5736879681,56,Right,5736879683,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523737,7,1,1,0,11,33hzf6j2rd9r50g2n4agsytkd,1,65.8,0.0,2025-05-18T14:30:59.791Z,2025-05-18T14:31:02Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5736880079,212,11.6,5736880075,140,64.2,5736880071,107,,5736880081,213,1.72,5736880077,141,14.9,5736880073,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523765,8,1,1,0,12,33hzf6j2rd9r50g2n4agsytkd,1,64.2,14.9,2025-05-18T14:31:01.502Z,2025-05-18T14:31:02Z,c8uz8jj2xzomls23oz4rcuiqy,J. Åberg,,,5736880193,140,66.5,5736880191,56,Right,5736880197,212,6.1,5736880199,213,5.12,5736880195,141,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523789,9,1,1,0,13,33hzf6j2rd9r50g2n4agsytkd,1,66.5,6.7,2025-05-18T14:31:02.302Z,2025-05-18T14:31:04Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5736880333,56,Right,5736880339,212,5.5,5736880341,213,2.30,5736880335,140,63.0,5736880337,141,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523809,10,1,1,0,15,33hzf6j2rd9r50g2n4agsytkd,1,63.0,12.8,2025-05-18T14:31:04.223Z,2025-05-18T14:31:07Z,c8uz8jj2xzomls23oz4rcuiqy,J. Åberg,,,5736880471,212,23.8,5736880467,140,40.4,5736880465,56,Back,5736880469,141,15.6,5736880473,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523835,11,1,1,0,18,33hzf6j2rd9r50g2n4agsytkd,1,41.3,21.2,2025-05-18T14:31:06.751Z,2025-05-18T14:31:10Z,6nh2bvbggqul1m3t1gv9k7pqs,A. Čardaklija,,,5736880687,140,39.5,5736880693,213,1.69,5736880691,212,15.6,5736880685,56,Back,5736880689,141,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523869,12,1,1,0,21,33hzf6j2rd9r50g2n4agsytkd,1,41.0,39.1,2025-05-18T14:31:09.588Z,2025-05-18T14:31:14Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5736880925,212,43.5,5736880917,157,,5736880929,1,,5736880921,140,81.9,5736880923,141,29.2,5736880919,56,Center,5736880927,213,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523875,13,61,1,0,24,33hzf6j2rd9r50g2n4agsytkd,1,85.2,23.1,2025-05-18T14:31:13.525Z,2025-05-18T14:31:14Z,bi57bgog4e5pmkde5tl4bvxg4,R. Niklasson Petrovic,,,5736880957,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523885,6,83,1,0,26,cfvya7igkhkas7wvsktwz6j8k,0,20.9,83.6,2025-05-18T14:31:15.302Z,2025-05-18T14:31:20Z,5r3h17uip2r1dlw1tde1e4hzo,Y. Sanyang,,,5736881299,399,6ivuk1j53ybmv5hhzp55ybzzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523925,14,1,1,0,28,33hzf6j2rd9r50g2n4agsytkd,1,77.5,10.1,2025-05-18T14:31:17.054Z,2025-05-18T14:31:19Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5736881253,140,62.2,5736881257,212,20.2,5736881259,213,2.49,5736881255,141,28.2,5736881251,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523955,15,1,1,0,30,33hzf6j2rd9r50g2n4agsytkd,1,62.2,28.2,2025-05-18T14:31:18.799Z,2025-05-18T14:31:21Z,c8uz8jj2xzomls23oz4rcuiqy,J. Åberg,,,5736881441,141,7.7,5736881437,56,Right,5736881445,213,5.12,5736881443,212,15.2,5736881439,140,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816526653,35,83,1,0,31,cfvya7igkhkas7wvsktwz6j8k,1,31.5,83.8,2025-05-18T14:31:20.187Z,2025-05-18T14:35:16Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5736901665,399,4nx0njulsjs2hegiee011dxpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524035,16,1,1,0,32,33hzf6j2rd9r50g2n4agsytkd,1,69.6,8.9,2025-05-18T14:31:21.326Z,2025-05-18T14:31:27Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5736881885,140,72.5,5736881889,212,4.2,5736881891,213,5.52,5736881887,141,4.6,5736881883,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816523991,7,83,1,0,34,cfvya7igkhkas7wvsktwz6j8k,0,24.8,85.4,2025-05-18T14:31:23.160Z,2025-05-18T14:34:05Z,5r3h17uip2r1dlw1tde1e4hzo,Y. Sanyang,,,5736882339,399,6ivuk1j53ybmv5hhzp55ybzzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524097,17,1,1,0,38,33hzf6j2rd9r50g2n4agsytkd,1,65.9,4.9,2025-05-18T14:31:26.927Z,2025-05-18T14:31:31Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5736882251,56,Back,5736882255,141,9.5,5736882259,213,3.02,5736882257,212,25.5,5736882253,140,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524105,18,1,1,0,42,33hzf6j2rd9r50g2n4agsytkd,1,41.5,12.9,2025-05-18T14:31:30.991Z,2025-05-18T14:31:34Z,6nh2bvbggqul1m3t1gv9k7pqs,A. Čardaklija,,,5736882309,56,Back,5736882313,141,42.7,5736882315,212,28.9,5736882311,140,21.9,5736882317,213,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524229,19,1,1,0,45,33hzf6j2rd9r50g2n4agsytkd,1,21.9,42.5,2025-05-18T14:31:34.319Z,2025-05-18T14:31:40Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5736883025,212,16.0,5736883019,56,Back,5736883021,140,26.9,5736883027,213,1.24,5736883023,141,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524245,20,1,1,0,51,33hzf6j2rd9r50g2n4agsytkd,0,28.7,51.2,2025-05-18T14:31:40.286Z,2025-05-18T14:31:42Z,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,,,5736883125,141,34.2,5736883121,56,Center,5736883127,212,61.1,5736883119,157,,5736883135,1,,5736883123,140,85.8,5736883131,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524445,9,1,1,1,1,cfvya7igkhkas7wvsktwz6j8k,1,11.7,50.0,2025-05-18T14:31:50.296Z,2025-05-18T14:31:53Z,aadwnc8p356rns7i7nyttyy5m,R. Wallinder,,,5736884183,212,31.9,5736884177,56,Back,5736884181,141,92.9,5736884185,213,1.15,5736884179,140,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
