id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2794296135,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-03-31T16:15:49.289Z,2025-03-31T16:15:49Z,,,,,5614313707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614313719,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614313709,59,"1, 6, 12, 18, 4, 24, 21, 8, 28, 9, 11, 30, 2, 10, 14, 19, 22, 25, 26, 32",5614313717,197,23548,5614313713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614313715,194,5ijbt4bhic3y1zasavky12311,5614313711,130,4,5614313705,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, 4nx0njulsjs2hegiee011dxpl, 1a112nxaob06fjynlat625u96, 7wesnkwthjcluc9b83s8ab1g4, b3jbj4ayr4x1x0ynt9dcu5u6s, bqid9rom7z7zb9kf10ft9ao7o, 7d9e5tvw9ghew36m4mh2nr23u, 6dljoel48bfd9nsmmnkck3owl, 6ivuk1j53ybmv5hhzp55ybzzd, cpamr0c0qq5lf5u6de1cbvgx6, 84w4t01s1bykvkanduz20q4q2, f1qvh9qszr743tj8zb3kcvaei, aybt4s09eeonv6pdk2v9c9v6c, 8avm1vadcnc6nkjhwmok5dyhh, 4psxc0t1nm2o7a984utuzwciy, 6nh2bvbggqul1m3t1gv9k7pqs, bi5afrvo7cv1elj9wxyn5vsut, 1bufat0ubgsc88lkybvxb1bs9, 7ctf2925tg7mc3a05unhxsd1w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794298731,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-03-31T16:30:10.082Z,2025-03-31T17:09:29Z,,,,,5614329553,59,"15, 17, 22, 3, 4, 32, 33, 7, 9, 8, 24, 5, 10, 11, 12, 19, 43, 21, 26, 13",5614329557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614329563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614329559,194,99i96gbkvesmh3wspv8rl1ln9,5614329561,197,22091,5614329551,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614329549,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, 6oaqk4pdojnlefa3zubsysmvp, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, 8ez1awevbmegf1z0kgjtp048a, 99i96gbkvesmh3wspv8rl1ln9, azvjk1schroxi2dq22hwnqr1m, alxccjq2y6il5yjw108a0axnt, 67w8t2dyivgz6muc431ofsb2s, b0rem4wo1p6sumrp6mb77f11w, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, 7jdeesmfaskq8lruce2hnum1g, eyqeg6wzhjibkt4zs5dfgzc9h, 3hz7fbme9sm4xkj5fo3moeluc, 2l14t89f2n27b28xqfguvr4es, 642iajthdnr0zophv7ys35q1g, cnv6xdzm10qnklag4gbim6sph",5614329555,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312225,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-03-31T17:11:37.956Z,2025-03-31T17:11:40Z,,,,,5614407635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312221,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-03-31T17:11:37.956Z,2025-03-31T17:11:38Z,,,,,5614407625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312249,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,50.1,49.9,2025-03-31T17:11:37.957Z,2025-03-31T17:18:45Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5614407769,212,20.9,5614407771,213,3.63,5614407763,56,Back,5614407767,141,35.4,5614407765,140,32.6,5614407773,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312297,4,1,1,0,3,5mbo4f0vps12dr0fcvjn3wyp5,1,32.8,35.5,2025-03-31T17:11:41.281Z,2025-03-31T17:11:46Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,,5614408007,56,Right,5614408013,212,53.1,5614408009,140,78.8,5614408017,1,,5614408015,213,5.85,5614408011,141,2.9,5614408005,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312305,5,44,1,0,6,5mbo4f0vps12dr0fcvjn3wyp5,1,81.3,3.2,2025-03-31T17:11:44.106Z,2025-03-31T18:15:52Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5614408069,286,,5614408067,56,Right,5614408071,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312279,3,44,1,0,6,33hzf6j2rd9r50g2n4agsytkd,0,18.7,96.8,2025-03-31T17:11:44.107Z,2025-03-31T18:15:53Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5614407921,285,,5614408075,233,5,5614407919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312313,6,1,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,0,78.8,2.9,2025-03-31T17:11:44.992Z,2025-03-31T17:11:54Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5614408107,140,100.0,5614408103,3,,5614408111,212,30.0,5614408109,141,30.6,5614408105,56,Center,5614408113,213,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794312331,4,56,1,0,9,33hzf6j2rd9r50g2n4agsytkd,1,4.1,60.8,2025-03-31T17:11:47.393Z,2025-03-31T17:11:55Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,,5614408175,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
