id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2805483681,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-24T16:06:19.060Z,2025-04-24T16:06:19Z,,,,5676038275,59,"45, 18, 27, 13, 5, 3, 29, 20, 11, 9, 7, 40, 4, 10, 12, 14, 19, 31, 32, 36",5676038271,30,"d5jgrd0clyl4rskqu6j8hcwkp, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, bhaqw4112j43c753dlxhy61ud, 5jos8v6hr086q8at9iuyhwded, 23p0dby12ymf55wwi0xz2fnx1, a3jetivxcnpp4z36nhboz5ysq, dkc69jkzi4e9ysgmwldz249as, 1utyorvutnk14hp6dr079t1m2, 3bepi58wwope38a478y7jwlxw, 370kkwnidcltqyooh51z6uzqi, 7yocn8krssddsjcnmpe1y9b10, ebhyx7fm13sy9qjf4vylzg89h, dvl8q7nwvz3o6d73220d1ag2d, csd7qb9u0a9am2ltse9w31uz8, 6051gs5j7d6zss35h2twoqnd, 9jszz4regvdvl0v4i8s41jbah, 8awq0zw9oyj9gy3ruxv105jis, 2zjl0xu23wp9j6ciq25irsq38, 1kmf6cvipol87w83cf6gb504",5676038293,197,5157,5676038283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676038273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676038299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676038289,194,23p0dby12ymf55wwi0xz2fnx1,5676038279,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805483827,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-24T16:07:12.324Z,2025-04-24T16:59:43Z,,,,5676039119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5676039127,194,bmdhp0p1sqy48a5algqcdv6qx,5676039121,59,"13, 33, 21, 26, 5, 3, 6, 8, 20, 10, 18, 32, 4, 9, 14, 16, 17, 22, 23",5676039125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5676039129,197,28846,5676039117,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, dl3faj0dj1z16de9rb63nxyp5, e96wc563k8h3w7049l1nvcokq, 99dbjsnn2lagcp44boyghq9zo, 32bvga34o0hleev3duw2342ui, 1dvhwhz4n5f9cf4ts58rfu21, bmdhp0p1sqy48a5algqcdv6qx, bs0mkqzsgcrk6tswsxj5a83c9, 6bri5bqx4wq8jy49qf5hjney2, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, rz5zhw17e2j2xp4h4c40pnca, 3cplil800nf4znsypobvc22qy, b1xiyyiho37nmdr5cibnkvac4, 58macwlwpfn7ee9ubfzio4idw, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd",5676039131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676039123,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491687,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-24T17:00:41.409Z,2025-04-24T17:00:44Z,,,,5676087775,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491681,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-24T17:00:41.409Z,2025-04-24T17:00:41Z,,,,5676087755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491695,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,50.2,50.1,2025-04-24T17:00:41.410Z,2025-04-24T17:00:45Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676087825,213,3.18,5676087821,141,48.5,5676087823,212,27.6,5676087827,279,S,5676087819,140,23.9,5676087817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491717,4,1,1,0,3,czkf5t3ai00ghwbga03i5aqxw,0,24.1,48.7,2025-04-24T17:00:45.189Z,2025-04-24T17:00:48Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,5676087929,213,5.83,5676087931,1,,5676087923,140,73.4,5676087919,157,,5676087927,212,57.5,5676087921,56,Right,5676087925,141,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491727,3,61,1,0,9,cfvya7igkhkas7wvsktwz6j8k,0,32.5,78.3,2025-04-24T17:00:51.210Z,2025-04-24T17:03:43Z,1dvhwhz4n5f9cf4ts58rfu21,D. Ask,,5676087963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491741,5,1,1,0,10,czkf5t3ai00ghwbga03i5aqxw,1,67.9,25.2,2025-04-24T17:00:51.470Z,2025-04-24T17:00:52Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,5676088025,213,4.41,5676088021,141,9.1,5676088023,212,11.5,5676088017,56,Right,5676088019,140,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491747,6,1,1,0,10,czkf5t3ai00ghwbga03i5aqxw,1,64.9,9.2,2025-04-24T17:00:52.254Z,2025-04-24T17:00:53Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,5676088045,140,63.9,5676088047,141,18.9,5676088043,56,Right,5676088051,213,1.73,5676088049,212,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491787,7,1,1,0,11,czkf5t3ai00ghwbga03i5aqxw,1,63.9,18.9,2025-04-24T17:00:52.989Z,2025-04-24T17:01:05Z,bhaqw4112j43c753dlxhy61ud,D. Stensson,,5676088293,213,3.24,5676088289,141,16.4,5676088291,212,17.6,5676088285,56,Back,5676088287,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
