id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2820305649,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-31T12:07:36.392Z,2025-05-31T13:23:39Z,,,,,5757996929,197,28846,5757996923,130,4,5757996919,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5757996917,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 99dbjsnn2lagcp44boyghq9zo, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 6bri5bqx4wq8jy49qf5hjney2, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 3cplil800nf4znsypobvc22qy, 9401ndwivx7fpdplnv57v965m, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 32bvga34o0hleev3duw2342ui, rz5zhw17e2j2xp4h4c40pnca, b1xiyyiho37nmdr5cibnkvac4, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, dl3faj0dj1z16de9rb63nxyp5, 4rxaizp3a327azz02f6tsop1x",5757996925,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757996927,194,4kmd502s272vf5wgkx8hk4vl5,5757996931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757996921,59,"13, 33, 21, 3, 5, 15, 18, 7, 20, 14, 19, 32, 4, 6, 9, 16, 22, 23, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820306151,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-31T12:10:00.493Z,2025-05-31T13:03:08Z,,,,,5757999731,59,"25, 12, 2, 7, 5, 16, 8, 11, 19, 21, 20, 1, 9, 15, 17, 18, 22, 23, 24, 27",5757999727,30,"6pdqmo7vuzy9lt7v6vvmqybu2, ec6qqle54cq9gck2jhnbpjzs9, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, b5kncgqkpiofwduo2snjz74dl, 3ihcnb7xmqlsefg10xbdraqqd, 9469qatlpe6rdqko8c6ha4out, 9ajfpzjfipsub15tats3mo2j9, 5dxrx40pty4wtwdrd341p0aju, 59dtrk7ly4lepf7s0gywhu51w, c2pfggtw5hreyomdwogbhjpqs, 43tfpd1zge7whbwd5xchiu06i, cxq6miltbekjrfil30uuo0tn8, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 10dorj1evvavs9abofp4ix4b8, 8e8v25kjfqsohkczqxj5xsmj8",5757999737,194,9469qatlpe6rdqko8c6ha4out,5757999735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757999733,130,13,5757999739,197,10418,5757999729,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5757999741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313509,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-31T13:01:02.177Z,2025-05-31T13:01:05Z,,,,,5758040797,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313495,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-31T13:01:02.177Z,2025-05-31T13:01:02Z,,,,,5758040717,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313513,3,1,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,50.0,50.0,2025-05-31T13:01:02.178Z,2025-05-31T13:06:17Z,4p1gi0hkamzt27nm2nf1j90bt,D. Seger,,,5758040811,279,S,5758040809,213,3.03,5758040803,140,27.8,5758040801,56,Back,5758040805,141,54.0,5758040807,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313517,4,1,1,0,4,cfvya7igkhkas7wvsktwz6j8k,0,27.5,49.3,2025-05-31T13:01:06.798Z,2025-05-31T13:03:56Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5758040835,213,5.87,5758040825,157,,5758040837,1,,5758040827,56,Center,5758040831,141,23.4,5758040829,140,65.7,5758040833,212,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313535,3,1,1,0,8,46yo78zak2j7kaxc5ak1fnm60,0,36.2,69.9,2025-05-31T13:01:10.198Z,2025-05-31T13:03:19Z,b5kncgqkpiofwduo2snjz74dl,J. Pikkarainen,,,5758040923,141,66.9,5758040919,56,Center,5758040921,140,57.7,5758040927,213,6.19,5758040917,3,,5758040925,212,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313555,5,1,1,0,10,cfvya7igkhkas7wvsktwz6j8k,1,34.1,40.7,2025-05-31T13:01:12.462Z,2025-05-31T13:01:15Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5758041049,212,19.3,5758041043,56,Back,5758041045,140,29.9,5758041047,141,13.1,5758041051,213,4.48,5758041041,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313557,6,1,1,0,13,cfvya7igkhkas7wvsktwz6j8k,0,30.6,11.9,2025-05-31T13:01:15.293Z,2025-05-31T13:01:16Z,6son8ikuumxto9h6yiy7ylckp,T. Varmanen,,,5758041057,56,Right,5758041055,155,,5758041063,212,38.5,5758041065,213,6.25,5758041067,1,,5758041059,140,67.2,5758041061,141,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313569,4,1,1,0,15,46yo78zak2j7kaxc5ak1fnm60,1,24.8,86.0,2025-05-31T13:01:17.622Z,2025-05-31T13:01:19Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5758041093,140,57.0,5758041099,213,6.08,5758041089,157,,5758041091,56,Center,5758041097,212,34.5,5758041101,1,,5758041095,141,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
