id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2818849087,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-25T13:42:39.157Z,2025-05-25T14:40:10Z,,,,,5749844077,197,5157,5749844067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5749844071,130,8,5749844079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749844075,194,23p0dby12ymf55wwi0xz2fnx1,5749844065,30,"d5jgrd0clyl4rskqu6j8hcwkp, csd7qb9u0a9am2ltse9w31uz8, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, 5jos8v6hr086q8at9iuyhwded, 23p0dby12ymf55wwi0xz2fnx1, 3bepi58wwope38a478y7jwlxw, 6051gs5j7d6zss35h2twoqnd, dvl8q7nwvz3o6d73220d1ag2d, 370kkwnidcltqyooh51z6uzqi, 2zjl0xu23wp9j6ciq25irsq38, 26dlb4txygf7qzukjikr23mxh, ebhyx7fm13sy9qjf4vylzg89h, 9jszz4regvdvl0v4i8s41jbah, 820rgu4x8w0jmh6v9d6udhwyc, a3jetivxcnpp4z36nhboz5ysq, 8awq0zw9oyj9gy3ruxv105jis, aklu4afzffv8ggxwn5wm5wphw, 1kmf6cvipol87w83cf6gb504",5749844069,59,"45, 12, 27, 20, 5, 3, 9, 14, 10, 7, 32, 35, 4, 19, 25, 29, 31, 34, 36",5749844073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818851321,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-25T13:48:41.624Z,2025-05-25T14:33:28Z,,,,,5749856867,130,8,5749856873,197,4756,5749856863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749856871,194,3durmgxmp7tzxsr234mlhot1,5749856861,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 780mdhlnrheqczv6o7p5l8hzo, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, acredwjpf6ou0mdqx2cpxm4no, eq9x5pboy1dehdauroonsw3c9, 3durmgxmp7tzxsr234mlhot1, bar5tlyxm2vim2ewqauywgb85, 8k4fw4zak03as07nwf1kiktuc, eydu7p01ud08kscyaav4aaok5, dzdryjruyr4lpu3t7d5pgpn11, 7sez5w47trh4xnngir0epzl04, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, b8d9uwfw2r74ueh6vskteqvx0, 50xax4sqxz9mbfney5xxi47pw, bz5kz71ga8m9kcznurmnh4iz8",5749856865,59,"99, 28, 21, 16, 8, 4, 39, 15, 14, 10, 29, 26, 32, 13, 17, 19, 22, 42, 44, 45",5749856869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749856875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865651,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-25T14:30:29.708Z,2025-05-25T14:30:29Z,,,,,5749939257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865665,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-25T14:30:29.708Z,2025-05-25T14:30:32Z,,,,,5749939309,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865673,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,50.0,50.0,2025-05-25T14:30:29.709Z,2025-05-25T14:30:33Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5749939343,141,43.6,5749939347,213,3.44,5749939349,279,S,5749939345,212,14.6,5749939339,56,Back,5749939341,140,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865679,4,1,1,0,2,9zqn9ugvg64it0lr5z8cq4g9v,1,37.1,41.5,2025-05-25T14:30:32.603Z,2025-05-25T14:30:34Z,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,5749939417,213,4.73,5749939411,141,6.4,5749939403,56,Back,5749939415,212,23.9,5749939407,140,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865683,5,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,1,37.6,6.4,2025-05-25T14:30:34.091Z,2025-05-25T14:38:58Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5749939451,56,Back,5749939459,213,2.30,5749939455,141,28.3,5749939457,212,20.1,5749939453,140,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865689,6,1,1,0,5,9zqn9ugvg64it0lr5z8cq4g9v,1,24.8,28.3,2025-05-25T14:30:35.163Z,2025-05-25T14:30:36Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5749939493,141,59.6,5749939495,212,21.3,5749939489,56,Back,5749939491,140,26.1,5749939497,213,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865699,7,1,1,0,6,9zqn9ugvg64it0lr5z8cq4g9v,1,26.1,59.7,2025-05-25T14:30:36.651Z,2025-05-25T14:30:39Z,17jltcnnaha4707duh52hirit,M. Lode,,,5749939567,141,31.0,5749939563,56,Back,5749939571,213,4.76,5749939569,212,19.5,5749939565,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865707,8,1,1,0,9,9zqn9ugvg64it0lr5z8cq4g9v,1,25.7,29.1,2025-05-25T14:30:39.099Z,2025-05-25T14:30:41Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5749939639,141,48.8,5749939643,213,1.04,5749939635,56,Back,5749939641,212,15.5,5749939637,140,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
