id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value
2805483291,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-24T16:02:58.302Z,2025-04-24T16:02:58Z,,,,,5676035807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676035799,130,4,5676035793,30,"27hg1g0tz1l6mt4eugz841hw5, 2mfqgk982ky4y88ddcljx25n8, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 1t67kvg37jg2elz9voix5kcet, 8ebx705t6jvq53z6tjk0ke1d6, 2e1xnfe3hisebv1tytnkzk178, 8wz2m0yj4f0ci90m0wjftnoid, 5svga5s2fg0n058ms3pndyhhw, 40l3vtezw1ofwk2occi4z5w45, cntz26i7p4q9fyzh55xswpudw, 4id56bnddab7qd1mxxsm8ueqc, dczigjj5jklu5214hs3rw1mvo, 4w8yuib6lrya8ucle0j9maxka, 30117qloj2vhnxq4djfktp7u1, 6vy0wrnn1jz4tjp9ofxr9qesq, 7uqexxe985u3bbx5lxx2vgand, b83hbe115qfbfh703m5idim8k, 2e1j4tbrlrgqvm7io0hfu7is5, 9eaa74frc7sjli4e48cey3r4k",5676035805,197,25126,5676035795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676035801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676035803,194,8wz2m0yj4f0ci90m0wjftnoid,5676035797,59,"1, 2, 3, 8, 6, 24, 28, 22, 18, 7, 9, 39, 4, 5, 10, 11, 16, 17, 20, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,
2805484397,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-24T16:11:06.616Z,2025-04-24T16:11:06Z,,,,,5676043027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676043025,130,12,5676043019,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, 642iajthdnr0zophv7ys35q1g, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, prvbf3gxwflgzxuvgvb7ls5x, 99i96gbkvesmh3wspv8rl1ln9, 3hz7fbme9sm4xkj5fo3moeluc, azvjk1schroxi2dq22hwnqr1m, 8ez1awevbmegf1z0kgjtp048a, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, alxccjq2y6il5yjw108a0axnt, 3xx0l8c30mjstvxq7z1s0fnit, 7jdeesmfaskq8lruce2hnum1g, 5rbr8z5frgawr2ykcmcxbbluy, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 6utvjndbc0etrvdrul1oajdp0",5676043021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676043023,59,"15, 17, 19, 26, 4, 32, 10, 7, 43, 9, 33, 30, 5, 8, 11, 12, 20, 21, 22, 47",5676043033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676043029,194,99i96gbkvesmh3wspv8rl1ln9,5676043031,197,22091,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491649,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-24T17:00:29.608Z,2025-04-24T17:00:32Z,,,,,5676087569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491647,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-24T17:00:29.608Z,2025-04-24T17:00:29Z,,,,,5676087567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491653,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.0,50.0,2025-04-24T17:00:29.760Z,2025-04-24T17:00:33Z,5svga5s2fg0n058ms3pndyhhw,Mohammad Alsalkhadi,,,5676087593,212,24.5,5676087591,141,35.8,5676087587,56,Back,5676087589,140,28.6,5676087597,279,S,5676087595,213,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491671,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,0,28.6,35.5,2025-04-24T17:00:33.647Z,2025-04-24T17:00:37Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5676087675,157,,5676087687,1,,5676087677,56,Left,5676087685,213,0.65,5676087681,141,100.0,5676087679,140,85.3,5676087683,212,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491675,3,5,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,1,14.4,-1.6,2025-04-24T17:00:37.352Z,2025-04-24T17:03:15Z,3hz7fbme9sm4xkj5fo3moeluc,V. Andersson,,,5676087697,233,5,5676087693,56,Back,5676087695,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491673,5,5,1,0,7,durq4oppf7c08tnbzrlebt0uz,0,85.6,101.6,2025-04-24T17:00:37.352Z,2025-04-24T17:00:40Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5676087703,233,3,5676087691,347,,5676087689,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491703,4,1,1,0,13,5mbo4f0vps12dr0fcvjn3wyp5,0,18.5,0.0,2025-04-24T17:00:43.257Z,2025-04-24T17:03:23Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5676087865,141,11.9,5676087869,213,0.28,5676087871,1,,5676087863,140,48.0,5676087867,212,32.2,5676087859,107,,5676087861,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491705,6,44,1,0,16,durq4oppf7c08tnbzrlebt0uz,1,53.2,83.1,2025-04-24T17:00:46.343Z,2025-04-24T17:04:05Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,,5676087933,233,5,5676087875,56,Left,5676087877,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
