id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/15/value
2807827201,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-28T16:18:05.573Z,2025-04-28T17:37:18Z,,,,,5688823955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688823951,197,22120,5688823943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688823941,130,6,5688823947,194,2erjnb3l5mngpxyicnzhk7phx,5688823939,59,"1, 18, 22, 23, 13, 3, 17, 15, 9, 8, 14, 25, 5, 6, 7, 10, 16, 21, 26, 29",5688823937,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5688823935,30,"b6xqk78ndtb9qmjtlavgj02qx, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 94i0qwhb3xu4pu37gofme9mnd, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, 4w0adddkbx4642lkebbcmxbzd, 1dy0207jxgg8gvuygsd95wdn8, 80s55a7uw8kypoikefwhtdm5m, bm0bafkutd9qb9qee06cys9re, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, 3zuutaowhz53ivr0i5sg5y8t0, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",,,,,,,,,,,,,,,,,,,,,,,,
2807827389,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-28T16:18:27.819Z,2025-04-28T16:18:27Z,,,,,5688824915,59,"1, 6, 2, 32, 12, 4, 21, 8, 19, 9, 10, 7, 11, 13, 16, 18, 22, 24, 25, 28",5688824913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5688824921,194,5ijbt4bhic3y1zasavky12311,5688824925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688824919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5688824911,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, f1qvh9qszr743tj8zb3kcvaei, 7ctf2925tg7mc3a05unhxsd1w, 4nx0njulsjs2hegiee011dxpl, 7wesnkwthjcluc9b83s8ab1g4, bqid9rom7z7zb9kf10ft9ao7o, 7d9e5tvw9ghew36m4mh2nr23u, 4psxc0t1nm2o7a984utuzwciy, 6ivuk1j53ybmv5hhzp55ybzzd, aybt4s09eeonv6pdk2v9c9v6c, c8uz8jj2xzomls23oz4rcuiqy, cpamr0c0qq5lf5u6de1cbvgx6, 3s86186xnukjddv1sqf3pvl9m, bi57bgog4e5pmkde5tl4bvxg4, 1a112nxaob06fjynlat625u96, 6nh2bvbggqul1m3t1gv9k7pqs, b3jbj4ayr4x1x0ynt9dcu5u6s, bi5afrvo7cv1elj9wxyn5vsut, 6dljoel48bfd9nsmmnkck3owl",5688824917,130,4,5688824923,197,23548,,,,,,,,,,,,,,,,,,,,,,,,
2807851043,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-28T17:10:28.703Z,2025-04-28T17:10:28Z,,,,,5688961689,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851049,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-28T17:10:28.703Z,2025-04-28T17:10:31Z,,,,,5688961705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851071,3,1,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,50.0,50.0,2025-04-28T17:10:28.704Z,2025-04-28T17:10:32Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5688961847,212,24.1,5688961849,213,2.92,5688961841,56,Back,5688961845,141,57.9,5688961851,279,S,5688961843,140,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851113,4,1,1,0,3,evf5hhqgnjhwjsth1m6pawxdp,0,29.9,46.1,2025-04-28T17:10:31.952Z,2025-04-28T17:10:53Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5688962153,212,81.0,5688962149,140,100.0,5688962147,56,Right,5688962993,155,,5688962155,213,5.91,5688962157,1,,5688962151,141,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851127,3,5,1,0,9,33hzf6j2rd9r50g2n4agsytkd,1,-1.8,93.2,2025-04-28T17:10:38.530Z,2025-04-28T18:06:09Z,6ivuk1j53ybmv5hhzp55ybzzd,G. Lundgren,,,5688963007,233,5,5688962203,56,Back,5688962205,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851253,5,5,1,0,9,evf5hhqgnjhwjsth1m6pawxdp,0,101.8,6.8,2025-04-28T17:10:38.530Z,2025-04-28T18:06:09Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5688962949,56,Right,5688963019,233,3,5688962951,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807851395,4,1,1,0,29,33hzf6j2rd9r50g2n4agsytkd,0,4.2,46.0,2025-04-28T17:10:57.752Z,2025-04-28T17:15:56Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5688963717,56,Center,5688963719,140,57.8,5688963723,212,57.9,5688963715,124,,5688963725,213,6.04,5688963731,74,,5688963727,1,,5688963721,141,25.9,,,,,,,,,,,,,,,,,,,,,,,,
2807854011,52,61,1,0,30,evf5hhqgnjhwjsth1m6pawxdp,1,38.2,81.4,2025-04-28T17:10:58.771Z,2025-04-28T17:16:00Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5688979193,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
