id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2818165795,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-24T12:09:17.979Z,2025-05-24T13:07:21Z,,,,,5746059733,59,"1, 5, 3, 8, 6, 24, 7, 11, 9, 28, 10, 2, 4, 15, 18, 20, 21, 26, 32, 39",5746059741,197,25126,5746059737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746059731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746059735,130,21,5746059743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746059739,194,174tz9lh744fhcxzabu00746h,5746059729,30,"27hg1g0tz1l6mt4eugz841hw5, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 1t67kvg37jg2elz9voix5kcet, 8ebx705t6jvq53z6tjk0ke1d6, 40l3vtezw1ofwk2occi4z5w45, 6vy0wrnn1jz4tjp9ofxr9qesq, cntz26i7p4q9fyzh55xswpudw, 2e1xnfe3hisebv1tytnkzk178, 30117qloj2vhnxq4djfktp7u1, 2mfqgk982ky4y88ddcljx25n8, dczigjj5jklu5214hs3rw1mvo, 659a50ce2qqdoptyyjyo4whjp, 5svga5s2fg0n058ms3pndyhhw, 2e1j4tbrlrgqvm7io0hfu7is5, 6pnws0618dfug6udvka4wv9m2, 3eo81o5kixwopw1onaipk3l78, 9eaa74frc7sjli4e48cey3r4k, 4id56bnddab7qd1mxxsm8ueqc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818166669,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-24T12:15:32.838Z,2025-05-24T13:10:17Z,,,,,5746064255,197,17716,5746064247,59,"13, 3, 14, 26, 5, 15, 19, 7, 20, 6, 25, 32, 4, 8, 10, 18, 21, 22, 29, 33",5746064251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746064257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746064245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746064243,30,"aadwnc8p356rns7i7nyttyy5m, 99dbjsnn2lagcp44boyghq9zo, 3cplil800nf4znsypobvc22qy, dl3faj0dj1z16de9rb63nxyp5, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 32bvga34o0hleev3duw2342ui, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 1dvhwhz4n5f9cf4ts58rfu21, bs0mkqzsgcrk6tswsxj5a83c9, 6bri5bqx4wq8jy49qf5hjney2, c09quzlxh0hscffbfzbtohi7e, 9mr7ry4dyqgtk6ejbcmwoyuc4, 4rxaizp3a327azz02f6tsop1x, 6son8ikuumxto9h6yiy7ylckp",5746064253,194,4kmd502s272vf5wgkx8hk4vl5,5746064249,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171525,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-24T13:00:51.935Z,2025-05-24T13:00:53Z,,,,,5746091261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171515,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-24T13:00:51.935Z,2025-05-24T13:00:52Z,,,,,5746091215,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171553,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.0,50.0,2025-05-24T13:00:51.936Z,2025-05-24T13:00:56Z,2e1xnfe3hisebv1tytnkzk178,F. Adjei,,,5746091409,279,S,5746091391,56,Back,5746091395,140,27.2,5746091403,212,24.1,5746091399,141,45.8,5746091405,213,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171557,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,0,29.3,46.3,2025-05-24T13:00:56.722Z,2025-05-24T13:03:20Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5746091443,157,,5746091453,213,5.83,5746091455,1,,5746091447,140,64.3,5746091451,212,40.8,5746091445,56,Right,5746091449,141,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818173141,38,1,1,0,5,cfvya7igkhkas7wvsktwz6j8k,0,30.3,87.1,2025-05-24T13:00:57.423Z,2025-05-24T13:04:54Z,5r3h17uip2r1dlw1tde1e4hzo,Y. Sanyang,,,5746103249,56,Back,5746103255,212,13.8,5746103247,3,,5746103257,213,6.21,5746103251,140,43.4,5746103253,141,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171575,3,43,1,0,6,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-24T13:00:58.908Z,2025-05-24T13:05:17Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5746091501,285,0,5746104263,144,44,5746091499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171593,4,43,1,0,7,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-24T13:00:59.801Z,2025-05-24T13:05:20Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5746091573,56,Back,5746091577,141,92.4,5746104375,144,1,5746091571,3,0,5746091575,140,30.1,5746091581,213,0.13,5746091579,212,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818171589,5,44,1,0,8,durq4oppf7c08tnbzrlebt0uz,1,65.9,11.6,2025-05-24T13:01:00.835Z,2025-05-24T13:46:16Z,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,5746091617,233,5,5746091563,56,Right,5746091565,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
