id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value
2810121931,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-04T11:06:51.393Z,2025-05-04T12:07:32Z,,,,,5701576431,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, ay6mgdylpu08d9pydxejbd562, 5jv0xmo83g4lbzo8nodqbh46i, bfnqlxk0wiv1uy0ptwwqhk9hw, 4er21aspnwqojlenu6lhc2b4l, 3kgwkv2bjw5h244h675kmsclx, 9d08simhpio6vi217mqtro6ad, 2k1v6526ielemu1w3rayxdkkq, a2ggooyqi2s1berhxtm75j5qt, 8ntq70sdmvbmmvchvu5jd6ndh, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, ez7xc7vakt4fmabtp61w72yju, 3hn1o03lxsjzju3uorl6rnpxw, ekiy8mogxcfn05kwouydbdwr8, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5701576435,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701576439,130,18,5701576443,194,8ntq70sdmvbmmvchvu5jd6ndh,5701576447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701576445,197,8325,5701576441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701576437,59,"40, 37, 8, 21, 2, 19, 7, 9, 15, 10, 5, 30, 3, 4, 11, 14, 20, 22, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810123505,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-04T11:10:13.744Z,2025-05-04T12:02:26Z,,,,,5701584963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701584955,130,8,5701584951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701584949,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 3durmgxmp7tzxsr234mlhot1, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, dmj5oe18blqnxozkfd8q5myfp, eq9x5pboy1dehdauroonsw3c9, epnkff9nsysx1eyh90muhmvl6, bar5tlyxm2vim2ewqauywgb85, 4iguik2n53ywq82altuqoouwa, dzdryjruyr4lpu3t7d5pgpn11, 504qkt70jvof5yzffmwwo5c5x, 7sez5w47trh4xnngir0epzl04, 780mdhlnrheqczv6o7p5l8hzo, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, 8k4fw4zak03as07nwf1kiktuc, acredwjpf6ou0mdqx2cpxm4no",5701584959,194,3durmgxmp7tzxsr234mlhot1,5701584953,59,"99, 28, 21, 14, 8, 4, 24, 15, 9, 10, 11, 32, 7, 13, 16, 17, 19, 22, 29, 39",5701584957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701584961,197,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155939,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-04T12:00:29.828Z,2025-05-04T12:00:31Z,,,,,5701752603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155935,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-04T12:00:29.828Z,2025-05-04T12:00:29Z,,,,,5701752595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155955,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,50.2,49.4,2025-05-04T12:00:29.829Z,2025-05-04T13:03:02Z,2k1v6526ielemu1w3rayxdkkq,S. Jørgensen,,,5701752707,140,32.2,5701752711,212,21.3,5701752715,279,S,5701752713,213,2.66,5701752705,56,Back,5701752709,141,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155983,4,1,1,0,2,7hlumphk42363z3i2nry2wrzj,0,32.2,64.0,2025-05-04T12:00:32.702Z,2025-05-04T12:07:58Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,,5701752857,141,7.9,5701752853,56,Right,5701752861,213,5.53,5701752863,1,,5701752855,140,70.7,5701752851,157,,5701752859,212,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156059,4,44,1,0,7,9zqn9ugvg64it0lr5z8cq4g9v,1,29.8,88.6,2025-05-04T12:00:37.115Z,2025-05-04T12:00:44Z,4iguik2n53ywq82altuqoouwa,J. Lindberg,,,5701753247,233,5,5701753223,56,Back,5701753225,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155995,5,44,1,0,7,7hlumphk42363z3i2nry2wrzj,0,70.2,11.4,2025-05-04T12:00:37.116Z,2025-05-04T12:08:23Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,,5701752921,286,,5701753253,233,4,5701752919,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156033,3,1,1,0,8,9zqn9ugvg64it0lr5z8cq4g9v,0,29.3,84.8,2025-05-04T12:00:37.840Z,2025-05-04T12:08:26Z,4iguik2n53ywq82altuqoouwa,J. Lindberg,,,5701753089,140,41.9,5701753085,3,,5701753095,213,0.56,5701753091,141,96.9,5701753093,212,15.6,5701753087,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156103,6,1,1,0,14,7hlumphk42363z3i2nry2wrzj,1,44.8,12.2,2025-05-04T12:00:44.811Z,2025-05-04T12:00:48Z,7a08ravzlia5dhw5dm1q707pw,M. Neffati,,,5701753471,213,2.36,5701753465,140,24.6,5701753469,212,29.8,5701753467,141,43.0,5701753463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
