id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2806965693,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-27T11:11:33.654Z,2025-04-27T14:32:57Z,,,,,5684102811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684102799,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5684102805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5684102797,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, 93qjy2eilbuufwu2kbwpfng7p, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, bqravo7lm21jq5m4cz8uhx638, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, 73h2980bizllhxfk8ic8uketw, dgxqp83lhb316dec1rpi5op62, 5h6xr50d54zcxnktz7q58oa1h, b7bmxh0q5aa8646sxmvy0etqs, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",5684102801,59,"1, 14, 17, 5, 13, 4, 7, 22, 18, 15, 19, 35, 9, 16, 24, 25, 26, 27, 39",5684102803,130,17,5684102807,194,czfitwajt0sayki90i3fk5n85,5684102809,197,7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806968561,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-27T11:16:37.830Z,2025-04-27T12:08:45Z,,,,,5684118735,130,17,5684118729,30,"6pdqmo7vuzy9lt7v6vvmqybu2, ec6qqle54cq9gck2jhnbpjzs9, 7qsp3fm0wkymgiej6s7jj06p5, b5kncgqkpiofwduo2snjz74dl, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, 9ajfpzjfipsub15tats3mo2j9, 9469qatlpe6rdqko8c6ha4out, 8e8v25kjfqsohkczqxj5xsmj8, 3ihcnb7xmqlsefg10xbdraqqd, 59dtrk7ly4lepf7s0gywhu51w, 43tfpd1zge7whbwd5xchiu06i, a4f6z4alegkvrhm4k864w9lg5, cxq6miltbekjrfil30uuo0tn8, 2mk86jc25lu7lqklnvntxmtxw, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, c2pfggtw5hreyomdwogbhjpqs, 46ups8z9vhv73u0op2ld07wus",5684118731,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684118733,59,"25, 12, 2, 5, 30, 4, 11, 8, 27, 16, 21, 1, 7, 9, 10, 15, 17, 18, 20, 23",5684118737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684118739,194,96v3rv4y74yt6ukwh2churhbe,5684118743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684118741,197,10418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001601,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-27T12:01:12.684Z,2025-04-27T12:01:12Z,,,,,5684290959,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001609,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-27T12:01:12.684Z,2025-04-27T12:01:14Z,,,,,5684290975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001629,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.0,50.0,2025-04-27T12:01:12.685Z,2025-04-27T12:01:15Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5684291107,213,3.15,5684291105,212,24.7,5684291099,56,Back,5684291109,279,S,5684291101,140,26.5,5684291103,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001675,4,1,1,0,2,spvvjmk37iid7hsky9g3nce7,1,27.8,50.7,2025-04-27T12:01:15.511Z,2025-04-27T12:01:19Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5684291319,1,,5684291307,140,69.4,5684291317,213,5.68,5684291309,141,6.7,5684291313,212,52.9,5684291305,56,Right,5684291303,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006787,60,44,1,0,4,spvvjmk37iid7hsky9g3nce7,1,75.8,5.2,2025-04-27T12:01:17.655Z,2025-04-27T18:35:32Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684337769,233,39,5684335973,56,Right,5684335975,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807006807,39,44,1,0,4,46yo78zak2j7kaxc5ak1fnm60,0,24.2,94.8,2025-04-27T12:01:17.656Z,2025-04-27T12:09:35Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5684335071,56,Back,5684336045,233,60,5684335073,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001699,5,1,1,0,5,spvvjmk37iid7hsky9g3nce7,0,69.4,6.7,2025-04-27T12:01:18.336Z,2025-04-27T14:31:37Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5684291433,168,,5684291431,3,,5684291435,56,Right,5684291439,141,0.0,5684291441,212,15.1,5684291443,213,5.89,5684291437,140,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001709,3,5,1,0,7,46yo78zak2j7kaxc5ak1fnm60,1,17.8,101.6,2025-04-27T12:01:20.278Z,2025-04-27T12:01:22Z,8e8v25kjfqsohkczqxj5xsmj8,Z. Salifu,,,5684291463,56,Back,5684291477,233,6,5684291465,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
