id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2815019169,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-15T16:04:39.964Z,2025-05-15T16:04:40Z,,,,5728694125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728694115,59,"25, 18, 22, 15, 5, 3, 21, 8, 9, 17, 14, 12, 6, 7, 13, 16, 23, 26, 29, 30",5728694117,130,4,5728694121,194,3tbz518udos9vb9bqypn9il7t,5728694113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728694111,30,"1k2svnzs4woe6gpegqlrxjjf8, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 7hi9yit8aifyojt7i0kg69as5, 3tbz518udos9vb9bqypn9il7t, 2vfhae70oyyzm0qttlckworqi, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 18qj6qj3vw6jg0unnhjevkw0k, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, 2erjnb3l5mngpxyicnzhk7phx, dptjb2pmzpzagb4rcndchf7ro, 94i0qwhb3xu4pu37gofme9mnd, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e, b4bzaam658g6wf3knwxlghas5",5728694119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728694123,197,22120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815019723,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-15T16:07:20.286Z,2025-05-15T17:30:40Z,,,,5728697085,130,4,5728697081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728697089,194,4kmd502s272vf5wgkx8hk4vl5,5728697091,197,17685,5728697087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728697093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728697083,59,"13, 3, 14, 26, 4, 15, 19, 7, 20, 6, 25, 32, 8, 10, 16, 17, 18, 22, 23, 29",5728697079,30,"aadwnc8p356rns7i7nyttyy5m, 99dbjsnn2lagcp44boyghq9zo, 3cplil800nf4znsypobvc22qy, dl3faj0dj1z16de9rb63nxyp5, 7x9rvw3fkbdq9ape85thu5pzp, 4kmd502s272vf5wgkx8hk4vl5, 9401ndwivx7fpdplnv57v965m, 4p1gi0hkamzt27nm2nf1j90bt, bmdhp0p1sqy48a5algqcdv6qx, 32bvga34o0hleev3duw2342ui, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 1dvhwhz4n5f9cf4ts58rfu21, bs0mkqzsgcrk6tswsxj5a83c9, b1xiyyiho37nmdr5cibnkvac4, 58macwlwpfn7ee9ubfzio4idw, 6bri5bqx4wq8jy49qf5hjney2, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, 4rxaizp3a327azz02f6tsop1x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027651,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-05-15T17:00:30.326Z,2025-05-15T17:00:30Z,,,,5728745763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027653,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-15T17:00:30.326Z,2025-05-15T17:00:31Z,,,,5728745773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027671,3,1,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,50.0,50.0,2025-05-15T17:00:30.327Z,2025-05-15T17:00:34Z,bmdhp0p1sqy48a5algqcdv6qx,A. Aliev,,5728745841,213,2.92,5728745839,212,22.4,5728745835,140,29.2,5728745837,141,57.2,5728745843,279,S,5728745833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027679,4,1,1,0,3,cfvya7igkhkas7wvsktwz6j8k,0,28.4,51.8,2025-05-15T17:00:34.152Z,2025-05-15T17:00:35Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,5728745887,213,5.90,5728745883,141,21.0,5728745879,56,Right,5728745877,157,,5728745881,140,78.2,5728745889,1,,5728745885,212,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027687,3,12,1,0,6,evf5hhqgnjhwjsth1m6pawxdp,1,32.4,70.0,2025-05-15T17:00:37.037Z,2025-05-15T17:17:48Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,5728745949,56,Back,5728745951,140,44.1,5728745953,141,83.9,5728745957,213,0.66,5728745955,212,15.5,5728745961,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027705,5,1,1,0,10,cfvya7igkhkas7wvsktwz6j8k,0,59.6,24.3,2025-05-15T17:00:40.568Z,2025-05-15T17:00:43Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,5728746043,56,Right,5728746047,141,3.5,5728746051,213,4.67,5728746049,212,14.2,5728746045,140,59.0,5728746041,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027723,4,5,1,0,14,evf5hhqgnjhwjsth1m6pawxdp,1,39.4,102.0,2025-05-15T17:00:44.985Z,2025-05-15T17:03:47Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,5728746137,233,6,5728746131,347,,5728746129,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027719,6,5,1,0,14,cfvya7igkhkas7wvsktwz6j8k,0,60.6,-2.0,2025-05-15T17:00:44.985Z,2025-05-15T17:00:48Z,dl3faj0dj1z16de9rb63nxyp5,M. Christensen,,5728746115,347,,5728746143,233,4,5728746113,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027777,5,1,1,0,22,evf5hhqgnjhwjsth1m6pawxdp,1,34.8,100.0,2025-05-15T17:00:53.295Z,2025-05-15T17:00:57Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5728746441,140,49.6,5728746447,213,6.09,5728746443,141,97.5,5728746439,56,Back,5728746445,212,15.8,5728746437,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027783,6,1,1,0,25,evf5hhqgnjhwjsth1m6pawxdp,0,49.7,97.5,2025-05-15T17:00:55.517Z,2025-05-15T17:18:32Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,5728746487,213,3.28,5728746483,141,96.2,5728746479,56,Back,5728746481,140,43.8,5728746477,3,,5728746485,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027785,7,1,1,0,26,cfvya7igkhkas7wvsktwz6j8k,1,50.1,21.5,2025-05-15T17:00:56.761Z,2025-05-15T17:00:58Z,9401ndwivx7fpdplnv57v965m,M. Tamminen,,5728746495,141,29.2,5728746497,212,8.1,5728746493,140,56.0,5728746489,3,,5728746491,56,Center,5728746499,213,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027813,8,1,1,0,27,cfvya7igkhkas7wvsktwz6j8k,0,56.6,7.6,2025-05-15T17:00:58.169Z,2025-05-15T17:20:20Z,32bvga34o0hleev3duw2342ui,Noah Söderberg,,5728746649,1,,5728746641,140,85.2,5728746643,141,13.1,5728746647,213,0.12,5728746645,212,30.3,5728746639,56,Right,5728746637,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027833,7,1,1,0,34,evf5hhqgnjhwjsth1m6pawxdp,0,26.6,80.8,2025-05-15T17:01:04.798Z,2025-05-15T17:20:37Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,5728746731,213,0.98,5728746729,212,3.6,5728746725,140,28.5,5728746727,141,85.2,5728746723,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
