id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2808106149,1,34,16,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-29T16:05:20.419Z,2025-04-29T17:08:28Z,,,,,5690427643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5690427639,194,4kmd502s272vf5wgkx8hk4vl5,5690427635,130,4,5690427631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5690427629,30,"aadwnc8p356rns7i7nyttyy5m, 6son8ikuumxto9h6yiy7ylckp, c09quzlxh0hscffbfzbtohi7e, 99dbjsnn2lagcp44boyghq9zo, e96wc563k8h3w7049l1nvcokq, 4kmd502s272vf5wgkx8hk4vl5, 6bri5bqx4wq8jy49qf5hjney2, 1dvhwhz4n5f9cf4ts58rfu21, bmdhp0p1sqy48a5algqcdv6qx, 9401ndwivx7fpdplnv57v965m, 5r3h17uip2r1dlw1tde1e4hzo, 3qtrkzdi4nbb6lnsti2v6hgq1, 7x9rvw3fkbdq9ape85thu5pzp, 32bvga34o0hleev3duw2342ui, rz5zhw17e2j2xp4h4c40pnca, 3cplil800nf4znsypobvc22qy, b1xiyyiho37nmdr5cibnkvac4, 9mr7ry4dyqgtk6ejbcmwoyuc4, czrpc1phedwtryuc92x244yqd, dl3faj0dj1z16de9rb63nxyp5",5690427637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5690427633,59,"13, 33, 21, 3, 5, 15, 18, 8, 20, 19, 25, 32, 4, 6, 9, 14, 16, 22, 23, 26",5690427641,197,17685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808106485,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-29T16:10:37.339Z,2025-04-29T17:06:12Z,,,,,5690429837,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5690429843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5690429839,59,"1, 17, 25, 7, 19, 35, 11, 23, 9, 16, 38, 33, 2, 6, 13, 20, 22, 32, 34, 37",5690429835,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, d58ji96mcnebbci6skc46x9uc, as6coaak724tr7igyz1wwlfc9, 7si8brq1p8o6fvw93hq9v9bmc, 4az5n8aekw6ipzu7fagqhkys4, azcjwvw9799e6bawnlcb0lt2i, 90eoelhr2oxpg3ejr2whwwu6t, b9tsqyrv0xp0tt5nzwrmy9gb9, 7hugqbtot3c8fmxtfqld9l15g, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, duhvdeeqlyxgt2qve8fjgrpat, 70uwtz6q782qjf2mqpdlqpbkl, 53dvtfms2uxd500y87x5jf2eh, dvi2tleym136aqpvwfi4lustm, 329r6jq5pn0m174v3berarh90, d8b1lbi0r229uiylsfm2lo3ro, 1pkp4fqrgj87mk6x7lhryt6vo",5690429847,197,23796,5690429841,130,8,5690429845,194,azcjwvw9799e6bawnlcb0lt2i,5690429849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115015,2,32,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,0.0,0.0,2025-04-29T17:00:43.777Z,2025-04-29T19:07:17Z,,,,,5690480777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115013,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-29T17:00:43.777Z,2025-05-01T09:45:33Z,,,,,5690480771,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115021,3,1,1,0,0,cfvya7igkhkas7wvsktwz6j8k,1,49.9,50.1,2025-04-29T17:00:43.778Z,2025-04-29T17:11:32Z,1dvhwhz4n5f9cf4ts58rfu21,D. Ask,,,5690480827,279,S,5690480821,141,49.9,5690480825,213,3.15,5690480819,140,25.3,5690480817,56,Back,5690480823,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115029,4,1,1,0,4,cfvya7igkhkas7wvsktwz6j8k,0,28.8,45.5,2025-04-29T17:00:48.578Z,2025-04-29T17:00:49Z,4kmd502s272vf5wgkx8hk4vl5,I. Kričak,,,5690480865,213,5.81,5690480863,212,38.4,5690480857,56,Right,5690480867,1,,5690480855,157,,5690480861,141,19.5,5690480859,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115045,3,1,1,0,6,93ohqui2qgqm8408viwmm1ken,1,37.0,86.6,2025-04-29T17:00:50.007Z,2025-04-29T17:00:52Z,7hugqbtot3c8fmxtfqld9l15g,H. Bolin,,,5690480931,140,53.3,5690480929,56,Center,5690480937,213,5.85,5690480935,212,18.8,5690480927,3,,5690480933,141,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115047,4,44,1,0,8,93ohqui2qgqm8408viwmm1ken,1,55.4,63.4,2025-04-29T17:00:52.150Z,2025-04-29T19:05:29Z,90eoelhr2oxpg3ejr2whwwu6t,I. Kiese Thelin,,,5690480943,56,Center,5690480977,233,5,5690480945,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115053,5,44,1,0,8,cfvya7igkhkas7wvsktwz6j8k,0,44.6,36.6,2025-04-29T17:00:52.151Z,2025-04-29T19:05:29Z,e96wc563k8h3w7049l1nvcokq,M. Adolfsson,,,5690480961,285,,5690480959,56,Back,5690481025,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115055,5,1,1,0,8,93ohqui2qgqm8408viwmm1ken,0,53.3,75.0,2025-04-29T17:00:52.246Z,2025-04-29T17:11:56Z,90eoelhr2oxpg3ejr2whwwu6t,I. Kiese Thelin,,,5690480969,140,65.9,5690480975,213,0.16,5690480963,3,,5690480973,212,13.4,5690480967,56,Center,5690480971,141,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808115065,6,8,1,0,11,cfvya7igkhkas7wvsktwz6j8k,1,43.0,49.9,2025-04-29T17:00:55.377Z,2025-05-01T09:47:11Z,99dbjsnn2lagcp44boyghq9zo,K. Gyamfi,,,5690481069,56,Back,5692428553,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
