id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2797895605,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-07T16:15:52.942Z,2025-04-07T17:17:27Z,,,,,5634102129,30,"c6xakidja1353l11ws0apj1t5, amgtzrnw9lmo9o506a0mhzip6, 2d1dh619cfgvel4bv7tpfxjo5, 60fbyywnjiz6l8n7gmi2mjld5, 6legryh9z8lvc4bq4s456m09h, agsollzstr45ee0z17tle8d1w, 6tqclthbz4m9kqiukixum1mhg, dp4bh2qpsagd632sfe3qq4hqt, 1vr7p76nx255ikv7w00s6gnsa, 21abg7evjtjt6kzisu43jckmi, 5l4q2q8nszqp6k8exo9eyqnrp, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 116vh3v105pa9vyw10hpvuwdm, 25ytwmg2c5xcqp5ta12oznm22, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis",5634102131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5634102135,130,8,5634102137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634102133,59,"31, 6, 23, 10, 8, 2, 20, 18, 11, 27, 15, 30, 4, 16, 17, 19, 24, 25, 26, 28",5634102143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634102141,197,25078,5634102139,194,6legryh9z8lvc4bq4s456m09h,,,,,,,,,,,,,,,,,,,,,,,,
2797896093,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-07T16:17:00.289Z,2025-04-07T16:17:00Z,,,,,5634104851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5634104855,130,2,5634104853,59,"1, 17, 25, 7, 18, 19, 29, 23, 20, 10, 38, 33, 2, 8, 9, 11, 13, 16, 22, 35",5634104857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5634104861,197,2216,5634104849,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, d58ji96mcnebbci6skc46x9uc, 4j6a6qec8m58zgojpbv8wxnf9, as6coaak724tr7igyz1wwlfc9, 8ydeghsg8bdyovqjnr56hz8x5, azcjwvw9799e6bawnlcb0lt2i, 53dvtfms2uxd500y87x5jf2eh, 62w849kqrnjm00xr12suencgl, 7hugqbtot3c8fmxtfqld9l15g, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, 5mb3g5nufbwhw09w3wgm6glwp, 90eoelhr2oxpg3ejr2whwwu6t, 4az5n8aekw6ipzu7fagqhkys4, 70uwtz6q782qjf2mqpdlqpbkl, b9tsqyrv0xp0tt5nzwrmy9gb9, dvi2tleym136aqpvwfi4lustm, 7si8brq1p8o6fvw93hq9v9bmc",5634104859,194,62w849kqrnjm00xr12suencgl,5634104863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2797917613,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-07T17:10:57.672Z,2025-04-07T17:11:42Z,,,,,5634228571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797917603,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-07T17:10:57.672Z,2025-04-07T17:10:57Z,,,,,5634228537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797917625,3,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,50.0,50.0,2025-04-07T17:10:57.923Z,2025-04-07T17:11:42Z,1vr7p76nx255ikv7w00s6gnsa,T. Silverholt,,,5634228643,279,S,5634228635,140,29.3,5634228633,56,Back,5634228639,212,22.6,5634228641,213,2.86,5634228637,141,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797917703,4,1,1,0,3,1939bnru25svvgv15k2c7tw2y,1,29.3,59.3,2025-04-07T17:11:01.560Z,2025-04-07T17:11:41Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5634229067,56,Back,5634229071,141,10.1,5634229075,213,4.83,5634229069,140,33.0,5634229073,212,33.7,5634229077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797917789,5,1,1,0,7,1939bnru25svvgv15k2c7tw2y,0,33.4,11.0,2025-04-07T17:11:04.905Z,2025-04-07T17:11:41Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5634229517,141,28.6,5634229513,56,Center,5634229515,140,86.1,5634229511,155,,5634229521,213,0.21,5634229519,212,56.6,5634229523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797917855,6,43,1,0,15,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-07T17:11:13.034Z,2025-04-07T17:11:46Z,1vr7p76nx255ikv7w00s6gnsa,T. Silverholt,,,5634230265,13,0,5634230313,233,3,5634231679,286,0,5634232117,144,4,5634230277,265,0,5634230273,152,0,5634230269,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797918285,7,4,1,0,15,1939bnru25svvgv15k2c7tw2y,1,86.4,28.8,2025-04-07T17:11:13.034Z,2025-04-07T17:19:40Z,1vr7p76nx255ikv7w00s6gnsa,T. Silverholt,,,5634232333,13,,5634232339,152,,5634232337,56,Center,5634232345,265,,5634264925,348,5l4q2q8nszqp6k8exo9eyqnrp,5634232349,286,,5634232581,233,3,5634232331,9,,,,,,,,,,,,,,,,,,,,,,,,,
2797917831,3,4,1,0,15,93ohqui2qgqm8408viwmm1ken,0,13.6,71.2,2025-04-07T17:11:13.035Z,2025-04-07T17:15:59Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5634232607,233,7,5634230069,152,,5634232133,285,,5634230071,265,,5634230067,56,Back,5634230063,9,,5634230065,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
