id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2815019225,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-15T16:04:57.736Z,2025-05-15T18:18:51Z,,,,,5728694461,197,25087,5728694453,59,"1, 17, 2, 7, 18, 35, 11, 38, 32, 23, 22, 33, 6, 9, 10, 16, 20, 25, 29, 40",5728694449,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, lh30ckelpek3u7jbzotxuvze, d58ji96mcnebbci6skc46x9uc, 4j6a6qec8m58zgojpbv8wxnf9, 7si8brq1p8o6fvw93hq9v9bmc, 4az5n8aekw6ipzu7fagqhkys4, 7hugqbtot3c8fmxtfqld9l15g, 329r6jq5pn0m174v3berarh90, azcjwvw9799e6bawnlcb0lt2i, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, duhvdeeqlyxgt2qve8fjgrpat, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, b9tsqyrv0xp0tt5nzwrmy9gb9, 53dvtfms2uxd500y87x5jf2eh, carpl05zgalgbsd6gnk3akc89, 8ydeghsg8bdyovqjnr56hz8x5, 27w9691m35wlxy4ujti7sppn8",5728694457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728694451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728694459,194,azcjwvw9799e6bawnlcb0lt2i,5728694455,130,5,5728694463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815020355,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-15T16:10:19.284Z,2025-05-15T17:10:26Z,,,,,5728700911,194,8wz2m0yj4f0ci90m0wjftnoid,5728700915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728700903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728700907,130,2,5728700909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728700901,30,"27hg1g0tz1l6mt4eugz841hw5, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 6vy0wrnn1jz4tjp9ofxr9qesq, 1t67kvg37jg2elz9voix5kcet, 8ebx705t6jvq53z6tjk0ke1d6, 5svga5s2fg0n058ms3pndyhhw, 174tz9lh744fhcxzabu00746h, 8wz2m0yj4f0ci90m0wjftnoid, 659a50ce2qqdoptyyjyo4whjp, 30117qloj2vhnxq4djfktp7u1, 4id56bnddab7qd1mxxsm8ueqc, 2mfqgk982ky4y88ddcljx25n8, dczigjj5jklu5214hs3rw1mvo, 40l3vtezw1ofwk2occi4z5w45, 2e1j4tbrlrgqvm7io0hfu7is5, 6pnws0618dfug6udvka4wv9m2, 3eo81o5kixwopw1onaipk3l78, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k",5728700905,59,"1, 5, 3, 11, 6, 24, 18, 8, 22, 15, 10, 39, 2, 4, 7, 20, 21, 26, 28, 32",5728700913,197,25126,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027775,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-15T17:00:54.836Z,2025-05-15T17:00:57Z,,,,,5728746435,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027759,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-15T17:00:54.836Z,2025-05-15T17:00:55Z,,,,,5728746331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027791,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.0,50.0,2025-05-15T17:00:54.837Z,2025-05-15T17:00:59Z,8wz2m0yj4f0ci90m0wjftnoid,S. Thern,,,5728746519,56,Back,5728746523,141,73.9,5728746525,212,27.1,5728746529,279,S,5728746521,140,29.4,5728746527,213,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027805,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,1,29.4,73.9,2025-05-15T17:00:59.252Z,2025-05-15T17:01:01Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5728746593,157,,5728746603,213,5.63,5728746605,1,,5728746595,56,Right,5728746597,140,78.2,5728746599,141,16.4,5728746601,212,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027809,5,44,1,0,6,durq4oppf7c08tnbzrlebt0uz,1,73.3,15.8,2025-05-15T17:01:01.460Z,2025-05-15T17:04:29Z,659a50ce2qqdoptyyjyo4whjp,P. Cibicki,,,5728746631,233,3,5728746625,286,,5728746623,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027811,3,44,1,0,6,93ohqui2qgqm8408viwmm1ken,0,26.7,84.2,2025-05-15T17:01:01.461Z,2025-05-15T17:04:29Z,7si8brq1p8o6fvw93hq9v9bmc,N. Zätterström,,,5728746627,56,Back,5728746629,285,,5728746653,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027819,6,1,1,0,7,durq4oppf7c08tnbzrlebt0uz,0,78.2,16.4,2025-05-15T17:01:01.941Z,2025-05-15T17:01:04Z,659a50ce2qqdoptyyjyo4whjp,P. Cibicki,,,5728746693,213,0.50,5728746689,141,32.1,5728746687,140,97.0,5728746685,56,Center,5728746691,212,22.4,5728746683,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027891,5,1,1,0,17,93ohqui2qgqm8408viwmm1ken,1,7.0,57.9,2025-05-15T17:01:12.228Z,2025-05-15T17:01:15Z,cj7aybqox4kzoicnzea7b64t1,Ricardo Friedrich,,,5728747003,212,22.0,5728746999,140,15.1,5728746997,56,Back,5728747005,213,1.17,5728747001,141,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
