id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/9/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2807076649,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T13:10:00.371Z,2025-04-27T13:10:00Z,,,,,5684687387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684687397,197,25072,5684687399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684687389,59,"15, 17, 3, 33, 32, 4, 8, 7, 10, 11, 19, 30, 5, 9, 16, 21, 22, 26, 43, 47",5684687395,194,99i96gbkvesmh3wspv8rl1ln9,5684687385,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eqfhoh81e8uj2as95ev3yfnx1, 8ez1awevbmegf1z0kgjtp048a, eahcgnvlq1tkswvjuovyzxxw5, cwkz9uxtres4bockr3spd4hxx, alxccjq2y6il5yjw108a0axnt, 99i96gbkvesmh3wspv8rl1ln9, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, eyqeg6wzhjibkt4zs5dfgzc9h, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, azvjk1schroxi2dq22hwnqr1m, 9yb0exf35kl3avhdnlhv23glx, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, 3hz7fbme9sm4xkj5fo3moeluc, 6utvjndbc0etrvdrul1oajdp0",5684687393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684687391,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807104375,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-27T13:28:00.891Z,2025-04-27T14:08:58Z,,,,,5684834209,194,21abg7evjtjt6kzisu43jckmi,5684834215,197,25078,5684834203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684834197,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684834195,30,"c6xakidja1353l11ws0apj1t5, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, amgtzrnw9lmo9o506a0mhzip6, 1qyvk3eveiz8n40houjgtko9h, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, 1vr7p76nx255ikv7w00s6gnsa, 6tqclthbz4m9kqiukixum1mhg, 5uek9dtfn577w1mv9w83oznbp, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 25ytwmg2c5xcqp5ta12oznm22, 5kgu7z697mnyizf6pbaf5j5zo, 85mzxov9sqq8gec4e0wwt8h78, 8zvc2mjym1u4uev3t60rhmvis",5684834217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684834199,59,"31, 15, 23, 2, 6, 4, 27, 10, 24, 11, 20, 30, 13, 16, 17, 19, 25, 26, 29, 28",5684834201,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807144237,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:00:29.936Z,2025-04-27T14:03:20Z,,,,,5685050283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807144311,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-27T14:00:29.936Z,2025-04-27T14:03:21Z,,,,,5685050683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148765,18,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,50.1,49.9,2025-04-27T14:00:30.017Z,2025-04-27T16:07:44Z,1vr7p76nx255ikv7w00s6gnsa,T. Silverholt,,,5685596143,189,,5685595433,213,3.37,5685596051,279,S,5685595429,212,13.0,5685595419,56,Back,5685595425,141,45.6,5685595423,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148587,15,43,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:00:30.046Z,2025-04-27T15:19:47Z,prvbf3gxwflgzxuvgvb7ls5x,B. Celina,,,5685101229,279,S,5685594699,144,1,5685100811,212,11.6,5685100807,140,39.0,5685145329,189,0,5685100813,213,3.30,5685100809,141,47.4,5685100805,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148807,23,61,1,0,1,1939bnru25svvgv15k2c7tw2y,1,38.0,50.9,2025-04-27T14:00:31.190Z,2025-04-27T15:20:08Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5685596851,189,,5685596653,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807144463,3,43,1,0,1,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:01:15.893Z,2025-04-27T14:03:08Z,,,,,5685060089,144,79,5685051327,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807157469,64,43,1,0,2,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:00:32.283Z,2025-04-27T15:19:48Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5685145101,189,0,5685594779,144,61,5685144735,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146029,4,43,1,1,39,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:02:53.742Z,2025-04-27T14:02:56Z,,,,,5685059045,144,79,5685058837,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807146113,5,43,1,1,45,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-27T14:03:00.062Z,2025-04-27T14:03:10Z,,,,,5685060405,144,79,5685059299,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148687,13,5,1,2,0,1939bnru25svvgv15k2c7tw2y,1,36.6,101.0,2025-04-27T14:02:30.012Z,2025-04-27T15:39:57Z,,,,,5685107811,233,16,5685106163,56,Back,5685106165,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807148593,16,5,1,2,0,5mbo4f0vps12dr0fcvjn3wyp5,0,63.4,-1.0,2025-04-27T14:02:30.012Z,2025-04-27T15:39:58Z,,,,,5685106885,56,Right,5685107917,233,13,5685106887,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
