id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2799586173,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-12T12:09:52.523Z,2025-04-12T12:09:52Z,,,,,5643587565,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, bbrdybdlcobf8cc9epxzeledw, 73h2980bizllhxfk8ic8uketw, bqravo7lm21jq5m4cz8uhx638, 593l8h3nilz2d0x42d7phllp0, b7bmxh0q5aa8646sxmvy0etqs, to4j02so007q7mkqpnrrumtw, 43anppywo7v1ydan12sq816ac",5643587569,59,"1, 14, 17, 5, 13, 4, 10, 22, 18, 7, 19, 35, 6, 9, 15, 23, 25, 39, 26",5643587567,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5643587571,130,13,5643587577,197,7822,5643587573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5643587579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643587575,194,czfitwajt0sayki90i3fk5n85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799595533,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-12T12:18:07.671Z,2025-04-12T12:18:07Z,,,,,5643637781,30,"dzdryjruyr4lpu3t7d5pgpn11, a3p681d64e0k9qse621eqi9xx, 3ks6pxe94hk9l4q46do2c628l, 3durmgxmp7tzxsr234mlhot1, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, dmj5oe18blqnxozkfd8q5myfp, 8j55jduxd0jfxrxh88kdqgcq2, epnkff9nsysx1eyh90muhmvl6, bar5tlyxm2vim2ewqauywgb85, 780mdhlnrheqczv6o7p5l8hzo, 42p4op3tm9umpwxyxde5xjefp, 7sez5w47trh4xnngir0epzl04, eq9x5pboy1dehdauroonsw3c9, c3okou4sh3r5i7mei6lpjks4q, 5sobeblelb6fl7aafw833iwwk, 8kkbwlif9496fekfraadrws9g, 8k4fw4zak03as07nwf1kiktuc, acredwjpf6ou0mdqx2cpxm4no, b8d9uwfw2r74ueh6vskteqvx0",5643637791,194,3durmgxmp7tzxsr234mlhot1,5643637785,59,"32, 5, 21, 14, 4, 25, 24, 8, 9, 10, 16, 99, 13, 15, 17, 22, 28, 29, 39, 42",5643637789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643637783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5643637795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5643637787,130,8,5643637793,197,4756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633507,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-12T13:00:44.786Z,2025-04-12T13:00:44Z,,,,,5643837665,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633521,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-12T13:00:44.786Z,2025-04-12T13:00:47Z,,,,,5643837703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633581,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.0,50.0,2025-04-12T13:00:44.787Z,2025-04-12T13:00:47Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5643837931,140,29.9,5643837935,212,21.4,5643837933,141,55.5,5643837939,279,S,5643837937,213,2.97,5643837929,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633653,4,1,1,0,2,spvvjmk37iid7hsky9g3nce7,1,30.3,54.9,2025-04-12T13:00:47.168Z,2025-04-12T13:00:53Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5643838305,213,5.87,5643838299,140,71.4,5643838295,157,,5643838303,212,47.1,5643838297,56,Center,5643838307,1,,5643838301,141,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633659,5,44,1,0,6,spvvjmk37iid7hsky9g3nce7,1,68.0,19.8,2025-04-12T13:00:50.982Z,2025-04-12T13:58:39Z,15mg49mqn215ce4ojukev0o2x,J. Bergström,,,5643838349,233,3,5643838321,286,,5643838319,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633629,3,44,1,0,6,9zqn9ugvg64it0lr5z8cq4g9v,0,32.0,80.2,2025-04-12T13:00:50.983Z,2025-04-12T13:58:40Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5643838359,233,5,5643838171,285,,5643838167,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633673,6,1,1,0,6,spvvjmk37iid7hsky9g3nce7,1,71.4,27.1,2025-04-12T13:00:51.176Z,2025-04-12T13:09:43Z,15mg49mqn215ce4ojukev0o2x,J. Bergström,,,5643838387,140,74.0,5643838393,213,5.13,5643838385,56,Right,5643838383,168,,5643838389,141,18.0,5643838391,212,6.8,5643838381,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799633693,7,1,1,0,9,spvvjmk37iid7hsky9g3nce7,1,73.3,12.2,2025-04-12T13:00:54.457Z,2025-04-12T13:00:56Z,23iwje6cgkgc05szzf2l5z97u,H. Johansson,,,5643838507,213,0.00,5643838505,212,10.6,5643838499,56,Right,5643838503,141,12.2,5643838501,140,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
