id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2820305279,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-31T12:05:09.798Z,2025-05-31T12:05:10Z,,,,,5757994771,194,6legryh9z8lvc4bq4s456m09h,5757994769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757994763,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5757994775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5757994773,197,25078,5757994761,30,"2qac7z5bt0grylf296n67j384, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, amgtzrnw9lmo9o506a0mhzip6, 85mzxov9sqq8gec4e0wwt8h78, 6legryh9z8lvc4bq4s456m09h, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, wv67qz43iwolqireq2ttfx1w, 1vr7p76nx255ikv7w00s6gnsa, 5uek9dtfn577w1mv9w83oznbp, agsollzstr45ee0z17tle8d1w, 1qyvk3eveiz8n40houjgtko9h, 18m0hkgbsvq0axzflltkyylsl, eyn7izezzer5izneismz7dm8l, dp4bh2qpsagd632sfe3qq4hqt, 6tqclthbz4m9kqiukixum1mhg, 25ytwmg2c5xcqp5ta12oznm22, 8zvc2mjym1u4uev3t60rhmvis",5757994767,130,13,5757994765,59,"1, 15, 23, 6, 29, 8, 27, 10, 24, 21, 11, 30, 2, 4, 13, 17, 18, 20, 25, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820307105,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-31T12:14:29.561Z,2025-05-31T12:14:29Z,,,,,5758004869,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, b1sztx2xd79amygbbvdia24et, 7eo3ceto09y3x4j4gh9m91kvd, 9s3boszvqn3fzsx0r1xswqyqy, 8fle9xgnd83jth2i2d6vh0k16, cyfvxg9z9aqfsoydhz7sr3qxg, 4mroygq2ruxkml5c5j4awwted, dwmmr57jqlzrzvkpxr01fnt3o, chzhwdk4l54t2kf606bkuiaqd, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, 3uj9aygyfvo2sm844e72oeesq, 8hq0so8nzsuzmsffae5nwdwmi, au1cbzehllmo4yyt6s0d16rkk, p4vij77v1xw1bl68jl4jts0k, 6mworg0saiu0e3pfg8sqopo2c, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw",5758004871,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758004875,130,13,5758004883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758004873,59,"1, 2, 21, 19, 4, 17, 8, 5, 29, 20, 18, 27, 3, 7, 9, 13, 15, 22, 23, 26",5758004881,197,22116,5758004877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758004879,194,chzhwdk4l54t2kf606bkuiaqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313587,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-31T13:01:21.744Z,2025-05-31T13:01:22Z,,,,,5758041173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313591,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-31T13:01:21.744Z,2025-05-31T13:01:24Z,,,,,5758041189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313613,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.4,50.3,2025-05-31T13:01:21.745Z,2025-05-31T13:01:29Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5758041299,212,31.6,5758041293,56,Back,5758041301,213,3.20,5758041297,141,47.5,5758041303,279,S,5758041295,140,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313627,4,1,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,0,29.8,48.1,2025-05-31T13:01:29.410Z,2025-05-31T13:01:34Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758041389,141,89.3,5758041383,157,,5758041393,213,0.36,5758041387,140,100.0,5758041395,1,,5758041391,212,79.9,5758041385,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313639,3,5,1,0,12,1939bnru25svvgv15k2c7tw2y,1,-0.9,13.3,2025-05-31T13:01:34.563Z,2025-05-31T13:50:43Z,5l4q2q8nszqp6k8exo9eyqnrp,S. Hedlund,,,5758041437,56,Back,5758041439,346,,5758041475,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313647,5,5,1,0,12,2nnlsjfbcea40t4jeclcbw9lk,0,100.9,86.7,2025-05-31T13:01:34.563Z,2025-05-31T13:50:43Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758041479,233,3,5758041473,346,,5758041471,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313749,4,1,1,0,31,1939bnru25svvgv15k2c7tw2y,0,5.5,45.1,2025-05-31T13:01:52.900Z,2025-05-31T13:01:59Z,2qac7z5bt0grylf296n67j384,S. Eriksson,,,5758041953,74,,5758041947,212,86.6,5758041949,213,6.06,5758041951,1,,5758041945,141,17.3,5758041941,56,Right,5758041943,140,86.0,5758041939,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313765,6,59,1,0,38,2nnlsjfbcea40t4jeclcbw9lk,1,12.1,80.8,2025-05-31T13:02:00.161Z,2025-05-31T13:02:01Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5758042035,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
