id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2815020065,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-15T16:09:07.207Z,2025-05-15T16:55:32Z,,,,,5728699233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728699219,30,"6pdqmo7vuzy9lt7v6vvmqybu2, ec6qqle54cq9gck2jhnbpjzs9, 7qsp3fm0wkymgiej6s7jj06p5, b5kncgqkpiofwduo2snjz74dl, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, 3ihcnb7xmqlsefg10xbdraqqd, 9469qatlpe6rdqko8c6ha4out, 5dxrx40pty4wtwdrd341p0aju, c2pfggtw5hreyomdwogbhjpqs, 2mk86jc25lu7lqklnvntxmtxw, 43tfpd1zge7whbwd5xchiu06i, cxq6miltbekjrfil30uuo0tn8, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, 59dtrk7ly4lepf7s0gywhu51w, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8",5728699225,130,13,5728699221,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5728699223,59,"25, 12, 2, 5, 30, 4, 16, 8, 19, 20, 10, 1, 9, 15, 17, 18, 21, 23, 27",5728699227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5728699229,194,96v3rv4y74yt6ukwh2churhbe,5728699231,197,10418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815021229,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-15T16:14:50.575Z,2025-05-15T17:06:51Z,,,,,5728706219,130,4,5728706213,30,"3qlfkqrawehngfhe1zmy1a61g, 7e058o66inex7g90wrwaeauw9, 5jv0xmo83g4lbzo8nodqbh46i, 3kgwkv2bjw5h244h675kmsclx, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, ez7xc7vakt4fmabtp61w72yju, ay6mgdylpu08d9pydxejbd562, 8ntq70sdmvbmmvchvu5jd6ndh, 2k1v6526ielemu1w3rayxdkkq, 9d08simhpio6vi217mqtro6ad, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, a2ggooyqi2s1berhxtm75j5qt, ekiy8mogxcfn05kwouydbdwr8, 3v40cf58jryvu4l4cxu4w9ht6, 34e59kt77fthmmbc8sp9mya96, 4xkiduv00nq24op9s8nuxbqxg, dibpecbgigb47qx4k32mt50d0",5728706225,197,8325,5728706221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728706217,59,"40, 24, 21, 7, 19, 2, 11, 8, 5, 15, 9, 30, 3, 4, 10, 20, 22, 25, 28, 33",5728706227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728706215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728706223,194,8ntq70sdmvbmmvchvu5jd6ndh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027745,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-15T17:00:50.687Z,2025-05-15T17:00:54Z,,,,,5728746249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027743,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-15T17:00:50.687Z,2025-05-15T17:00:50Z,,,,,5728746247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027757,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,49.3,48.5,2025-05-15T17:00:50.688Z,2025-05-15T19:19:54Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5728746315,140,26.3,5728746323,279,S,5728746319,212,24.2,5728746317,141,50.3,5728746313,56,Back,5728746321,213,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027765,4,1,1,0,2,46yo78zak2j7kaxc5ak1fnm60,1,26.3,50.3,2025-05-15T17:00:52.776Z,2025-05-15T17:08:44Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5728746371,141,93.2,5728746375,213,0.53,5728746367,56,Left,5728746377,1,,5728746369,140,73.5,5728763337,157,,5728746373,212,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027769,5,44,1,0,4,46yo78zak2j7kaxc5ak1fnm60,1,74.0,90.1,2025-05-15T17:00:55.527Z,2025-05-15T17:00:58Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5728746405,286,,5728746425,233,3,5728746403,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027767,3,44,1,0,4,7hlumphk42363z3i2nry2wrzj,0,26.0,9.9,2025-05-15T17:00:55.528Z,2025-05-15T17:00:59Z,7e058o66inex7g90wrwaeauw9,A. Eriksson,,,5728746397,56,Back,5728746399,285,,5728746431,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815030847,84,1,1,0,5,46yo78zak2j7kaxc5ak1fnm60,0,68.7,96.7,2025-05-15T17:00:56.017Z,2025-05-15T17:09:53Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5728765995,212,18.4,5728765989,56,Center,5728765991,140,75.2,5728765987,3,,5728765993,141,71.6,5728765997,213,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027797,6,43,1,0,5,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-15T17:00:56.247Z,2025-05-15T17:01:01Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5728746553,212,13.7,5728746549,140,81.2,5728746609,144,1,5728746547,56,Center,5728746551,141,77.0,5728746555,213,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
