id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2793509607,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-03-30T11:04:42.726Z,2025-03-30T12:58:13Z,,,,,5610022029,194,6legryh9z8lvc4bq4s456m09h,5610022033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610022027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610022023,59,"31, 6, 23, 10, 8, 2, 15, 18, 11, 27, 20, 30, 4, 13, 16, 19, 24, 25, 26, 28",5610022025,130,8,5610022021,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610022019,30,"c6xakidja1353l11ws0apj1t5, amgtzrnw9lmo9o506a0mhzip6, 2d1dh619cfgvel4bv7tpfxjo5, 60fbyywnjiz6l8n7gmi2mjld5, 6legryh9z8lvc4bq4s456m09h, agsollzstr45ee0z17tle8d1w, 5l4q2q8nszqp6k8exo9eyqnrp, dp4bh2qpsagd632sfe3qq4hqt, 1vr7p76nx255ikv7w00s6gnsa, 21abg7evjtjt6kzisu43jckmi, 6tqclthbz4m9kqiukixum1mhg, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, 9hybzhhut4ac2xinqk7kzzpwp, 116vh3v105pa9vyw10hpvuwdm, 25ytwmg2c5xcqp5ta12oznm22, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis",5610022031,197,25078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793511255,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-03-30T11:07:51.321Z,2025-03-30T12:45:07Z,,,,,5610030337,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610030339,59,"1, 14, 17, 5, 13, 4, 7, 22, 19, 18, 10, 35, 6, 9, 15, 16, 26, 27, 33, 39",5610030343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610030349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610030347,197,7822,5610030335,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, 93qjy2eilbuufwu2kbwpfng7p, czfitwajt0sayki90i3fk5n85, f0iow2x82mfh6x1olrrjo5puc, 15mg49mqn215ce4ojukev0o2x, drzdo6ouxi5n4jafhfajpor85, bomd9wl2cnqwck46ctwjqju1h, bbrdybdlcobf8cc9epxzeledw, 73h2980bizllhxfk8ic8uketw, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, 965y7z513tlxlsc19helfdffu, to4j02so007q7mkqpnrrumtw",5610030341,130,12,5610030345,194,czfitwajt0sayki90i3fk5n85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539823,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-03-30T12:00:38.500Z,2025-03-30T12:00:41Z,,,,,5610176611,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539813,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-03-30T12:00:38.500Z,2025-03-30T12:00:38Z,,,,,5610176589,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539853,3,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,49.8,50.0,2025-03-30T12:00:38.501Z,2025-03-30T12:01:38Z,1vr7p76nx255ikv7w00s6gnsa,T. Silverholt,,,5610176783,213,3.44,5610176775,56,Back,5610176779,141,37.6,5610176777,140,23.6,5610176785,279,S,5610176781,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539893,4,1,1,0,3,1939bnru25svvgv15k2c7tw2y,1,25.3,36.3,2025-03-30T12:00:41.846Z,2025-03-30T12:00:44Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5610176953,213,4.84,5610176949,141,7.9,5610176947,140,27.7,5610176945,56,Back,5610176951,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539915,5,1,1,0,6,1939bnru25svvgv15k2c7tw2y,0,25.7,10.9,2025-03-30T12:00:44.599Z,2025-03-30T12:10:15Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5610177035,56,Center,5610177045,1,,5610177041,212,43.4,5610177043,213,0.29,5610177039,141,28.9,5610177037,140,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540027,6,8,1,0,10,spvvjmk37iid7hsky9g3nce7,1,33.8,76.1,2025-03-30T12:00:49.324Z,2025-03-30T12:01:40Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5610177549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539983,4,1,1,0,12,spvvjmk37iid7hsky9g3nce7,1,36.3,88.3,2025-03-30T12:00:50.900Z,2025-03-30T12:00:53Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5610177359,141,92.7,5610177361,212,7.5,5610177357,140,42.8,5610177363,213,0.41,5610177355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793539989,5,4,1,0,14,spvvjmk37iid7hsky9g3nce7,1,43.8,92.8,2025-03-30T12:00:52.949Z,2025-03-30T12:00:59Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5610177417,13,,5610177421,152,,5610177425,286,,5610177419,56,Back,5610177427,233,6,5610177423,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
