id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800540139,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-13T11:03:44.736Z,2025-04-13T11:03:45Z,,,,,5648719563,130,4,5648719557,30,"4id56bnddab7qd1mxxsm8ueqc, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 8wz2m0yj4f0ci90m0wjftnoid, 2mfqgk982ky4y88ddcljx25n8, 8ebx705t6jvq53z6tjk0ke1d6, 174tz9lh744fhcxzabu00746h, 7uqexxe985u3bbx5lxx2vgand, 5svga5s2fg0n058ms3pndyhhw, 40l3vtezw1ofwk2occi4z5w45, cntz26i7p4q9fyzh55xswpudw, 27hg1g0tz1l6mt4eugz841hw5, dczigjj5jklu5214hs3rw1mvo, 1t67kvg37jg2elz9voix5kcet, 30117qloj2vhnxq4djfktp7u1, b83hbe115qfbfh703m5idim8k, 2e1j4tbrlrgqvm7io0hfu7is5, 3eo81o5kixwopw1onaipk3l78, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k",5648719559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648719565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648719571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648719569,197,25126,5648719567,194,8wz2m0yj4f0ci90m0wjftnoid,5648719561,59,"39, 5, 3, 22, 2, 24, 8, 16, 18, 7, 9, 1, 4, 6, 10, 17, 20, 26, 28, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800543367,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-13T11:08:39.698Z,2025-04-13T12:07:17Z,,,,,5648735805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648735809,197,25075,5648735807,194,2erjnb3l5mngpxyicnzhk7phx,5648735801,59,"1, 29, 22, 15, 13, 5, 8, 30, 9, 7, 14, 25, 3, 6, 16, 17, 18, 21, 23, 26",5648735803,130,4,5648735811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648735799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648735797,30,"b6xqk78ndtb9qmjtlavgj02qx, dp55sn2vl9mg3tpjby7peun3e, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 7hi9yit8aifyojt7i0kg69as5, bm0bafkutd9qb9qee06cys9re, b4bzaam658g6wf3knwxlghas5, 80s55a7uw8kypoikefwhtdm5m, as7qhgi67gngq0nb3zmwg8jro, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 3tbz518udos9vb9bqypn9il7t, ckwgkqxv6u28byqau4rz47efp, dptjb2pmzpzagb4rcndchf7ro, 4w0adddkbx4642lkebbcmxbzd, 1vla5l510mtb859zevvplneju, 2vfhae70oyyzm0qttlckworqi, 94i0qwhb3xu4pu37gofme9mnd, 8lnksuku11t9oyvqs0pwx45jo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582037,2,43,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-13T12:02:22.815Z,2025-04-13T12:02:41Z,,,,,5648930981,144,32,5648929587,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582025,2,43,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-13T12:02:22.815Z,2025-04-13T12:02:37Z,,,,,5648930761,144,32,5648929547,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582311,3,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-13T12:02:22.815Z,2025-04-13T12:02:40Z,,,,,5648930949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582367,3,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-13T12:02:22.815Z,2025-04-13T12:02:43Z,,,,,5648931211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582339,4,1,1,0,1,evf5hhqgnjhwjsth1m6pawxdp,1,49.7,50.1,2025-04-13T12:02:24.573Z,2025-04-13T12:03:19Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5648931049,56,Back,5648931053,141,57.6,5648934071,279,S,5648931057,213,2.72,5648931051,140,39.0,5648931055,212,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800591237,100,1,1,0,10,evf5hhqgnjhwjsth1m6pawxdp,1,43.0,85.9,2025-04-13T12:02:33.702Z,2025-04-13T12:10:26Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5648979085,140,37.0,5648979091,213,4.26,5648979083,56,Back,5648979089,212,14.4,5648979087,141,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582359,5,1,1,0,19,evf5hhqgnjhwjsth1m6pawxdp,1,43.7,68.9,2025-04-13T12:02:42.056Z,2025-04-13T12:10:04Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5648931159,56,Back,5648931163,141,91.4,5648931167,213,1.78,5648931161,140,40.6,5648931165,212,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800582403,6,1,1,0,20,evf5hhqgnjhwjsth1m6pawxdp,1,33.8,74.1,2025-04-13T12:02:43.464Z,2025-04-13T12:02:47Z,7hi9yit8aifyojt7i0kg69as5,J. Bager,,,5648931375,56,Back,5648931383,213,4.83,5648931381,212,17.1,5648931377,140,35.7,5648931379,141,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
