id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2793645967,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-03-30T13:36:25.430Z,2025-03-30T15:04:08Z,,,,,5610736099,130,10,5610736095,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5610736093,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, c2pfggtw5hreyomdwogbhjpqs, 9ajfpzjfipsub15tats3mo2j9, 59dtrk7ly4lepf7s0gywhu51w, 5dxrx40pty4wtwdrd341p0aju, 9469qatlpe6rdqko8c6ha4out, 43tfpd1zge7whbwd5xchiu06i, ec6qqle54cq9gck2jhnbpjzs9, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8",5610736097,59,"25, 16, 2, 7, 30, 4, 20, 11, 21, 19, 8, 1, 12, 15, 17, 18, 22, 23, 27",5610736105,197,10418,5610736101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5610736103,194,96v3rv4y74yt6ukwh2churhbe,5610736107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793657217,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-03-30T13:43:44.204Z,2025-03-30T13:43:44Z,,,,,5610798549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610798561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610798545,130,13,5610798553,194,edzj7i715cpyuuumcttajkc0l,5610798543,59,"1, 17, 20, 21, 5, 2, 6, 8, 9, 11, 7, 12, 3, 4, 13, 14, 15, 18, 25, 26",5610798557,197,10629,5610798533,30,"2trecv075gi4o78mfuyh4xiol, 5h0by2ot7i2z6daqdqj6nyiqy, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, c36ffo382u9flu5foebt4di39, b248ue8bteo0awvp627dokd0, edzj7i715cpyuuumcttajkc0l, e9q5sweea5ymhqqwh5tucuzth, 8uzx6yb66zjn0ke2rwqlg7wus, atxo9oz3czimyk1t4xigfrkrt, d7nx940m1bs3895u6vnu8ah1x, 87x84p759ef1d1qyffeghbp3p, 9uumw2ntt4397bee2p3m2qdt6, bdw87kq6mx8rdkkpb9w5nar1m, eikthetfmpxyeqsisa7vs3hsl, eacqkvqbdrk7h93nzhwk0jff9, 9bmo8w8t7slkzbb5owilyoqju, c3jxdm8s5meuohhv6hthhdy0a, bpzni5riygngh99pfbcu8f78q, l7librn1vzdub2poztkj3fv8",5610798539,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712327,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-03-30T14:31:36.184Z,2025-03-30T14:31:36Z,,,,,5611103887,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712341,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-03-30T14:31:36.184Z,2025-03-30T14:31:37Z,,,,,5611103949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712405,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,49.8,49.9,2025-03-30T14:31:36.185Z,2025-03-30T14:31:40Z,e9q5sweea5ymhqqwh5tucuzth,N. Mäenpää,,,5611104281,56,Back,5611104295,213,3.05,5611104289,141,53.3,5611104297,279,S,5611104285,140,26.7,5611104291,212,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712487,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,1,27.0,38.3,2025-03-30T14:31:40.076Z,2025-03-30T14:31:44Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5611104745,56,Right,5611104749,140,78.6,5611104755,213,5.91,5611104751,141,7.0,5611104741,157,,5611104753,212,58.2,5611104757,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712517,5,1,1,0,7,6i936isoyj6d0uuxdj537uc97,1,79.1,7.4,2025-03-30T14:31:44.170Z,2025-03-30T14:31:45Z,atxo9oz3czimyk1t4xigfrkrt,V. Granath,,,5611104937,140,72.6,5611104945,213,2.89,5611104933,56,Right,5611104941,141,10.0,5611104943,212,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712537,6,1,1,0,8,6i936isoyj6d0uuxdj537uc97,0,72.4,10.0,2025-03-30T14:31:45.066Z,2025-03-30T14:31:48Z,5h0by2ot7i2z6daqdqj6nyiqy,A. Boman,,,5611105019,140,76.3,5611105353,286,,5611105347,236,,5611105025,213,0.31,5611105349,233,3,5611105023,212,4.3,5611105017,56,Right,5611105021,141,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712591,3,74,1,0,8,46yo78zak2j7kaxc5ak1fnm60,1,22.8,92.1,2025-03-30T14:31:45.067Z,2025-03-30T15:51:31Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,5611105327,56,Back,5611105389,233,6,5611105329,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793712641,7,1,1,0,12,6i936isoyj6d0uuxdj537uc97,0,60.7,9.7,2025-03-30T14:31:48.683Z,2025-03-30T14:36:20Z,b248ue8bteo0awvp627dokd0,B. Kurtulus,,,5611138023,157,,5611105623,140,78.7,5611105621,56,Right,5611105627,141,13.2,5611138025,1,,5611105631,212,19.0,5611105633,213,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
