id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820306493,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-31T12:11:36.784Z,2025-05-31T12:59:37Z,,,,,5758001643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758001641,197,25085,5758001629,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, f10q2mnvhe30a9au85fjnnt3o, 1a112nxaob06fjynlat625u96, 4nx0njulsjs2hegiee011dxpl, 7wesnkwthjcluc9b83s8ab1g4, 7d9e5tvw9ghew36m4mh2nr23u, aybt4s09eeonv6pdk2v9c9v6c, 4psxc0t1nm2o7a984utuzwciy, 6ivuk1j53ybmv5hhzp55ybzzd, bi57bgog4e5pmkde5tl4bvxg4, f1qvh9qszr743tj8zb3kcvaei, cpamr0c0qq5lf5u6de1cbvgx6, 3s86186xnukjddv1sqf3pvl9m, 8avm1vadcnc6nkjhwmok5dyhh, bqid9rom7z7zb9kf10ft9ao7o, 6nh2bvbggqul1m3t1gv9k7pqs, b3jbj4ayr4x1x0ynt9dcu5u6s, bi5afrvo7cv1elj9wxyn5vsut, 7ctf2925tg7mc3a05unhxsd1w",5758001631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758001633,59,"1, 6, 5, 18, 12, 4, 8, 10, 19, 9, 16, 2, 11, 13, 14, 21, 22, 24, 25, 32",5758001637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758001639,194,5ijbt4bhic3y1zasavky12311,5758001635,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820308717,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-31T12:27:04.298Z,2025-05-31T15:12:22Z,,,,,5758014063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758014067,130,8,5758014061,30,"3qlfkqrawehngfhe1zmy1a61g, 3hn1o03lxsjzju3uorl6rnpxw, 2lafgzvhv0er31i6c2nb6xqfo, ez7xc7vakt4fmabtp61w72yju, 4er21aspnwqojlenu6lhc2b4l, sxahqo62pj3wu3yfeah4fiay, 2k1v6526ielemu1w3rayxdkkq, 3kgwkv2bjw5h244h675kmsclx, 3v40cf58jryvu4l4cxu4w9ht6, 9d08simhpio6vi217mqtro6ad, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, 8ntq70sdmvbmmvchvu5jd6ndh, a2ggooyqi2s1berhxtm75j5qt, ekiy8mogxcfn05kwouydbdwr8, 7e058o66inex7g90wrwaeauw9, 34e59kt77fthmmbc8sp9mya96, 4xkiduv00nq24op9s8nuxbqxg, ad5g9zrtf9q0hksnibia99lhw, 837f77sxft12m6yhstnktjpqs",5758014065,59,"40, 14, 3, 11, 19, 4, 15, 7, 22, 9, 8, 30, 5, 10, 20, 24, 25, 28, 36, 33",5758014069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758014075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758014071,194,9d08simhpio6vi217mqtro6ad,5758014073,197,8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313421,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-31T13:00:40.345Z,2025-05-31T13:00:42Z,,,,,5758040299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313415,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-31T13:00:40.345Z,2025-05-31T13:00:40Z,,,,,5758040295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313425,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,50.0,50.0,2025-05-31T13:00:40.346Z,2025-05-31T15:10:51Z,9d08simhpio6vi217mqtro6ad,A. Traustason,,,5758040315,140,26.5,5758040319,212,26.9,5758040317,141,65.8,5758040323,279,S,5758040313,56,Back,5758040321,213,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313447,4,1,1,0,3,7hlumphk42363z3i2nry2wrzj,0,28.0,62.3,2025-05-31T13:00:43.741Z,2025-05-31T13:00:48Z,sxahqo62pj3wu3yfeah4fiay,A. Sögaard,,,5758040461,1,,5758040459,213,5.88,5758040455,141,37.9,5758040449,157,,5758040451,56,Center,5758040453,140,65.3,5758040457,212,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313449,3,44,1,0,7,33hzf6j2rd9r50g2n4agsytkd,1,32.0,69.6,2025-05-31T13:00:47.538Z,2025-05-31T14:01:51Z,f10q2mnvhe30a9au85fjnnt3o,R. Wendin Thomasson,,,5758040465,56,Back,5758040523,233,5,5758040467,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313453,5,44,1,0,7,7hlumphk42363z3i2nry2wrzj,0,68.0,30.4,2025-05-31T13:00:47.539Z,2025-05-31T14:01:51Z,3v40cf58jryvu4l4cxu4w9ht6,T. Prica,,,5758040479,286,,5758040527,233,3,5758040477,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313459,4,1,1,0,7,33hzf6j2rd9r50g2n4agsytkd,1,27.4,82.1,2025-05-31T13:00:47.970Z,2025-05-31T13:00:50Z,f10q2mnvhe30a9au85fjnnt3o,R. Wendin Thomasson,,,5758040541,212,5.7,5758040535,56,Back,5758040543,213,4.90,5758040539,141,73.9,5758040533,3,,5758040537,140,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820313461,5,1,1,0,9,33hzf6j2rd9r50g2n4agsytkd,1,28.4,73.9,2025-05-31T13:00:49.360Z,2025-05-31T13:00:51Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5758040549,140,26.7,5758040551,141,79.1,5758040553,212,4.0,5758040547,56,Back,5758040555,213,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
