id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId
2810950153,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-05T16:04:42.269Z,2025-05-05T17:15:25Z,,,,,5706077873,130,9,5706077869,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706077877,194,azcjwvw9799e6bawnlcb0lt2i,5706077871,59,"1, 17, 25, 23, 19, 35, 7, 16, 20, 38, 22, 33, 2, 6, 9, 11, 13, 32, 34, 37",5706077875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706077881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706077867,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, azcjwvw9799e6bawnlcb0lt2i, as6coaak724tr7igyz1wwlfc9, 7si8brq1p8o6fvw93hq9v9bmc, d58ji96mcnebbci6skc46x9uc, b9tsqyrv0xp0tt5nzwrmy9gb9, 53dvtfms2uxd500y87x5jf2eh, 7hugqbtot3c8fmxtfqld9l15g, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, duhvdeeqlyxgt2qve8fjgrpat, 90eoelhr2oxpg3ejr2whwwu6t, 4az5n8aekw6ipzu7fagqhkys4, 70uwtz6q782qjf2mqpdlqpbkl, 329r6jq5pn0m174v3berarh90, d8b1lbi0r229uiylsfm2lo3ro, 1pkp4fqrgj87mk6x7lhryt6vo",5706077879,197,23796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810950973,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-05T16:06:41.047Z,2025-05-05T17:02:25Z,,,,,5706082533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706082543,197,22113,5706082541,194,8unnvgvft6knxupbp9oxh621h,5706082537,130,8,5706082531,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, dxjb3lzx9qudbom1zbgyupt78, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, aw75jdzi3u012jkwj7t0eln2s, 9niqy9wbsy6b03fa5iyx22gic, aykbbz6l05b9t5n8uaxp6n2fo, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, hm7w2b4a6j0q3bprq118r5uy, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 47ymu9whey6w61nk2nx7gpv6c, 4smb0sorl9dms1k26si6tbqzu",5706082539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706082535,59,"25, 21, 6, 27, 2, 3, 19, 10, 23, 31, 7, 40, 4, 16, 17, 20, 32, 33, 34, 77",5706082545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975487,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-05T17:01:30.254Z,2025-05-05T17:01:31Z,,,,,5706224639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975481,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-05T17:01:30.254Z,2025-05-05T17:01:30Z,,,,,5706224619,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975521,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,49.9,50.0,2025-05-05T17:01:30.255Z,2025-05-05T17:01:34Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5706224855,279,S,5706224847,140,27.2,5706224849,141,37.1,5706224845,56,Back,5706224853,213,3.49,5706224851,212,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975579,4,1,1,0,4,ac8jow4mdkvnsv5s0och4qqm,1,28.5,35.4,2025-05-05T17:01:34.660Z,2025-05-05T17:01:40Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5706225183,1,,5706225181,213,0.47,5706225175,140,95.1,5706225179,212,78.5,5706225177,141,87.8,5706225171,157,,5706225173,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810977901,44,1,1,0,5,ac8jow4mdkvnsv5s0och4qqm,1,77.1,75.0,2025-05-05T17:01:35.504Z,2025-05-05T17:06:24Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5706239765,212,23.1,5706239759,56,Left,5706239757,168,,5706239929,3,,5706239763,141,88.3,5706239767,213,0.40,5706239761,140,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975585,5,3,1,0,10,ac8jow4mdkvnsv5s0och4qqm,0,94.6,85.4,2025-05-05T17:01:40.712Z,2025-05-05T17:01:45Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5706225227,286,,5706225223,56,Left,5706225347,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975607,3,7,1,0,10,93ohqui2qgqm8408viwmm1ken,0,5.4,14.6,2025-05-05T17:01:40.713Z,2025-05-05T17:01:45Z,7hugqbtot3c8fmxtfqld9l15g,H. Bolin,,,5706225307,285,,5706225305,56,Back,5706225309,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810975637,6,1,1,0,13,ac8jow4mdkvnsv5s0och4qqm,1,97.0,86.9,2025-05-05T17:01:43.480Z,2025-05-05T17:01:45Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,5706225423,213,2.83,5706225415,56,Left,5706225419,141,92.1,5706225421,212,11.7,5706225417,140,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
