id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2806965013,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-27T11:10:31.547Z,2025-04-27T11:10:31Z,,,,,5684099023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684099021,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, dmj5oe18blqnxozkfd8q5myfp, 3durmgxmp7tzxsr234mlhot1, epnkff9nsysx1eyh90muhmvl6, bar5tlyxm2vim2ewqauywgb85, 4iguik2n53ywq82altuqoouwa, dzdryjruyr4lpu3t7d5pgpn11, 7sez5w47trh4xnngir0epzl04, eq9x5pboy1dehdauroonsw3c9, 780mdhlnrheqczv6o7p5l8hzo, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, 8k4fw4zak03as07nwf1kiktuc, acredwjpf6ou0mdqx2cpxm4no",5684099035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684099027,130,2,5684099029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684099031,194,3durmgxmp7tzxsr234mlhot1,5684099033,197,4756,5684099025,59,"99, 28, 21, 8, 4, 25, 24, 14, 9, 10, 11, 32, 13, 15, 16, 17, 19, 22, 29, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806965499,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-27T11:11:17.194Z,2025-04-27T12:07:22Z,,,,,5684101677,194,7eo3ceto09y3x4j4gh9m91kvd,5684101681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684101673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684101669,130,8,5684101667,59,"1, 2, 19, 8, 4, 6, 7, 5, 9, 23, 18, 27, 13, 17, 20, 21, 22, 26, 29, 34",5684101659,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, cyfvxg9z9aqfsoydhz7sr3qxg, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, 8hq0so8nzsuzmsffae5nwdwmi, 4mroygq2ruxkml5c5j4awwted, au1cbzehllmo4yyt6s0d16rkk, 5ib5990rsa8y9pf2bu4risjqh, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 8fle9xgnd83jth2i2d6vh0k16, chzhwdk4l54t2kf606bkuiaqd, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5684101679,197,22116,5684101663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004337,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-27T12:04:20.808Z,2025-04-27T12:04:23Z,,,,,5684304495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004325,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-27T12:04:20.808Z,2025-04-27T12:04:21Z,,,,,5684304453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004413,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.0,50.0,2025-04-27T12:04:20.809Z,2025-04-27T12:04:26Z,5ib5990rsa8y9pf2bu4risjqh,A. Boudah,,,5684304897,212,25.3,5684304895,141,49.3,5684304901,279,S,5684304899,213,3.16,5684304891,56,Back,5684304893,140,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004431,4,1,1,0,5,2nnlsjfbcea40t4jeclcbw9lk,1,25.6,50.0,2025-04-27T12:04:26.557Z,2025-04-27T12:04:28Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5684304977,56,Back,5684304985,213,3.72,5684304981,141,44.6,5684304979,140,20.2,5684304983,212,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004555,5,1,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,0,22.1,45.1,2025-04-27T12:04:28.045Z,2025-04-27T12:04:34Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5684305587,213,0.46,5684305585,212,62.1,5684305581,140,75.1,5684305579,56,Left,5684305583,141,85.6,5684305573,157,,5684305589,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004509,3,44,1,0,10,9zqn9ugvg64it0lr5z8cq4g9v,1,23.4,16.0,2025-04-27T12:04:31.661Z,2025-04-27T13:36:15Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684305377,56,Back,5684305719,233,6,5684305381,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004567,6,44,1,0,10,2nnlsjfbcea40t4jeclcbw9lk,0,76.6,84.0,2025-04-27T12:04:31.662Z,2025-04-27T13:36:15Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684305635,286,,5684305737,233,3,5684305633,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004511,4,12,1,0,11,9zqn9ugvg64it0lr5z8cq4g9v,1,23.0,23.1,2025-04-27T12:04:31.917Z,2025-04-27T12:05:21Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684305405,141,0.0,5684305409,213,4.69,5684305457,167,,5684305611,15,,5684305407,212,16.3,5684305403,140,22.7,5684305401,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004521,5,5,1,0,11,9zqn9ugvg64it0lr5z8cq4g9v,0,22.2,-1.2,2025-04-27T12:04:32.349Z,2025-04-27T12:04:36Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5684305755,233,7,5684305439,56,Back,5684305441,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004577,7,5,1,0,11,2nnlsjfbcea40t4jeclcbw9lk,1,77.8,101.2,2025-04-27T12:04:32.349Z,2025-04-27T13:04:40Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684305695,347,,5684305729,233,5,5684305693,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004823,8,1,1,0,26,2nnlsjfbcea40t4jeclcbw9lk,1,85.4,100.0,2025-04-27T12:04:47.564Z,2025-04-27T12:04:49Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5684307039,140,86.2,5684307043,212,10.4,5684307041,141,86.2,5684307035,107,,5684307045,213,4.79,5684307037,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004829,9,43,1,0,28,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-27T12:04:49.117Z,2025-04-27T12:04:57Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684307079,286,0,5684307809,144,7,5684307075,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004841,10,1,1,0,28,2nnlsjfbcea40t4jeclcbw9lk,1,86.2,86.2,2025-04-27T12:04:49.165Z,2025-04-27T12:31:02Z,5ib5990rsa8y9pf2bu4risjqh,A. Boudah,,,5684307161,141,93.8,5684307163,212,7.3,5684307159,140,81.3,5684307173,156,,5684307157,56,Left,5684307165,213,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004891,11,1,1,0,30,2nnlsjfbcea40t4jeclcbw9lk,1,77.8,94.7,2025-04-27T12:04:51.293Z,2025-04-27T12:04:53Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5684307465,140,62.0,5684307467,141,95.9,5684307471,213,3.09,5684307469,212,16.6,5684307463,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004943,12,1,1,0,32,2nnlsjfbcea40t4jeclcbw9lk,1,61.3,95.7,2025-04-27T12:04:53.324Z,2025-04-27T12:04:56Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5684307735,56,Back,5684307739,141,74.1,5684307741,212,26.1,5684307743,213,3.74,5684307737,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004957,13,1,1,0,35,2nnlsjfbcea40t4jeclcbw9lk,1,40.7,74.1,2025-04-27T12:04:56.589Z,2025-04-27T12:04:57Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5684307839,212,7.7,5684307831,140,40.0,5684307843,213,1.67,5684307835,141,85.3,5684307827,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004973,14,1,1,0,36,2nnlsjfbcea40t4jeclcbw9lk,1,40.2,87.2,2025-04-27T12:04:57.789Z,2025-04-27T12:04:59Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5684307919,140,55.5,5684307925,213,0.29,5684307915,56,Left,5684307923,212,16.8,5684307921,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807004989,15,1,1,0,38,2nnlsjfbcea40t4jeclcbw9lk,0,55.5,94.2,2025-04-27T12:04:59.118Z,2025-04-27T12:05:00Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5684308015,56,Left,5684308017,140,69.0,5684308023,213,6.26,5684308021,212,14.2,5684308019,141,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005017,6,8,1,0,40,9zqn9ugvg64it0lr5z8cq4g9v,1,25.9,12.0,2025-04-27T12:05:01.549Z,2025-04-27T12:05:01Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684308141,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005043,8,1,1,0,41,9zqn9ugvg64it0lr5z8cq4g9v,1,25.9,12.0,2025-04-27T12:05:02.181Z,2025-04-27T12:05:03Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684308285,140,30.8,5684308287,141,8.3,5684308289,212,5.7,5684308291,213,5.83,5684308283,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005067,9,1,1,0,42,9zqn9ugvg64it0lr5z8cq4g9v,1,30.8,8.3,2025-04-27T12:05:03.006Z,2025-04-27T12:05:04Z,dmj5oe18blqnxozkfd8q5myfp,A. Layouni,,,5684308425,213,1.45,5684308419,140,31.6,5684308421,141,18.3,5684308423,212,6.9,5684308417,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005073,10,61,1,0,43,9zqn9ugvg64it0lr5z8cq4g9v,0,31.6,18.3,2025-04-27T12:05:04.183Z,2025-04-27T12:32:02Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684308447,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807005071,16,43,1,0,44,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-27T12:05:05.205Z,2025-04-27T12:32:57Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5684460235,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807032995,216,83,1,0,45,9zqn9ugvg64it0lr5z8cq4g9v,0,32.3,9.9,2025-04-27T12:05:06.679Z,2025-04-27T12:33:26Z,8kkbwlif9496fekfraadrws9g,F. Öhman,,,5684463003,399,83uml6n0wlgtirmi30sa2ihd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
