id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value
2819415825,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-26T16:14:38.160Z,2025-05-26T18:15:23Z,,,,,5752956327,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, el14eiipsagmeuhborw0ksfoq, 3n6cx9whi75ybd9h6pv7i3mga, 9469qatlpe6rdqko8c6ha4out, 9ajfpzjfipsub15tats3mo2j9, 5dxrx40pty4wtwdrd341p0aju, 59dtrk7ly4lepf7s0gywhu51w, c2pfggtw5hreyomdwogbhjpqs, 43tfpd1zge7whbwd5xchiu06i, ec6qqle54cq9gck2jhnbpjzs9, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 10dorj1evvavs9abofp4ix4b8, 8e8v25kjfqsohkczqxj5xsmj8",5752956333,130,10,5752956337,194,9469qatlpe6rdqko8c6ha4out,5752956335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5752956339,197,23297,5752956331,59,"25, 16, 2, 7, 15, 4, 8, 11, 19, 21, 20, 1, 12, 17, 18, 22, 23, 24, 27",5752956329,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5752956341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819417893,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-26T16:23:33.046Z,2025-05-26T17:14:38Z,,,,,5752968073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5752968075,194,chzhwdk4l54t2kf606bkuiaqd,5752968061,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, cyfvxg9z9aqfsoydhz7sr3qxg, chzhwdk4l54t2kf606bkuiaqd, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, 8hq0so8nzsuzmsffae5nwdwmi, ec8biuf2bhu7sjwni7dhirz6x, au1cbzehllmo4yyt6s0d16rkk, p4vij77v1xw1bl68jl4jts0k, 6mworg0saiu0e3pfg8sqopo2c, 8fle9xgnd83jth2i2d6vh0k16, 83uml6n0wlgtirmi30sa2ihd6, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, dwmmr57jqlzrzvkpxr01fnt3o",5752968077,197,22116,5752968069,59,"1, 2, 19, 5, 4, 6, 8, 20, 23, 26, 7, 27, 9, 13, 15, 17, 18, 21, 22, 29",5752968065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5752968071,130,4,5752968079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429853,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-26T17:10:39.688Z,2025-05-26T17:10:40Z,,,,,5753037093,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429859,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-26T17:10:39.688Z,2025-05-26T17:10:42Z,,,,,5753037131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429861,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,50.2,48.8,2025-05-26T17:10:39.951Z,2025-05-26T17:17:54Z,59dtrk7ly4lepf7s0gywhu51w,E. Pihlström,,,5753037149,212,22.9,5753037153,279,S,5753037143,56,Back,5753037151,213,3.22,5753037147,141,46.1,5753037145,140,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429889,4,1,1,0,3,46yo78zak2j7kaxc5ak1fnm60,0,28.4,45.1,2025-05-26T17:10:42.928Z,2025-05-26T17:10:48Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5753037329,141,100.0,5753037331,212,64.0,5753037335,1,,5753037323,157,,5753037325,56,Left,5753037333,213,0.64,5753037327,140,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429899,3,5,1,0,8,2nnlsjfbcea40t4jeclcbw9lk,1,21.2,-1.4,2025-05-26T17:10:48.280Z,2025-05-26T17:31:59Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,,5753037357,347,,5753037365,233,5,5753037355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429891,5,5,1,0,8,46yo78zak2j7kaxc5ak1fnm60,0,78.8,101.4,2025-05-26T17:10:48.280Z,2025-05-26T17:10:53Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5753037337,56,Left,5753037387,233,3,5753037339,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429971,4,1,1,0,22,2nnlsjfbcea40t4jeclcbw9lk,1,20.4,0.0,2025-05-26T17:11:01.699Z,2025-05-26T17:11:04Z,1ojl4m8rsuzsjufucdotav4es,H. Skoglund,,,5753037845,213,2.33,5753037839,140,16.4,5753037843,212,6.1,5753037837,56,Back,5753037841,141,4.9,5753037835,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819429983,5,1,1,0,23,2nnlsjfbcea40t4jeclcbw9lk,1,16.4,4.9,2025-05-26T17:11:03.382Z,2025-05-26T17:18:26Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5753037909,212,19.8,5753037913,1,,5753037901,157,,5753037907,141,34.0,5753037905,140,16.2,5753037911,213,1.58,5753037903,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
