id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2797070715,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-06T11:05:17.285Z,2025-04-06T11:05:17Z,,,,,5629610971,130,8,5629610965,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, 8hq0so8nzsuzmsffae5nwdwmi, cyfvxg9z9aqfsoydhz7sr3qxg, au1cbzehllmo4yyt6s0d16rkk, chzhwdk4l54t2kf606bkuiaqd, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5629610979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629610967,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629610973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629610975,194,chzhwdk4l54t2kf606bkuiaqd,5629610977,197,25195,5629610969,59,"1, 2, 19, 5, 4, 6, 7, 8, 9, 20, 18, 27, 13, 17, 21, 22, 23, 26, 29, 34",,,,,,,,,,,,,,,,,,,,,,,,,,
2797073691,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-06T11:10:07.791Z,2025-04-06T11:10:08Z,,,,,5629627117,130,8,5629627123,197,22113,5629627115,59,"25, 21, 6, 5, 2, 3, 19, 24, 23, 7, 17, 40, 15, 18, 20, 32, 33, 34, 39, 77",5629627121,194,8unnvgvft6knxupbp9oxh621h,5629627113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5629627119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629627125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5629627111,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, 17zz0x6tm20e9yfh4q5ehaf9x, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 9niqy9wbsy6b03fa5iyx22gic, 7qgiqoaaarr6c2bs4yffqwju2, av9lz5umeimwlq7v4q4d7twr8, 89ow55pri5urh5lk857koiihg, 6wedex8oautauykl7wrrhtmvo, 4yzhx4io71t5wxd461rf2s1sk, 7srm9q1vlw55g0p0tugtlr3ai, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 47ymu9whey6w61nk2nx7gpv6c, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",,,,,,,,,,,,,,,,,,,,,,,,,,
2797109413,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-06T12:00:28.176Z,2025-04-06T12:00:28Z,,,,,5629808481,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109419,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-06T12:00:28.176Z,2025-04-06T12:00:30Z,,,,,5629808511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109461,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,49.9,50.0,2025-04-06T12:00:28.177Z,2025-04-06T12:00:32Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5629808759,56,Back,5629808761,140,28.8,5629808769,279,S,5629808763,141,48.7,5629808765,212,22.2,5629808767,213,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109483,4,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,1,29.9,49.3,2025-04-06T12:00:32.788Z,2025-04-06T12:04:34Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5629808883,212,11.4,5629808879,140,27.5,5629808877,56,Back,5629808885,213,1.79,5629808881,141,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109491,5,1,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,0,28.1,64.8,2025-04-06T12:00:35.396Z,2025-04-06T12:04:43Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5629808931,141,77.2,5629808935,213,0.25,5629808925,157,,5629808937,1,,5629808933,212,33.8,5629808927,56,Center,5629808929,140,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109561,3,1,1,0,9,ac8jow4mdkvnsv5s0och4qqm,1,23.9,12.8,2025-04-06T12:00:37.398Z,2025-04-06T12:05:06Z,8unnvgvft6knxupbp9oxh621h,E. Hovland,,,5629809099,140,39.4,5629809101,141,4.7,5629809103,212,17.2,5629809105,213,5.96,5629809097,56,Back,5629809095,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797109593,5,1,1,0,12,ac8jow4mdkvnsv5s0och4qqm,1,39.4,4.7,2025-04-06T12:00:40.627Z,2025-04-06T12:00:44Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5629809251,212,11.8,5629809245,56,Back,5629809249,141,19.5,5629809253,213,2.11,5629809247,140,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797115499,57,1,1,0,14,ac8jow4mdkvnsv5s0och4qqm,1,41.3,39.5,2025-04-06T12:00:42.771Z,2025-04-06T12:06:24Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5629841023,56,Back,5629841035,212,11.5,5629841039,213,4.15,5629841027,140,35.5,5629841031,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
