id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2805483579,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-24T16:05:49.184Z,2025-04-24T16:05:49Z,,,,5676037629,59,"1, 6, 5, 32, 12, 24, 21, 18, 19, 9, 26, 13, 2, 8, 10, 11, 16, 22, 25, 28",5676037639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676037633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676037631,130,4,5676037625,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, f10q2mnvhe30a9au85fjnnt3o, 7ctf2925tg7mc3a05unhxsd1w, 4nx0njulsjs2hegiee011dxpl, b3jbj4ayr4x1x0ynt9dcu5u6s, bqid9rom7z7zb9kf10ft9ao7o, 1a112nxaob06fjynlat625u96, 4psxc0t1nm2o7a984utuzwciy, 6ivuk1j53ybmv5hhzp55ybzzd, 1bufat0ubgsc88lkybvxb1bs9, 3s86186xnukjddv1sqf3pvl9m, f1qvh9qszr743tj8zb3kcvaei, 7d9e5tvw9ghew36m4mh2nr23u, aybt4s09eeonv6pdk2v9c9v6c, cpamr0c0qq5lf5u6de1cbvgx6, bi57bgog4e5pmkde5tl4bvxg4, 6nh2bvbggqul1m3t1gv9k7pqs, bi5afrvo7cv1elj9wxyn5vsut, 6dljoel48bfd9nsmmnkck3owl",5676037635,194,5ijbt4bhic3y1zasavky12311,5676037627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676037637,197,23548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805484695,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-24T16:13:38.571Z,2025-04-24T17:02:34Z,,,,5676045151,194,8unnvgvft6knxupbp9oxh621h,5676045153,197,5165,5676045149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676045141,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, 17zz0x6tm20e9yfh4q5ehaf9x, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, aw75jdzi3u012jkwj7t0eln2s, 9niqy9wbsy6b03fa5iyx22gic, aykbbz6l05b9t5n8uaxp6n2fo, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, hm7w2b4a6j0q3bprq118r5uy, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, dxjb3lzx9qudbom1zbgyupt78, bpu2cfexsy3lcf7avl9im6gb8, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",5676045143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676045145,59,"25, 21, 6, 5, 2, 3, 19, 10, 23, 31, 7, 40, 4, 16, 17, 20, 27, 32, 39, 77",5676045155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676045147,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491667,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-24T17:00:35.851Z,2025-04-24T17:00:38Z,,,,5676087657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491665,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-24T17:00:35.851Z,2025-04-24T17:00:36Z,,,,5676087655,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491679,3,1,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,50.0,50.0,2025-04-24T17:00:35.852Z,2025-04-24T17:09:44Z,1bufat0ubgsc88lkybvxb1bs9,C. Amatkarijo,,5676087745,141,50.3,5676087747,212,21.2,5676087749,213,3.13,5676087751,279,S,5676087743,140,29.8,5676087741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491693,4,1,1,0,4,33hzf6j2rd9r50g2n4agsytkd,0,29.8,50.3,2025-04-24T17:00:40.435Z,2025-04-24T17:11:08Z,b3jbj4ayr4x1x0ynt9dcu5u6s,F. Beckman,,5676087805,141,34.6,5676087811,1,,5676087807,212,47.9,5676087799,157,,5676087809,213,6.06,5676087801,56,Center,5676087803,140,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491697,3,12,1,0,7,ac8jow4mdkvnsv5s0och4qqm,1,12.4,70.6,2025-04-24T17:00:43.321Z,2025-04-24T17:00:44Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,5676087839,213,0.18,5676087841,15,,5676087833,140,26.9,5676087831,56,Back,5676087835,141,74.7,5676087837,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491699,5,61,1,0,9,33hzf6j2rd9r50g2n4agsytkd,0,67.0,28.3,2025-04-24T17:00:45.187Z,2025-04-24T17:11:36Z,bqid9rom7z7zb9kf10ft9ao7o,A. Henriksson,,5676087845,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491711,4,12,1,0,10,ac8jow4mdkvnsv5s0och4qqm,1,14.4,69.7,2025-04-24T17:00:45.944Z,2025-04-24T17:00:48Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,5676087899,141,90.6,5676087895,56,Back,5676087901,212,22.7,5676087903,213,0.68,5676087897,140,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491715,5,61,1,0,12,ac8jow4mdkvnsv5s0och4qqm,0,30.8,90.9,2025-04-24T17:00:48.296Z,2025-04-24T17:00:48Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5676087917,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
