id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2800696109,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-13T13:41:29.682Z,2025-04-13T14:32:38Z,,,,,5649528473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649528471,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, f1qvh9qszr743tj8zb3kcvaei, 7ctf2925tg7mc3a05unhxsd1w, 4nx0njulsjs2hegiee011dxpl, 7wesnkwthjcluc9b83s8ab1g4, bqid9rom7z7zb9kf10ft9ao7o, aybt4s09eeonv6pdk2v9c9v6c, 4psxc0t1nm2o7a984utuzwciy, 6ivuk1j53ybmv5hhzp55ybzzd, 1bufat0ubgsc88lkybvxb1bs9, 3s86186xnukjddv1sqf3pvl9m, f10q2mnvhe30a9au85fjnnt3o, 7d9e5tvw9ghew36m4mh2nr23u, bi57bgog4e5pmkde5tl4bvxg4, 1a112nxaob06fjynlat625u96, 6nh2bvbggqul1m3t1gv9k7pqs, b3jbj4ayr4x1x0ynt9dcu5u6s, bi5afrvo7cv1elj9wxyn5vsut, 6dljoel48bfd9nsmmnkck3owl",5649528479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649528485,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649528477,130,4,5649528483,197,23548,5649528481,194,5ijbt4bhic3y1zasavky12311,5649528475,59,"1, 6, 2, 32, 12, 4, 21, 10, 19, 9, 26, 13, 5, 8, 16, 18, 22, 24, 25, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,
2800696397,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-13T13:41:40.052Z,2025-04-13T15:57:13Z,,,,,5649530025,194,96v3rv4y74yt6ukwh2churhbe,5649530015,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, ec6qqle54cq9gck2jhnbpjzs9, a4f6z4alegkvrhm4k864w9lg5, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, c2pfggtw5hreyomdwogbhjpqs, 9ajfpzjfipsub15tats3mo2j9, 5dxrx40pty4wtwdrd341p0aju, 9469qatlpe6rdqko8c6ha4out, 43qtylo4kl50nmdiiu5hufqj8, 43tfpd1zge7whbwd5xchiu06i, 7qsp3fm0wkymgiej6s7jj06p5, 2mk86jc25lu7lqklnvntxmtxw, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 59dtrk7ly4lepf7s0gywhu51w, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8",5649530017,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649530027,197,22114,5649530019,59,"25, 16, 12, 7, 30, 4, 20, 11, 19, 8, 18, 1, 2, 10, 15, 17, 21, 22, 23, 27",5649530031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649530023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649530021,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750789,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-13T14:30:59.892Z,2025-04-13T14:31:00Z,,,,,5649827761,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750793,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-13T14:30:59.892Z,2025-04-13T16:28:24Z,,,,,5649827775,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750821,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,49.9,49.9,2025-04-13T14:30:59.893Z,2025-04-13T14:31:05Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,5649827915,213,3.56,5649827909,140,31.4,5649827917,279,S,5649827907,56,Back,5649827913,212,21.2,5649827911,141,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750919,4,1,1,0,4,46yo78zak2j7kaxc5ak1fnm60,1,34.1,39.2,2025-04-13T14:31:04.823Z,2025-04-13T14:38:43Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5649828437,141,89.6,5649828445,1,,5649828425,56,Left,5649828441,212,54.6,5649828443,213,0.68,5649828429,140,74.6,5649828419,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800750939,5,1,1,0,6,46yo78zak2j7kaxc5ak1fnm60,0,73.4,88.6,2025-04-13T14:31:06.312Z,2025-04-13T14:31:07Z,ec6qqle54cq9gck2jhnbpjzs9,E. Lindell,,,5649828553,3,,5649828557,56,Center,5649828565,213,5.28,5649828559,140,87.7,5649828563,212,27.8,5649828561,141,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751233,5,1,1,0,20,33hzf6j2rd9r50g2n4agsytkd,1,13.5,46.9,2025-04-13T14:31:20.551Z,2025-04-13T14:31:23Z,kod0xzh15xxa52700ufz7kyd,M. Krasniqi,,,5649830289,140,26.2,5649830291,141,38.3,5649830293,212,14.6,5649830295,213,5.87,5649830287,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751283,6,1,1,0,22,33hzf6j2rd9r50g2n4agsytkd,1,21.9,38.7,2025-04-13T14:31:22.551Z,2025-04-13T14:39:29Z,4nx0njulsjs2hegiee011dxpl,R. Frej,,,5649830565,212,9.7,5649830561,140,29.9,5649830567,213,0.52,5649830563,141,45.8,5649830559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800751293,7,1,1,0,24,33hzf6j2rd9r50g2n4agsytkd,1,28.1,62.3,2025-04-13T14:31:24.705Z,2025-04-13T14:31:26Z,7ctf2925tg7mc3a05unhxsd1w,H. Ibrahim,,,5649830643,212,9.3,5649830639,141,74.2,5649830631,56,Back,5649830635,140,23.8,5649830645,213,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
