id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value
2814684251,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-14T16:04:23.385Z,2025-05-14T17:38:38Z,,,,,5726793973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726793965,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, 9yb0exf35kl3avhdnlhv23glx, alxccjq2y6il5yjw108a0axnt, 99i96gbkvesmh3wspv8rl1ln9, prvbf3gxwflgzxuvgvb7ls5x, 3xx0l8c30mjstvxq7z1s0fnit, b0rem4wo1p6sumrp6mb77f11w, 7gbgk4q4bxc1h7kcd0u96o9nt, azvjk1schroxi2dq22hwnqr1m, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, eahcgnvlq1tkswvjuovyzxxw5, 3hz7fbme9sm4xkj5fo3moeluc, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5726793975,194,99i96gbkvesmh3wspv8rl1ln9,5726793971,130,12,5726793979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726793969,59,"15, 17, 19, 3, 4, 16, 8, 7, 10, 11, 5, 30, 9, 21, 22, 26, 32, 43, 45, 47",5726793977,197,22091,5726793967,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814685001,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-14T16:09:00.976Z,2025-05-14T17:15:48Z,,,,,5726798473,194,42p4op3tm9umpwxyxde5xjefp,5726798463,30,"42p4op3tm9umpwxyxde5xjefp, 8kkbwlif9496fekfraadrws9g, 7sez5w47trh4xnngir0epzl04, bar5tlyxm2vim2ewqauywgb85, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, acredwjpf6ou0mdqx2cpxm4no, 780mdhlnrheqczv6o7p5l8hzo, epnkff9nsysx1eyh90muhmvl6, eq9x5pboy1dehdauroonsw3c9, 4iguik2n53ywq82altuqoouwa, eydu7p01ud08kscyaav4aaok5, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, 8k4fw4zak03as07nwf1kiktuc, 50xax4sqxz9mbfney5xxi47pw, 3m1hinnpok7z1mcesei1ttvkk",5726798475,197,4756,5726798471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5726798465,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5726798469,130,5,5726798467,59,"99, 28, 13, 10, 8, 4, 39, 16, 9, 15, 11, 26, 17, 19, 22, 29, 44, 40",5726798477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693505,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-14T17:03:36.269Z,2025-05-14T17:03:36Z,,,,,5726851181,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693501,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-14T17:03:36.269Z,2025-05-14T17:03:37Z,,,,,5726851165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693521,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,50.0,50.0,2025-05-14T17:03:36.704Z,2025-05-14T17:08:47Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,,5726851269,141,37.0,5726851267,140,33.0,5726851275,279,S,5726851271,212,19.9,5726851265,56,Back,5726851273,213,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693535,4,1,1,0,3,9zqn9ugvg64it0lr5z8cq4g9v,0,32.3,44.2,2025-05-14T17:03:40.174Z,2025-05-14T17:03:42Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5726851343,157,,5726851353,213,0.35,5726851351,212,45.2,5726851355,1,,5726851345,56,Center,5726851347,140,72.7,5726851349,141,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693541,3,12,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,1,25.9,33.6,2025-05-14T17:03:43.413Z,2025-05-14T17:10:05Z,9yb0exf35kl3avhdnlhv23glx,B. Hansen,,,5726865515,15,,5726851381,213,0.86,5726851379,212,8.2,5726851377,141,42.8,5726851373,56,Back,5726851375,140,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693561,5,1,1,0,8,9zqn9ugvg64it0lr5z8cq4g9v,1,58.8,65.4,2025-05-14T17:03:44.797Z,2025-05-14T17:03:46Z,bar5tlyxm2vim2ewqauywgb85,M. Rygaard,,,5726851487,141,75.9,5726851489,212,12.2,5726851483,56,Center,5726851485,140,68.2,5726851491,213,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693571,6,1,1,0,10,9zqn9ugvg64it0lr5z8cq4g9v,1,67.1,76.3,2025-05-14T17:03:46.461Z,2025-05-14T17:10:32Z,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,5726851553,141,94.2,5726851551,140,74.5,5726851555,212,14.4,5726851557,213,1.00,5726851549,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814693579,7,43,1,0,11,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-05-14T17:03:47.853Z,2025-05-14T17:03:54Z,7sez5w47trh4xnngir0epzl04,S. Jansson,,,5726851587,141,89.3,5726851853,144,12,5726851589,212,0,5726851583,56,Left,5726851591,213,3.14,5726851585,140,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
