id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value
2800540331,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-13T11:04:05.473Z,2025-04-13T14:39:57Z,,,,,5648720505,130,4,5648720499,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, cyfvxg9z9aqfsoydhz7sr3qxg, chzhwdk4l54t2kf606bkuiaqd, au1cbzehllmo4yyt6s0d16rkk, 8hq0so8nzsuzmsffae5nwdwmi, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, p4vij77v1xw1bl68jl4jts0k, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5648720509,194,chzhwdk4l54t2kf606bkuiaqd,5648720511,197,22116,5648720513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648720507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648720501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648720503,59,"1, 2, 19, 5, 4, 6, 8, 20, 9, 7, 18, 27, 13, 17, 21, 22, 23, 26, 29, 34",,,,,,,,,,,,,,,,,,,,,,,,,,
2800541685,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-13T11:06:12.476Z,2025-04-13T13:09:38Z,,,,,5648727587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648727585,197,5157,5648727575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648727577,59,"45, 18, 27, 20, 4, 3, 8, 7, 10, 15, 11, 35, 5, 9, 12, 13, 19, 23, 29, 36",5648727573,30,"d5jgrd0clyl4rskqu6j8hcwkp, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, ebhyx7fm13sy9qjf4vylzg89h, 23p0dby12ymf55wwi0xz2fnx1, 6n7sw8r0fhcoa8hfuxrtm96tx, 370kkwnidcltqyooh51z6uzqi, dvl8q7nwvz3o6d73220d1ag2d, 5t5ib5l818gj98xrztrj0kbca, 1utyorvutnk14hp6dr079t1m2, 26dlb4txygf7qzukjikr23mxh, 5jos8v6hr086q8at9iuyhwded, 3bepi58wwope38a478y7jwlxw, csd7qb9u0a9am2ltse9w31uz8, bhaqw4112j43c753dlxhy61ud, 9jszz4regvdvl0v4i8s41jbah, e5oacvmfe0ig0vfrk0oxaqcq1, a3jetivxcnpp4z36nhboz5ysq, 1kmf6cvipol87w83cf6gb504",5648727581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648727579,130,4,5648727583,194,ebhyx7fm13sy9qjf4vylzg89h,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587733,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-13T12:07:24.746Z,2025-04-13T12:07:27Z,,,,,5648958871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587723,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-04-13T12:07:24.746Z,2025-04-13T12:07:24Z,,,,,5648958825,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587805,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.0,50.0,2025-04-13T12:07:24.747Z,2025-04-13T12:14:59Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5648959253,140,33.3,5648959251,56,Back,5648959259,213,3.17,5648959261,279,S,5648959255,141,49.3,5648959257,212,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587843,4,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,1,33.3,49.3,2025-04-13T12:07:28.927Z,2025-04-13T12:07:31Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5648959477,212,14.8,5648959475,141,35.4,5648959479,213,3.83,5648959471,56,Back,5648959473,140,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587913,5,1,1,0,6,2nnlsjfbcea40t4jeclcbw9lk,0,22.7,35.5,2025-04-13T12:07:31.006Z,2025-04-13T12:07:34Z,ch1ehgr9guufs2wmz5dbvmvo5,W. Hahn,,,5648959849,1,,5648959837,157,,5648959845,212,63.7,5648959839,56,Center,5648959841,140,81.8,5648959843,141,56.6,5648959847,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587925,3,12,1,0,8,czkf5t3ai00ghwbga03i5aqxw,1,24.4,45.5,2025-04-13T12:07:33.602Z,2025-04-13T12:15:35Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5648959903,56,Back,5648959907,141,51.5,5648959911,213,0.44,5649011301,15,,5648959909,212,9.5,5648959905,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587969,6,61,1,0,10,2nnlsjfbcea40t4jeclcbw9lk,0,67.3,47.9,2025-04-13T12:07:34.942Z,2025-04-13T12:15:46Z,cyfvxg9z9aqfsoydhz7sr3qxg,M. Karlsson,,,5648960091,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800587981,4,1,1,0,11,czkf5t3ai00ghwbga03i5aqxw,0,24.2,43.9,2025-04-13T12:07:36.721Z,2025-04-13T12:07:37Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5648960159,140,37.1,5648960155,3,,5648960161,141,50.3,5648960163,212,14.2,5648960165,213,0.31,5648960157,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588097,7,1,1,0,14,2nnlsjfbcea40t4jeclcbw9lk,1,64.7,42.7,2025-04-13T12:07:39.311Z,2025-04-13T12:07:42Z,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,5648960745,212,13.8,5648960747,213,1.10,5648960743,141,60.8,5648960741,140,70.7,5648960739,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588131,8,1,1,0,17,2nnlsjfbcea40t4jeclcbw9lk,1,70.7,60.8,2025-04-13T12:07:41.967Z,2025-04-13T12:07:43Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5648960939,212,8.0,5648960941,213,2.08,5648960935,140,67.0,5648960933,56,Center,5648960937,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588179,9,1,1,0,18,2nnlsjfbcea40t4jeclcbw9lk,1,67.6,71.2,2025-04-13T12:07:43.151Z,2025-04-13T12:07:44Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5648961147,212,17.6,5648961145,141,89.4,5648961141,56,Left,5648961143,140,79.5,5648961149,213,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588255,10,1,1,0,19,2nnlsjfbcea40t4jeclcbw9lk,1,82.6,89.7,2025-04-13T12:07:44.528Z,2025-04-13T12:07:47Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5648961505,140,95.4,5648961509,212,14.4,5648961511,213,5.92,5648961507,141,82.1,5648961503,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588275,11,1,1,0,22,2nnlsjfbcea40t4jeclcbw9lk,0,95.2,82.0,2025-04-13T12:07:47.199Z,2025-04-13T12:07:48Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5648961793,286,,5648961789,233,5,5648961617,140,95.0,5648961611,2,,5648961623,213,4.50,5648961621,212,1.0,5648961615,56,Left,5648961787,236,,5648961619,141,80.6,,,,,,,,,,,,,,,,,,,,,,,
2800588307,5,12,1,0,22,czkf5t3ai00ghwbga03i5aqxw,1,5.0,15.3,2025-04-13T12:07:47.299Z,2025-04-13T12:07:49Z,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,5648961753,185,,5648961755,56,Back,5648961845,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588323,6,6,1,0,24,czkf5t3ai00ghwbga03i5aqxw,0,5.0,16.9,2025-04-13T12:07:48.881Z,2025-04-13T12:16:03Z,6n7sw8r0fhcoa8hfuxrtm96tx,A. Ekdal,,,5648961965,73,,5648962065,233,12,5648961963,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800588331,12,6,1,0,24,2nnlsjfbcea40t4jeclcbw9lk,1,95.0,83.1,2025-04-13T12:07:48.881Z,2025-04-13T12:16:02Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5648962011,233,6,5648961901,73,,5648961899,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
