id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2793510775,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-03-30T11:06:52.015Z,2025-03-30T11:58:52Z,,,,,5610027835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610027833,130,4,5610027831,59,"1, 18, 22, 15, 13, 3, 30, 8, 9, 17, 14, 25, 5, 6, 7, 16, 21, 23, 26, 29",5610027827,30,"b6xqk78ndtb9qmjtlavgj02qx, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, b4bzaam658g6wf3knwxlghas5, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 94i0qwhb3xu4pu37gofme9mnd, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",5610027829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610027837,194,2erjnb3l5mngpxyicnzhk7phx,5610027839,197,26292,5610027841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793512761,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-03-30T11:11:40.791Z,2025-03-30T13:28:20Z,,,,,5610038547,194,chzhwdk4l54t2kf606bkuiaqd,5610038549,197,22116,5610038551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610038545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610038543,130,8,5610038537,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, 8hq0so8nzsuzmsffae5nwdwmi, cyfvxg9z9aqfsoydhz7sr3qxg, au1cbzehllmo4yyt6s0d16rkk, chzhwdk4l54t2kf606bkuiaqd, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, 6mworg0saiu0e3pfg8sqopo2c, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, 2v1tnyzorjyx7pyf3auj73ytw, dwmmr57jqlzrzvkpxr01fnt3o, cp6wq9yycl773piudi3we5b84",5610038539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610038541,59,"1, 2, 19, 5, 4, 6, 7, 8, 9, 20, 18, 27, 15, 17, 21, 22, 23, 26, 29, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542371,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-03-30T12:03:55.343Z,2025-03-30T12:03:55Z,,,,,5610189881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542393,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-03-30T12:03:55.343Z,2025-03-30T12:03:57Z,,,,,5610189987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542421,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.2,49.9,2025-03-30T12:03:55.344Z,2025-03-30T12:03:59Z,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,5610190121,56,Back,5610190125,141,49.4,5610190123,140,30.0,5610190131,279,S,5610190127,212,21.2,5610190129,213,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542443,4,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,1,30.8,54.5,2025-03-30T12:03:59.471Z,2025-03-30T12:04:01Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,,5610190239,212,13.4,5610190241,213,1.69,5610190237,141,74.1,5610190235,140,29.3,5610190233,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542459,5,1,1,0,6,2nnlsjfbcea40t4jeclcbw9lk,0,29.1,74.7,2025-03-30T12:04:01.392Z,2025-03-30T12:04:02Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5610190305,56,Center,5610190303,157,,5610190315,1,,5610190313,213,6.27,5610190309,141,73.6,5610190307,140,71.5,5610190311,212,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542493,3,1,1,0,7,evf5hhqgnjhwjsth1m6pawxdp,0,27.3,31.9,2025-03-30T12:04:02.806Z,2025-03-30T12:04:04Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5610190497,1,,5610190485,157,,5610190487,56,Right,5610190489,140,64.1,5610190491,141,13.2,5610190495,213,5.97,5610190493,212,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542517,6,1,1,0,10,2nnlsjfbcea40t4jeclcbw9lk,0,29.2,89.0,2025-03-30T12:04:05.904Z,2025-03-30T12:04:07Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5610190627,141,88.4,5610190621,3,,5610190629,212,7.6,5610190623,56,Back,5610190625,140,36.4,5610190631,213,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542513,4,44,1,0,11,evf5hhqgnjhwjsth1m6pawxdp,1,60.6,14.6,2025-03-30T12:04:06.549Z,2025-03-30T13:17:50Z,b4bzaam658g6wf3knwxlghas5,R. Lundqvist,,,5610190601,286,,5610191353,233,7,5610190599,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542521,7,44,1,0,11,2nnlsjfbcea40t4jeclcbw9lk,0,39.4,85.4,2025-03-30T12:04:06.550Z,2025-03-30T13:17:51Z,4mroygq2ruxkml5c5j4awwted,T. Tekie,,,5610190657,56,Back,5610190659,285,,5610191383,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542529,5,61,1,0,11,evf5hhqgnjhwjsth1m6pawxdp,1,55.4,19.7,2025-03-30T12:04:06.907Z,2025-03-30T14:09:18Z,b4bzaam658g6wf3knwxlghas5,R. Lundqvist,,,5610190683,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542565,8,50,1,0,13,2nnlsjfbcea40t4jeclcbw9lk,1,53.6,91.6,2025-03-30T12:04:09.188Z,2025-03-30T13:17:33Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,,5610190867,56,Left,5610190873,286,,5610190999,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542573,6,7,1,0,13,evf5hhqgnjhwjsth1m6pawxdp,1,46.4,8.4,2025-03-30T12:04:09.189Z,2025-03-30T13:17:33Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5610190917,56,Back,5610190919,285,,5610190949,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542597,7,1,1,0,16,evf5hhqgnjhwjsth1m6pawxdp,0,60.7,11.5,2025-03-30T12:04:11.421Z,2025-03-30T13:03:48Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5610499419,213,6.25,5610499417,212,2.0,5610499683,236,,5610499685,233,9,5610499689,286,,5610499415,141,11.4,5610499413,140,62.6,5610191041,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542601,9,74,1,0,16,2nnlsjfbcea40t4jeclcbw9lk,1,37.4,88.6,2025-03-30T12:04:11.422Z,2025-03-30T13:03:49Z,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,,,5610499731,233,7,5610191077,56,Back,5610191079,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542615,8,61,1,0,17,evf5hhqgnjhwjsth1m6pawxdp,1,60.2,12.5,2025-03-30T12:04:13.105Z,2025-03-30T12:04:13Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5610191145,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793542631,9,5,1,0,18,evf5hhqgnjhwjsth1m6pawxdp,0,63.0,-1.4,2025-03-30T12:04:13.909Z,2025-03-30T12:04:18Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5610191217,347,,5610191401,233,10,5610191215,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
