id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2815020665,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-15T16:11:58.130Z,2025-05-15T16:11:58Z,,,,,5728702925,194,8unnvgvft6knxupbp9oxh621h,5728702929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728702927,197,5165,5728702921,130,8,5728702917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728702923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728702919,59,"25, 21, 6, 10, 2, 3, 19, 24, 23, 16, 7, 40, 4, 5, 17, 20, 27, 33, 39, 77",5728702915,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, aw75jdzi3u012jkwj7t0eln2s, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 9niqy9wbsy6b03fa5iyx22gic, hm7w2b4a6j0q3bprq118r5uy, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, 17zz0x6tm20e9yfh4q5ehaf9x, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, dxjb3lzx9qudbom1zbgyupt78, c7uvrj36f6lhfurysy774ku8k, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815020669,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-15T16:11:58.590Z,2025-05-15T17:04:14Z,,,,,5728702959,197,25078,5728702961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728702955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728702957,194,6legryh9z8lvc4bq4s456m09h,5728702951,59,"1, 15, 23, 2, 8, 6, 27, 10, 24, 25, 20, 30, 4, 13, 16, 19, 21, 26, 28, 29",5728702953,130,13,5728702949,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728702947,30,"2qac7z5bt0grylf296n67j384, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, 6legryh9z8lvc4bq4s456m09h, amgtzrnw9lmo9o506a0mhzip6, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, 25ytwmg2c5xcqp5ta12oznm22, 6tqclthbz4m9kqiukixum1mhg, 5uek9dtfn577w1mv9w83oznbp, 1qyvk3eveiz8n40houjgtko9h, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, 9hybzhhut4ac2xinqk7kzzpwp, wv67qz43iwolqireq2ttfx1w, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis, 85mzxov9sqq8gec4e0wwt8h78",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027673,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-15T17:00:33.723Z,2025-05-15T17:00:36Z,,,,,5728745847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027667,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-15T17:00:33.723Z,2025-05-15T19:08:31Z,,,,,5728745825,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027683,3,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,50.1,50.1,2025-05-15T17:00:33.724Z,2025-05-15T17:00:37Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5728745929,279,S,5728745925,212,26.5,5728745927,213,3.28,5728745921,140,25.1,5728745923,141,44.6,5728745919,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027693,4,1,1,0,2,1939bnru25svvgv15k2c7tw2y,0,28.3,42.8,2025-05-15T17:00:36.399Z,2025-05-15T17:00:42Z,6legryh9z8lvc4bq4s456m09h,S. Holmén,,,5728745993,56,Right,5728746003,1,,5728745995,140,68.0,5728745999,212,49.6,5728746001,213,5.71,5728745997,141,3.4,5728745991,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027697,3,44,1,0,7,ac8jow4mdkvnsv5s0och4qqm,1,30.9,94.6,2025-05-15T17:00:41.374Z,2025-05-15T17:52:07Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5728746013,56,Back,5728746833,233,5,5728746015,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027695,5,44,1,0,7,1939bnru25svvgv15k2c7tw2y,0,69.1,5.4,2025-05-15T17:00:41.375Z,2025-05-15T17:12:03Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728746007,56,Right,5728746009,286,,5728746821,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815031733,103,1,1,0,7,ac8jow4mdkvnsv5s0och4qqm,0,29.2,97.7,2025-05-15T17:00:41.411Z,2025-05-15T17:11:59Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5728771421,140,30.3,5728771427,213,0.53,5728771425,212,1.3,5728771419,56,Back,5728771423,141,98.7,5728771417,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027893,8,61,1,0,8,1939bnru25svvgv15k2c7tw2y,1,62.8,5.9,2025-05-15T17:00:41.927Z,2025-05-15T17:12:11Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5728747013,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
