id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value
2816462261,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-18T13:42:42.141Z,2025-05-18T14:30:57Z,,,,,5736571381,130,2,5736571377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736571375,30,"7iv79dtpsplpjl1jxod3swmlm, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, d58ji96mcnebbci6skc46x9uc, 4j6a6qec8m58zgojpbv8wxnf9, as6coaak724tr7igyz1wwlfc9, 8ydeghsg8bdyovqjnr56hz8x5, azcjwvw9799e6bawnlcb0lt2i, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, 7hugqbtot3c8fmxtfqld9l15g, cj7aybqox4kzoicnzea7b64t1, lh30ckelpek3u7jbzotxuvze, 5mb3g5nufbwhw09w3wgm6glwp, 4az5n8aekw6ipzu7fagqhkys4, 70uwtz6q782qjf2mqpdlqpbkl, b9tsqyrv0xp0tt5nzwrmy9gb9, dvi2tleym136aqpvwfi4lustm, 329r6jq5pn0m174v3berarh90, 7si8brq1p8o6fvw93hq9v9bmc",5736571389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736571387,197,23796,5736571385,194,62w849kqrnjm00xr12suencgl,5736571379,59,"33, 17, 25, 7, 18, 19, 29, 23, 9, 10, 38, 1, 2, 8, 11, 13, 16, 22, 32, 35",5736571383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816473269,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-18T13:50:12.663Z,2025-05-18T14:33:23Z,,,,,5736624511,194,edzj7i715cpyuuumcttajkc0l,5736624513,197,10629,5736624507,130,11,5736624505,59,"12, 11, 15, 21, 4, 2, 29, 6, 9, 25, 18, 1, 3, 10, 13, 14, 20, 26, 8, 28",5736624501,30,"87x84p759ef1d1qyffeghbp3p, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, 2s9ra3bnhkcid5uz7abhdhr6d, bdw87kq6mx8rdkkpb9w5nar1m, b248ue8bteo0awvp627dokd0, bzm752bvefjt54nj6ruf9tbtg, edzj7i715cpyuuumcttajkc0l, 8uzx6yb66zjn0ke2rwqlg7wus, bpzni5riygngh99pfbcu8f78q, c3jxdm8s5meuohhv6hthhdy0a, 2trecv075gi4o78mfuyh4xiol, 9uumw2ntt4397bee2p3m2qdt6, 7q001jk9hk2ylv31sv48fv7dg, eikthetfmpxyeqsisa7vs3hsl, eacqkvqbdrk7h93nzhwk0jff9, 2iaisohuaaw7ioyox0d9zuvl6, l7librn1vzdub2poztkj3fv8, e9q5sweea5ymhqqwh5tucuzth, d4nz5uqb2xsmza0ui0l20sgk",5736624509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736624515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736624503,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524017,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-18T14:31:26.162Z,2025-05-18T14:31:26Z,,,,,5736881799,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524023,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-18T14:31:26.162Z,2025-05-18T14:31:28Z,,,,,5736881827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524101,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,50.0,50.0,2025-05-18T14:31:26.163Z,2025-05-18T14:31:31Z,62w849kqrnjm00xr12suencgl,A. Christiansen,,,5736882285,212,14.7,5736882287,213,3.16,5736882283,141,49.7,5736882279,56,Back,5736882289,279,S,5736882281,140,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524113,4,1,1,0,5,93ohqui2qgqm8408viwmm1ken,1,35.7,49.4,2025-05-18T14:31:31.403Z,2025-05-18T14:37:22Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5736882373,212,41.0,5736882369,140,69.4,5736882371,141,79.9,5736882367,56,Left,5736882377,1,,5736882365,157,,5736882375,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524123,5,44,1,0,7,93ohqui2qgqm8408viwmm1ken,1,69.2,83.9,2025-05-18T14:31:33.371Z,2025-05-18T15:20:49Z,4j6a6qec8m58zgojpbv8wxnf9,P. Jansson,,,5736882459,233,3,5736882437,56,Left,5736882439,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524129,3,44,1,0,7,6i936isoyj6d0uuxdj537uc97,0,30.8,16.1,2025-05-18T14:31:33.372Z,2025-05-18T15:20:49Z,b248ue8bteo0awvp627dokd0,B. Kurtulus,,,5736882457,285,,5736882455,56,Back,5736882487,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524145,6,1,1,0,7,93ohqui2qgqm8408viwmm1ken,0,68.4,77.9,2025-05-18T14:31:33.956Z,2025-05-18T14:37:57Z,4j6a6qec8m58zgojpbv8wxnf9,P. Jansson,,,5736882549,141,60.9,5736882553,213,5.12,5736882543,3,,5736882551,212,12.6,5736882547,140,73.2,5736882545,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524153,4,12,1,0,8,6i936isoyj6d0uuxdj537uc97,1,24.9,38.6,2025-05-18T14:31:34.892Z,2025-05-18T14:38:21Z,2s9ra3bnhkcid5uz7abhdhr6d,M. Olsson,,,5736882665,15,,5736882591,140,37.4,5736882595,212,14.3,5736882597,213,5.87,5736882593,141,30.1,5736882589,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816524175,5,61,1,0,9,6i936isoyj6d0uuxdj537uc97,0,35.6,30.0,2025-05-18T14:31:36.116Z,2025-05-18T14:38:51Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,,5736882703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
