id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2813378809,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-11T11:06:05.045Z,2025-05-11T13:00:18Z,,,,5719553505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719553491,30,"ch1ehgr9guufs2wmz5dbvmvo5, 1ojl4m8rsuzsjufucdotav4es, 7eo3ceto09y3x4j4gh9m91kvd, 4mroygq2ruxkml5c5j4awwted, 9s3boszvqn3fzsx0r1xswqyqy, 5s647zr10m1nxt4xxpxkpgmw9, 2v1tnyzorjyx7pyf3auj73ytw, cyfvxg9z9aqfsoydhz7sr3qxg, 8hq0so8nzsuzmsffae5nwdwmi, chzhwdk4l54t2kf606bkuiaqd, 83uml6n0wlgtirmi30sa2ihd6, ec8biuf2bhu7sjwni7dhirz6x, au1cbzehllmo4yyt6s0d16rkk, p4vij77v1xw1bl68jl4jts0k, 6mworg0saiu0e3pfg8sqopo2c, 8fle9xgnd83jth2i2d6vh0k16, b1sztx2xd79amygbbvdia24et, 5e2tf15sp7zo70njveqg1b2z9, 5ib5990rsa8y9pf2bu4risjqh, dwmmr57jqlzrzvkpxr01fnt3o",5719553497,130,8,5719553503,197,22116,5719553499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719553495,59,"1, 2, 19, 5, 4, 6, 26, 8, 7, 20, 18, 27, 9, 13, 15, 17, 21, 22, 23, 29",5719553501,194,chzhwdk4l54t2kf606bkuiaqd,5719553493,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813379839,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-11T11:07:39.374Z,2025-05-11T13:00:02Z,,,,5719558621,194,8ntq70sdmvbmmvchvu5jd6ndh,5719558611,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, 5jv0xmo83g4lbzo8nodqbh46i, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, a2ggooyqi2s1berhxtm75j5qt, ez7xc7vakt4fmabtp61w72yju, 8ntq70sdmvbmmvchvu5jd6ndh, 9d08simhpio6vi217mqtro6ad, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, 3kgwkv2bjw5h244h675kmsclx, 2k1v6526ielemu1w3rayxdkkq, ekiy8mogxcfn05kwouydbdwr8, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5719558617,130,2,5719558619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719558615,59,"40, 37, 14, 21, 19, 2, 10, 11, 5, 9, 8, 30, 3, 4, 7, 15, 20, 22, 24, 28",5719558625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719558623,197,29370,5719558613,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430595,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0.0,0.0,2025-05-11T12:01:43.761Z,2025-05-11T12:01:45Z,,,,5719820675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430581,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-05-11T12:01:43.761Z,2025-05-11T12:01:44Z,,,,5719820583,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430627,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,49.8,49.6,2025-05-11T12:01:43.762Z,2025-05-11T12:11:33Z,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,5719820855,213,2.96,5719820843,56,Back,5719820853,212,16.2,5719820849,141,53.9,5719820847,140,34.6,5719820857,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430731,4,1,1,0,3,7hlumphk42363z3i2nry2wrzj,0,34.9,53.7,2025-05-11T12:01:47.210Z,2025-05-11T12:01:53Z,bfnqlxk0wiv1uy0ptwwqhk9hw,K. Peprah Oppong,,5719821437,140,68.2,5719821439,141,18.2,5719821441,212,42.5,5719821445,1,,5719821433,157,,5719821443,213,5.68,5719821435,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430749,5,44,1,0,7,7hlumphk42363z3i2nry2wrzj,1,68.6,13.0,2025-05-11T12:01:51.265Z,2025-05-11T12:12:06Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,5719821511,286,,5719821509,56,Right,5719892505,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430757,3,44,1,0,7,2nnlsjfbcea40t4jeclcbw9lk,0,31.4,87.0,2025-05-11T12:01:51.266Z,2025-05-11T12:12:08Z,83uml6n0wlgtirmi30sa2ihd6,S. Tounekti,,5719892569,233,5,5719821549,285,,5719821547,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813445189,84,1,1,0,7,7hlumphk42363z3i2nry2wrzj,0,70.2,13.9,2025-05-11T12:01:51.405Z,2025-05-11T12:13:20Z,8ntq70sdmvbmmvchvu5jd6ndh,C. Nyman,,5719898923,141,21.5,5719898925,212,9.2,5719898919,56,Center,5719898917,168,,5719898927,213,0.59,5719901619,3,,5719898921,140,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813430779,4,1,1,0,10,2nnlsjfbcea40t4jeclcbw9lk,0,26.0,77.0,2025-05-11T12:01:54.430Z,2025-05-11T12:01:54Z,5s647zr10m1nxt4xxpxkpgmw9,P. Vagić,,5719821633,56,Left,5719821643,1,,5719821635,140,61.2,5719821641,213,0.04,5719821639,212,37.0,5719821637,141,79.4,5719821631,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
