id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2813081207,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-10T23:11:41.829Z,2025-05-11T03:21:00Z,,,,,5717970811,59,"23, 24, 15, 8, 25, 5, 6, 12, 30, 13, 10, 1, 7, 9, 11, 16, 18, 20",5717970807,30,"8y556fvv7asmfouaica4nbai1, 1jhs3g95t0ah1hx3fwlo14kmi, 28cixms5w9uu1e38kcc8o2j9w, 7ajceczjsu9ci4nqv9gg2860a, 8gy9wgqywaqi9uy6i31i0q21h, 2dbik29e0m9bil2ofn2yhrget, 7ctc1xui7wk89o5v00z8ijqw9, 7vs1eqm82fwwuhwfqodb3dyw9, c4g35kho1qirnu4q420knnl9m, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 9hqo1ykdlw9iv4tlo8d3vu9ec, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 6fgxgq77v66va16tcuqvyn6x, 7ll9dqayz9698v71x2pvgrspg, cywd7q1m77lwe5q2dof7rvf9w",5718051029,194,8gy9wgqywaqi9uy6i31i0q21h,5717970813,130,4,5717970809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5717970823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718151111,197,18652,5717970817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2813089535,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-10T23:27:50.142Z,2025-05-11T00:06:22Z,,,,,5718017835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718017829,59,"99, 2, 12, 15, 4, 14, 26, 6, 35, 19, 21, 5, 8, 10, 17, 22, 91, 39",5718151061,194,6j9gbfyvpr5lqp6aak54597ca,5718017825,30,"6j9gbfyvpr5lqp6aak54597ca, dgpphcc9ql3pv3b4chhchml90, 64amlcisr3cr924jwy25rjs9h, 2giowiodzndu5m2gwn79iiui1, 8td51fzpdl6c1yrz6r0igle22, 5ku33b8dbb20fhqdg8h83rdyi, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, am6xykrxjymw2qpqli6upysq, 1o7iht0ow216jvo5qm64akup6, dks0ibq4b4i2w3bcc05v8rhn8, bw0h202lprp7jzdtp6hv78ixh, 109e64uz1hq4tb3rspek41qll, 87pe681vhgbb6plpej3tr74oa, 9etod4kwf9f5ye7jzc5ez0e3u, 8svvdqi69pc6it7mnin50q68k, d99eakp27bro9g50wpzti8rca, 3me8mlpj9tgn82v2mwyibpkb8",5718017831,130,13,5718017827,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5718053055,197,3376,5718017833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2813114173,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-11T00:07:24.784Z,2025-05-11T03:15:17Z,,,,,5718158363,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114187,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-11T00:07:24.784Z,2025-05-11T00:07:28Z,,,,,5718158403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114219,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,50.1,50.3,2025-05-11T00:07:24.785Z,2025-05-11T00:07:28Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5718158547,212,20.7,5718158545,141,43.6,5718158549,213,3.36,5718158543,140,30.9,5718158541,56,Back,5718158551,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114249,4,1,1,0,3,aj8ytsr2ap33tod0hd8ofzaw9,0,30.9,43.6,2025-05-11T00:07:28.053Z,2025-05-11T00:07:32Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5718158741,213,0.61,5718158735,141,100.0,5718158729,157,,5718158737,212,68.3,5718158731,56,Left,5718158747,1,,5718158733,140,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114259,5,5,1,0,7,aj8ytsr2ap33tod0hd8ofzaw9,0,79.0,101.4,2025-05-11T00:07:32.638Z,2025-05-11T00:07:46Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5718159461,233,3,5718158767,56,Left,5718158771,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114387,3,5,1,0,8,5h878vnmkbuy2ummddprusxgq,1,18.4,-1.4,2025-05-11T00:07:32.828Z,2025-05-11T00:07:47Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5718159443,347,,5718159453,233,5,5718159441,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114397,4,1,1,0,20,5h878vnmkbuy2ummddprusxgq,0,31.4,0.0,2025-05-11T00:07:45.643Z,2025-05-11T03:16:08Z,1jhs3g95t0ah1hx3fwlo14kmi,G. Diaz,,,5718159495,212,15.3,5718159485,56,Back,5718159497,213,0.73,5718159487,140,42.2,5718756941,189,,5718159493,141,13.9,5718159483,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813118349,43,61,1,0,22,aj8ytsr2ap33tod0hd8ofzaw9,1,64.4,88.7,2025-05-11T00:07:47.731Z,2025-05-11T00:12:28Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,,5718180325,189,,5718179839,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813114443,7,1,1,0,24,aj8ytsr2ap33tod0hd8ofzaw9,1,63.2,73.3,2025-05-11T00:07:49.469Z,2025-05-11T00:07:51Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,,5718159715,56,Center,5718159721,212,4.1,5718159717,140,61.5,5718159723,213,4.27,5718159719,141,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
