id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2793187323,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-29T22:07:20.436Z,2025-03-29T23:05:16Z,,,,,5608309043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5608309045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608486417,197,23268,5608309035,30,"4o2odluv4usimcdtryht04zjd, 2l6v8ab245wzmb1litvkir1ii, 2wj1w4opn7f0jyz1ps6ebvc6i, 97rumgrdtahzassy8weq13dyi, 16ndalf4kfr7e6rd9mwj7gfmc, rtercnq9nn7y0814ghe7wo2x, csx9pmpibyblftludnkd6j36x, khvgxqohya7mawca1qx5q590, bvmqiuxeyjf68mz3jbm6i295h, 1b9b97pxox77ia41cilqqm4iy, chiwsyjdyk4sn4vxqu9mdr0x6, 7ryen5rxs6y6uk93saq7vyd7u, cc7auv8d89ohifqg7qwz62mwa, abhcwxqh35hbgze01m4ihopyi, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 1xpjec3sk3ykvgcg67jkxtzo, 7oxivwr2b7bq70t35dgsjloiy",5608309039,59,"1, 27, 24, 16, 5, 14, 11, 3, 99, 8, 72, 15, 22, 28, 31, 37, 71, 83",5608309041,130,8,5608486415,194,csx9pmpibyblftludnkd6j36x,5608309037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793196431,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-29T22:20:20.010Z,2025-03-30T02:14:50Z,,,,,5608360233,194,ks7omik17xov44i4hhjrldyh,5608473649,197,15171,5608360219,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, c481wk3de3opu190d8z99w8yy, bzu3rjr0r2qmxluguyseq5sdl, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, 2ug51dfg4oerpnbudnkw497je, 61rlxmejof8zjv8uw3sk1l045, 8pg5wiwxujx3hnir5wie9xgfe, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 371fgwtxyfnnu6m4pmq7s55ud, bfdes5ft117ggu7ue5tnu5hm2, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 4695nvcz8lcrklltxvalcizmd, 9623rc4ywvt5nvq15qknn9l3o, 1le9ot9v8ql9q57huwmu4vu38",5608360235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608360229,130,8,5608360227,59,"1, 23, 4, 18, 21, 3, 9, 94, 70, 10, 7, 5, 8, 13, 14, 17, 34, 55",5608360223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5608360231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220187,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-29T23:06:36.958Z,2025-03-29T23:06:37Z,,,,,5608491835,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220197,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-03-29T23:06:36.958Z,2025-03-29T23:06:40Z,,,,,5608491889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220231,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,49.8,49.9,2025-03-29T23:06:36.959Z,2025-03-29T23:06:40Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5608492113,56,Back,5608492117,141,50.0,5608492121,213,3.14,5608492115,140,26.7,5608492119,212,24.3,5608492123,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220297,4,1,1,0,3,ck22dnk93ng8ax7wonlff7yms,0,30.5,43.1,2025-03-29T23:06:40.233Z,2025-03-29T23:06:47Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5608492481,212,40.9,5608492475,56,Center,5608492479,141,66.9,5608492485,1,,5608492473,157,,5608492477,140,66.3,5608492483,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220273,3,44,1,0,6,87c66ubwpzykovmkaf1t46bis,1,36.3,35.5,2025-03-29T23:06:43.796Z,2025-03-30T01:10:22Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5608492337,56,Back,5608492573,233,6,5608492341,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220315,6,44,1,0,6,ck22dnk93ng8ax7wonlff7yms,0,63.7,64.5,2025-03-29T23:06:43.797Z,2025-03-30T01:10:23Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,,5608492561,56,Center,5608492563,286,,5608492661,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220277,4,12,1,0,7,87c66ubwpzykovmkaf1t46bis,1,40.8,37.0,2025-03-29T23:06:44.531Z,2025-03-29T23:06:47Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5608492357,140,40.8,5608492359,141,39.7,5608492439,15,,5608492363,213,1.57,5608492355,56,Back,5608492361,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220337,7,61,1,0,8,ck22dnk93ng8ax7wonlff7yms,0,67.5,46.7,2025-03-29T23:06:45.279Z,2025-03-30T00:08:48Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5608492677,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
