id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2819820969,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-28T22:59:41.573Z,2025-05-29T02:49:21Z,,,,5755265703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5755265699,59,"1, 32, 4, 3, 21, 23, 94, 18, 17, 10, 7, 5, 8, 9, 13, 14, 34, 52, 55",5755265707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755265695,30,"h4nbagq5dsdltn9x62oi0t05, euesmrqkdyvekqtpk81ln7uqy, c481wk3de3opu190d8z99w8yy, ks7omik17xov44i4hhjrldyh, 4o1ryjpzoxzpi3ex53cmayui1, 5ynru0652guk8hl45ltxo0dwq, 61rlxmejof8zjv8uw3sk1l045, bzu3rjr0r2qmxluguyseq5sdl, 4695nvcz8lcrklltxvalcizmd, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 371fgwtxyfnnu6m4pmq7s55ud, bfdes5ft117ggu7ue5tnu5hm2, 2ug51dfg4oerpnbudnkw497je, 57h9hd13z846qsj0bqpdoegb8, 8gxutqok71ycyk3ojmudrqtck, 9623rc4ywvt5nvq15qknn9l3o, 4g3kwdb70mz44rezcwxdghb10, 1le9ot9v8ql9q57huwmu4vu38",5755342641,197,3383,5755265701,130,13,5755265697,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5755265705,194,ks7omik17xov44i4hhjrldyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819821879,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-28T23:08:44.649Z,2025-05-29T00:38:55Z,,,,5755270587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755349055,197,29946,5755349635,194,d99eakp27bro9g50wpzti8rca,5755270585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5755270581,59,"99, 12, 2, 6, 91, 15, 22, 5, 9, 26, 21, 7, 8, 10, 14, 19, 35, 39",5755270577,30,"6j9gbfyvpr5lqp6aak54597ca, 64amlcisr3cr924jwy25rjs9h, dgpphcc9ql3pv3b4chhchml90, do5q14naxm61jw8px8qvacn4k, d99eakp27bro9g50wpzti8rca, 2giowiodzndu5m2gwn79iiui1, 8svvdqi69pc6it7mnin50q68k, bw0h202lprp7jzdtp6hv78ixh, 1d20nyyvmp0doobj6heejkowk, 1e1wh213cg8q6lsqa3kvbjdka, dks0ibq4b4i2w3bcc05v8rhn8, ckefp96qi7xs4yt9n329paajt, 109e64uz1hq4tb3rspek41qll, 87pe681vhgbb6plpej3tr74oa, 5ku33b8dbb20fhqdg8h83rdyi, 1o7iht0ow216jvo5qm64akup6, am6xykrxjymw2qpqli6upysq, 3me8mlpj9tgn82v2mwyibpkb8",5755270583,130,8,5755270579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836379,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-29T00:07:37.286Z,2025-05-29T00:07:39Z,,,,5755352197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836371,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-29T00:07:37.286Z,2025-05-29T00:07:37Z,,,,5755352143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836383,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,50.2,50.3,2025-05-29T00:07:37.287Z,2025-05-29T00:07:40Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,5755352217,212,24.4,5755352221,279,S,5755352215,141,58.5,5755352211,56,Back,5755352219,213,2.91,5755352213,140,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836397,4,1,1,0,3,87c66ubwpzykovmkaf1t46bis,1,27.6,58.5,2025-05-29T00:07:40.453Z,2025-05-29T00:07:44Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5755352297,212,22.9,5755352299,213,4.50,5755352291,56,Back,5755352295,141,25.6,5755352293,140,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836401,5,1,1,0,6,87c66ubwpzykovmkaf1t46bis,1,22.6,26.5,2025-05-29T00:07:43.909Z,2025-05-29T00:07:46Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,5755352319,141,43.0,5755352323,213,2.42,5755352315,56,Back,5755352317,140,10.5,5755352321,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836413,6,1,1,0,8,87c66ubwpzykovmkaf1t46bis,1,9.9,51.8,2025-05-29T00:07:45.941Z,2025-05-29T00:07:49Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,5755352367,212,23.9,5755352369,213,1.05,5755352363,140,21.3,5755352365,141,82.3,5755352361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836421,7,1,1,0,12,87c66ubwpzykovmkaf1t46bis,1,22.3,86.2,2025-05-29T00:07:49.397Z,2025-05-29T00:07:52Z,ks7omik17xov44i4hhjrldyh,M. Taintor,,5755352415,141,66.7,5755352413,140,7.4,5755352411,56,Back,5755352417,212,20.5,5755352419,213,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836445,8,1,1,0,15,87c66ubwpzykovmkaf1t46bis,1,7.0,70.2,2025-05-29T00:07:52.688Z,2025-05-29T00:07:57Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,5755352547,213,0.22,5755352549,1,,5755352539,56,Back,5755352537,157,,5755352541,140,47.9,5755352545,212,44.0,5755352543,141,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836447,9,44,1,0,19,87c66ubwpzykovmkaf1t46bis,1,54.2,90.5,2025-05-29T00:07:57.046Z,2025-05-29T01:08:43Z,c481wk3de3opu190d8z99w8yy,N. Flores,,5755352553,56,Left,5755352645,286,,5755352641,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819836459,3,44,1,0,19,aj8ytsr2ap33tod0hd8ofzaw9,0,45.8,9.5,2025-05-29T00:07:57.047Z,2025-05-29T01:08:44Z,64amlcisr3cr924jwy25rjs9h,L. Stauffer,,5755352637,56,Back,5755352639,285,,5755352659,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
