id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2791027199,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-23T01:06:33.444Z,2025-03-23T04:19:12Z,,,,,5596506739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596506737,194,isauuse3yqdwymvfne6ci385,5596506731,59,"1, 15, 12, 88, 2, 5, 7, 6, 21, 20, 11, 4, 8, 10, 13, 14, 18, 31",5596506735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596506727,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, bnhjfu5p8tysruk7aep5dr1ex, d2yqubc3u7bjj96yqawjojod0, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, 9x7teazvqgbnj3pnam6rf2xgp, 5gc4aouty93b7kbin9cpgrdre, 6d45ccicyo6dregi9cm4ad4kq, 2m28wyud6xi78nt8e92p9keay, 2ozy3ijlcknjqk0omzwd58x2i, a8ngovgs2qfu5udzb97kelg16, 9glti6ay2zxkigdtjcxtkj7it, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 8bwjj53jwbsi0emx370uka5g4, djz5cm1g7ouen2y4o7w35jbl6",5596506733,130,2,5596506729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5596605525,197,14784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791028369,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-23T01:09:30.561Z,2025-03-23T05:36:57Z,,,,,5596513343,194,ds74l5fmanizrflvvfkl42pcl,5596513345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596605749,197,24407,5596513337,59,"1, 2, 13, 6, 33, 5, 15, 4, 9, 14, 23, 8, 11, 17, 21, 24, 28, 29, 30, 31",5596513335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5596513333,30,"9zolq6c0x4ubmtfusbz2c3xwq, 26uulzcbbpgdrvnf5msmqidck, ersabc33m0ihy01uxccpnon4k, 3sp46qr51lu5o2213enn5xtjp, 2m8m4aavjwesbh6oea1ta1vys, ds74l5fmanizrflvvfkl42pcl, bqmln8wgwt0uazirmw682kt4a, 8sydisziijh84elb8dprtlduy, k3rif7polxoazy70fu2013op, 7d1v02o7kk9guqpn77xzgtvu2, 52qwgcxm3vpgabixc8c2i3aax, 7qt4r82kyz05r8kd8cmdh1xqs, 5nv5d35t6x08kuujy5qptrlec, 6ydk69km9oe49cg6plrc6u0wk, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, dkthr61wm6be3phr7se1cknx0, 66munwmhmpdq06686gawcz9ck, 46nav8x1n8s7c9zrmzo5eobje",5596513341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596513339,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045049,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-23T02:08:05.082Z,2025-03-23T02:08:05Z,,,,,5596607657,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045053,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-23T02:08:05.082Z,2025-03-23T02:08:08Z,,,,,5596607667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045065,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,50.0,50.0,2025-03-23T02:08:05.083Z,2025-03-23T02:08:09Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5596607765,213,2.91,5596607759,140,35.1,5596607761,141,55.5,5596607757,56,Back,5596607763,212,16.1,5596607767,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045069,4,1,1,0,3,cf5r1qpotp6n5i3vdchsp2en1,0,34.8,56.4,2025-03-23T02:08:08.607Z,2025-03-23T02:15:54Z,ds74l5fmanizrflvvfkl42pcl,T. Brewitt,,,5596607807,1,,5596607797,56,Center,5596607801,141,28.9,5596607795,157,,5596607799,140,69.2,5596607803,212,40.7,5596607805,213,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045073,3,8,1,0,6,kfq8fhwnmycbtad1u0fyefx0,1,29.5,81.2,2025-03-23T02:08:11.175Z,2025-03-23T03:08:44Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5596607823,15,,5596607821,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791046311,60,61,1,0,8,cf5r1qpotp6n5i3vdchsp2en1,1,39.9,25.6,2025-03-23T02:08:13.858Z,2025-03-23T02:13:35Z,26uulzcbbpgdrvnf5msmqidck,G. Doody,,,5596618425,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045117,5,1,1,0,9,cf5r1qpotp6n5i3vdchsp2en1,1,21.4,40.9,2025-03-23T02:08:14.375Z,2025-03-23T02:08:22Z,2m8m4aavjwesbh6oea1ta1vys,A. Miles,,,5596608137,140,12.4,5596608139,141,46.7,5596608141,212,10.2,5596608143,213,2.75,5596608135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045153,6,1,1,0,21,cf5r1qpotp6n5i3vdchsp2en1,1,16.6,45.5,2025-03-23T02:08:26.991Z,2025-03-23T02:08:29Z,9zolq6c0x4ubmtfusbz2c3xwq,C. Shutler,,,5596608293,140,22.8,5596608295,141,20.0,5596608299,213,5.07,5596608291,56,Back,5596608297,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045159,7,1,1,0,24,cf5r1qpotp6n5i3vdchsp2en1,0,25.5,17.3,2025-03-23T02:08:29.783Z,2025-03-23T02:08:31Z,2m8m4aavjwesbh6oea1ta1vys,A. Miles,,,5596608339,213,0.44,5596608337,212,18.2,5596608331,56,Back,5596608335,141,28.8,5596608333,140,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045167,4,8,1,0,26,kfq8fhwnmycbtad1u0fyefx0,1,61.7,78.1,2025-03-23T02:08:31.339Z,2025-03-23T03:08:54Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,,5596608393,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045189,6,3,1,0,28,kfq8fhwnmycbtad1u0fyefx0,0,69.4,87.2,2025-03-23T02:08:33.804Z,2025-03-23T02:18:57Z,2m28wyud6xi78nt8e92p9keay,M. Malango,,,5596608525,56,Left,5596608541,233,8,5596608527,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791045191,8,7,1,0,28,cf5r1qpotp6n5i3vdchsp2en1,0,30.6,12.8,2025-03-23T02:08:33.805Z,2025-03-23T02:18:58Z,26uulzcbbpgdrvnf5msmqidck,G. Doody,,,5596608529,56,Back,5596608533,233,6,5596608531,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
