id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2793192675,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-29T22:14:50.005Z,2025-03-30T01:33:40Z,,,,,5608338877,59,"1, 43, 33, 19, 13, 5, 11, 8, 9, 25, 10, 4, 7, 15, 18, 22, 32, 57",5608338885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608338881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5608338883,194,e6uww9a9ssp0n20ksoolesa8l,5608338873,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 357vd87hv0jvljqtt2qf4vmz8, bxlh35ww96wgrsgfc8blou50p, e6uww9a9ssp0n20ksoolesa8l, 5uv1a9rj5wot3wcgefjoxhkdm, 8lk5ve59333boqzpcmd0yidck, dlhfyk6fgvqt3zrr5qfj7c6w9, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, 8t6b8q53ovws370a1b27s85jo, dglf4uhg5wnc68cg8ijovfmy1, ece6sffb02drwz4brwndn0rh0, 7drelguz6c1htw10sq7zyxh0q, dhi7890xe8zsmzhw2cad7sul1, 8sl4nqao4w38gwi1t3qrxu5lh, 18wgo4h0t9f3tbt8iq0tmkl7u, 5iuzoq7alcxdn37rp7lvqyexg, 2ig362xub2syd45v3usgymbkk",5608385439,197,25150,5608338875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5608338879,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793194153,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-29T22:16:53.833Z,2025-03-29T23:41:11Z,,,,,5608347509,59,"1, 13, 8, 42, 16, 5, 4, 15, 9, 2, 14, 3, 6, 17, 18, 20, 31, 70, 28",5608347505,30,"a9lytq2ddavywxo7ib8uzbj6x, 69pe2d0b9ughzcn3iqarracr8, cxrjwzo1fmvgcw8i820hwn07p, 6jsu34146kbtoeco3ue1a7ok4, 1445ppxg007udzcj6t20ceyju, 3g0rdzkjns986gn34vg3umiqy, 5h4ldsd3uwkk4wxr9iqi5kqy2, 1l26kd7tulii6x999b3fdxi0a, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, e8rbnbqkrxia3lgt7agaid4kq, 8pli7fk5kjmt0f9pl6sjsltuy, 6emdaopgvgmxzmuj4bu1tz7my, 364a445zm6p8fzqxia2myj7dg, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4, c8nk2hg1xy4h4646ajpq65dnu",5608661289,194,c4va4gt5g10zm05qtucgyt889,5608347507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5608390279,197,23590,5608347515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608347511,130,8,5608347513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220475,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-29T23:06:59.340Z,2025-03-29T23:06:59Z,,,,,5608493439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220489,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-03-29T23:06:59.340Z,2025-03-29T23:07:01Z,,,,,5608493531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220499,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,50.2,50.0,2025-03-29T23:06:59.341Z,2025-03-29T23:07:02Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5608493579,212,19.5,5608493575,140,32.6,5608493573,56,Back,5608493583,279,S,5608493581,213,2.81,5608493577,141,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220533,4,1,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,32.6,59.3,2025-03-29T23:07:01.520Z,2025-03-29T23:07:05Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5608493807,212,55.1,5608493811,1,,5608493801,140,75.9,5608493799,56,Right,5608493805,141,13.5,5608493797,157,,5608493809,213,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220543,5,44,1,0,4,c9xffml4i7ihblp1qhus9w3fu,1,73.0,15.4,2025-03-29T23:07:04.257Z,2025-03-30T01:57:52Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5608493843,286,,5608493841,56,Right,5608493901,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220527,3,44,1,0,4,224tl8u2smnbyliroayk69nt0,0,27.0,84.6,2025-03-29T23:07:04.258Z,2025-03-30T01:57:53Z,cxrjwzo1fmvgcw8i820hwn07p,J. Etou,,,5608493779,285,,5608493925,233,5,5608493777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220549,6,1,1,0,5,c9xffml4i7ihblp1qhus9w3fu,0,75.9,13.5,2025-03-29T23:07:04.601Z,2025-03-30T01:23:11Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5608493877,56,Center,5608493885,212,8.6,5608493881,140,78.5,5608493883,141,25.5,5608493873,3,,5608493887,213,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220575,4,1,1,0,7,224tl8u2smnbyliroayk69nt0,0,27.1,73.8,2025-03-29T23:07:06.490Z,2025-03-29T23:07:08Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5608494027,140,53.6,5608494023,157,,5608494025,56,Center,5608494033,213,6.27,5608494031,212,27.8,5608494035,1,,5608494029,141,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
