id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792307201,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-28T23:02:14.708Z,2025-03-29T02:47:35Z,,,,,5603584625,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5603584635,197,3376,5603584623,30,"4r4a2d3piuh8wusw8ftrsh016, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, 1d20nyyvmp0doobj6heejkowk, 1o7iht0ow216jvo5qm64akup6, 87pe681vhgbb6plpej3tr74oa, 8td51fzpdl6c1yrz6r0igle22, bw0h202lprp7jzdtp6hv78ixh, 9etod4kwf9f5ye7jzc5ez0e3u, dg0vj3tk1fqeyuocfy4rmyoh6, 8svvdqi69pc6it7mnin50q68k, cdyrj15oxu3l5sgzgwof8ohgq, 6j9gbfyvpr5lqp6aak54597ca",5603584629,130,13,5603584637,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5603584627,59,"31, 47, 2, 15, 91, 14, 26, 6, 9, 19, 10, 4, 5, 17, 20, 22, 77, 99",5603584633,194,d99eakp27bro9g50wpzti8rca,5603584631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792307231,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-28T23:02:26.428Z,2025-03-29T02:47:17Z,,,,,5603584865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5603651465,197,3421,5603584871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5603584873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5603584869,130,8,5603584863,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, 2054x8z63k74or3inr9sl0bu1, 6e7vgxyzx00c79hw1wg4d01sk, b7hyxpaqt3ymfbuah1yop5rai, do8svqsgqomasmzdwwsgg7qlm, 9r38gjqqpwb3jue2rna0nwdsl, 23vdzclmewq139wius9oy3m51, 9lqozbr0ghw2fhep938p8snah, t8bq7sttljbcrrspxz5tnm5l, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, 8qjls72u1tvwuxas420p8ed5g, dwyatw1wz3nrh1fcwu27ie8ve, 2p1887g4xd36ac2trpyf42wru, dv0qqd4mx117y4al165nsdic4, 113mck575esofosg0reheh7je",5603584867,59,"1, 2, 22, 96, 55, 6, 10, 43, 9, 11, 17, 7, 8, 20, 23, 24, 39, 99",5603665629,194,9l35nvd07jhy457u1yehm3gx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321451,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-29T00:07:36.303Z,2025-03-29T00:07:36Z,,,,,5603661891,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321457,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-03-29T00:07:36.303Z,2025-03-29T00:07:37Z,,,,,5603661915,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321461,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,49.9,50.0,2025-03-29T00:07:36.304Z,2025-03-29T00:07:39Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,,5603661945,212,19.3,5603661939,56,Back,5603661941,140,31.5,5603661943,141,49.9,5603661949,279,S,5603661947,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321479,4,1,1,0,2,aj8ytsr2ap33tod0hd8ofzaw9,1,31.2,46.0,2025-03-29T00:07:39.050Z,2025-03-29T00:07:41Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603662035,56,Center,5603662041,212,47.1,5603662043,213,0.37,5603662037,140,73.0,5603662033,157,,5603662045,1,,5603662039,141,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321493,5,1,1,0,5,aj8ytsr2ap33tod0hd8ofzaw9,0,73.0,71.1,2025-03-29T00:07:41.345Z,2025-03-29T00:07:44Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,,5603662107,212,28.9,5603662099,3,,5603662109,213,5.49,5603662105,141,40.7,5603662101,56,Center,5603662103,140,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321577,4,1,1,0,21,7neuneh44n9rtsfsh6r0sb9no,1,15.1,53.0,2025-03-29T00:07:57.817Z,2025-03-29T00:08:03Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5603662563,56,Center,5603662561,199,,5603662569,212,55.8,5603662571,213,0.22,5603662573,1,,5603662567,141,70.6,5603662565,140,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321583,6,4,1,0,27,aj8ytsr2ap33tod0hd8ofzaw9,1,32.2,31.2,2025-03-29T00:08:03.648Z,2025-03-29T01:06:58Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5603662605,294,,5603662609,152,,5603662603,13,,5603662611,285,,5603662675,233,5,5603662607,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321581,5,4,1,0,27,7neuneh44n9rtsfsh6r0sb9no,0,67.8,68.8,2025-03-29T00:08:03.649Z,2025-03-29T01:06:58Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5603662649,56,Center,5603662651,152,,5603662653,286,,5603662695,233,6,5603662647,294,,5603662645,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321769,7,1,1,1,7,aj8ytsr2ap33tod0hd8ofzaw9,0,31.2,34.3,2025-03-29T00:08:43.337Z,2025-03-29T00:08:50Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,,5603663575,152,,5603663585,213,6.28,5603663587,1,,5603663571,5,,5603663573,157,,5603663579,140,82.0,5603663583,212,53.3,5603663581,141,33.9,5603663577,56,Center,5603663729,189,,,,,,,,,,,,,,,,,,,,,,,,,
2792321785,6,4,1,1,7,7neuneh44n9rtsfsh6r0sb9no,1,23.0,69.2,2025-03-29T00:08:44.111Z,2025-03-29T01:06:59Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5603666393,233,19,5603663723,285,,5603663721,265,,5603663719,152,,5603663717,56,Back,5603663739,189,,5603663715,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792322251,19,4,1,1,7,aj8ytsr2ap33tod0hd8ofzaw9,0,77.0,30.8,2025-03-29T00:08:44.112Z,2025-03-29T02:48:41Z,2imizu6je16b3ssheijycxjh1,H. St Clair,,,5603666105,152,,5603666427,233,6,5603666107,265,,5603666109,286,,5603666475,189,,5603666101,13,,5603666103,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321889,7,1,1,1,25,7neuneh44n9rtsfsh6r0sb9no,1,21.2,69.0,2025-03-29T00:09:01.423Z,2025-03-29T00:09:05Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5603664137,5,,5603664139,157,,5603664145,140,67.0,5603664147,141,76.9,5603664153,1,,5603664151,213,0.11,5603664143,56,Center,5603664141,152,,5603664149,212,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321897,8,44,1,1,29,7neuneh44n9rtsfsh6r0sb9no,1,72.2,72.0,2025-03-29T00:09:05.467Z,2025-03-29T00:09:09Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5603664177,56,Center,5603664179,286,,5603664193,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792321891,8,44,1,1,29,aj8ytsr2ap33tod0hd8ofzaw9,0,27.8,28.0,2025-03-29T00:09:05.468Z,2025-03-29T00:09:11Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,,5603664225,233,8,5603664163,285,,5603664161,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
