id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2814862973,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-14T23:19:22.574Z,2025-05-15T02:52:16Z,,,,,5727805353,59,"1, 13, 33, 6, 3, 4, 15, 8, 9, 19, 7, 2, 10, 11, 21, 25, 32, 43, 47, 57",5727805361,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5727805351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5727883995,197,29697,5727805357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5727805349,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 5uv1a9rj5wot3wcgefjoxhkdm, bxlh35ww96wgrsgfc8blou50p, b708ir5u7r34j9oemje8f8z1m, 3yd4f60qwxrbs2rch6uobxqsp, ece6sffb02drwz4brwndn0rh0, dhi7890xe8zsmzhw2cad7sul1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, beq6yluq1raxsrvxo77qlrf56, dglf4uhg5wnc68cg8ijovfmy1, dlhfyk6fgvqt3zrr5qfj7c6w9, 7xe0ov84ztwduks4x3utn05ck, 8t6b8q53ovws370a1b27s85jo, 5iuzoq7alcxdn37rp7lvqyexg, 357vd87hv0jvljqtt2qf4vmz8, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk",5727805355,130,8,5727805359,194,e6uww9a9ssp0n20ksoolesa8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814863817,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-14T23:22:43.065Z,2025-05-15T00:07:27Z,,,,,5727809845,30,"arrnspfznjcs9fmng4finp87p, bug5x187ehj0apzl11lrl3ip6, eg5pbxm7emj77mdcub4xp6m3u, 8pqvmz8g1yhe7hqqc1d68c4mi, 3tb7ycl6z32sevjo8rxa590, f472o0229a6xev8qudf1tyf6y, 4vdbw63j0s7npezknabq6p7xm, 711t32tk6qwl567dngcldfw15, 9ch7zgxlcjiio0xbo2hhl2yvo, 449e2muutlpvx9lhv1t2tcsmh, 1diaoqi51gzx23j4d5f8xc8b8, couplbg5c1wzrb14ycd8f7h0p, 2gsbai5bpg1fbullzvngv2l1w, f0rcvbvmbh2gcjxw6jfy5fe5m, dltmx3e4llkcszs22cbfz92xg, 9txqixk3uycvort3ntzkva1g5, a3l8f3a6rr93qyyaxhdfqq1yi, c8svt3yazcfaq478j0cpbmbfu",5727809849,59,"1, 14, 3, 12, 6, 15, 18, 21, 11, 10, 77, 5, 8, 16, 17, 20, 22, 24",5727809855,194,arrnspfznjcs9fmng4finp87p,5727876171,197,29762,5727809851,130,2,5727809857,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5727809847,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5727809853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877421,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-15T00:07:55.540Z,2025-05-15T00:07:55Z,,,,,5727885691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877423,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-15T00:07:55.540Z,2025-05-15T00:07:58Z,,,,,5727885693,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877431,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,50.0,50.0,2025-05-15T00:07:55.541Z,2025-05-15T01:05:52Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5727885775,212,25.8,5727885779,279,S,5727885767,56,Back,5727885773,141,58.2,5727885777,213,2.92,5727885771,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877445,4,1,1,0,2,daicfonrbj124lu2la2rctxck,0,24.6,57.3,2025-05-15T00:07:58.136Z,2025-05-15T00:08:03Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5727885859,212,48.0,5727885855,140,68.0,5727885849,155,,5727885857,141,79.7,5727885863,1,,5727885851,56,Left,5727885861,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877439,3,44,1,0,5,c9xffml4i7ihblp1qhus9w3fu,1,31.7,25.0,2025-05-15T00:08:01.297Z,2025-05-15T02:17:22Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5727885827,285,,5727885939,233,5,5727885825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877447,5,44,1,0,5,daicfonrbj124lu2la2rctxck,0,68.3,75.0,2025-05-15T00:08:01.298Z,2025-05-15T02:17:22Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5727885947,233,3,5727885867,56,Center,5727885869,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877453,4,1,1,0,6,c9xffml4i7ihblp1qhus9w3fu,0,31.1,32.7,2025-05-15T00:08:01.542Z,2025-05-15T00:08:02Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5727885887,3,,5727885893,141,32.8,5727885889,56,Back,5727885895,212,10.2,5727885891,140,40.8,5727885897,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877479,5,1,1,0,8,c9xffml4i7ihblp1qhus9w3fu,1,40.1,30.7,2025-05-15T00:08:04.503Z,2025-05-15T00:08:06Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5727886021,141,42.8,5727886015,3,,5727886023,212,12.0,5727886019,140,48.4,5727886017,56,Back,5727886025,213,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877489,6,1,1,0,10,c9xffml4i7ihblp1qhus9w3fu,0,48.4,42.8,2025-05-15T00:08:06.162Z,2025-05-15T00:08:10Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,,,5727886093,140,77.6,5727886091,56,Center,5727886097,212,31.5,5727886089,157,,5727886095,141,32.1,5727886099,213,6.05,5727886101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877469,6,1,1,0,11,daicfonrbj124lu2la2rctxck,0,46.1,89.6,2025-05-15T00:08:07.537Z,2025-05-15T02:41:22Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5727885991,140,61.3,5727885997,213,5.87,5727885993,141,79.3,5727885987,3,,5727885989,56,Left,5727885995,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877515,7,61,1,0,19,daicfonrbj124lu2la2rctxck,0,8.5,67.6,2025-05-15T00:08:14.969Z,2025-05-15T00:08:15Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5727886227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877517,7,6,1,0,19,c9xffml4i7ihblp1qhus9w3fu,1,92.8,30.4,2025-05-15T00:08:15.351Z,2025-05-15T02:13:59Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,,,5727886259,56,Center,5727886317,233,8,5727886261,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877531,8,6,1,0,19,daicfonrbj124lu2la2rctxck,0,7.2,69.6,2025-05-15T00:08:15.351Z,2025-05-15T02:13:59Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,5727886289,56,Back,5727886335,233,7,5727886291,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877639,8,1,1,0,54,c9xffml4i7ihblp1qhus9w3fu,0,99.4,0.7,2025-05-15T00:08:49.654Z,2025-05-15T00:09:25Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5727886925,140,91.6,5727886917,6,,5727886923,56,Center,5727886927,141,41.0,5727886929,212,28.6,5727886931,213,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877723,13,1,1,0,55,c9xffml4i7ihblp1qhus9w3fu,1,89.7,38.6,2025-05-15T00:08:50.999Z,2025-05-15T02:29:48Z,b708ir5u7r34j9oemje8f8z1m,S. McIllhatton,1.0,,5728176071,210,15,5727887493,213,3.02,5727887489,141,40.7,5727887487,140,78.3,5728176073,154,,5727887485,56,Center,5727887491,212,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877645,9,43,1,0,57,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-15T00:08:53.374Z,2025-05-15T00:09:08Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5727886957,22,0,5727886961,56,Center,5727886967,250,0,5727887371,144,39,5727886959,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814877653,10,15,1,0,59,c9xffml4i7ihblp1qhus9w3fu,1,88.4,45.2,2025-05-15T00:08:55.148Z,2025-05-15T03:05:45Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5727887943,146,94.2,5728176097,328,,5727887951,233,9,5727887935,102,49.0,5728176089,29,,5727887947,230,99.1,5728176093,55,13,5727887009,17,,5727887945,147,47.1,5727887847,20,5727887851,82,5727887937,103,19,5727887011,56,Center,5728176087,25,5727887933,78,5727887949,231,50,5728176091,154,,,,,,,,,,,,,
