id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2812890079,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-10T19:06:29.558Z,2025-05-10T22:53:00Z,,,,,5716909653,59,"1, 14, 3, 20, 5, 15, 17, 77, 10, 21, 11, 6, 8, 12, 16, 18, 22, 23",5716909661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5716909651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5716909657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5716909659,194,arrnspfznjcs9fmng4finp87p,5717237279,197,23321,5716909655,130,8,5716909649,30,"arrnspfznjcs9fmng4finp87p, bug5x187ehj0apzl11lrl3ip6, eg5pbxm7emj77mdcub4xp6m3u, 9txqixk3uycvort3ntzkva1g5, couplbg5c1wzrb14ycd8f7h0p, f472o0229a6xev8qudf1tyf6y, dltmx3e4llkcszs22cbfz92xg, 1diaoqi51gzx23j4d5f8xc8b8, 449e2muutlpvx9lhv1t2tcsmh, 711t32tk6qwl567dngcldfw15, 9ch7zgxlcjiio0xbo2hhl2yvo, 3tb7ycl6z32sevjo8rxa590, 2gsbai5bpg1fbullzvngv2l1w, 8pqvmz8g1yhe7hqqc1d68c4mi, f0rcvbvmbh2gcjxw6jfy5fe5m, 4vdbw63j0s7npezknabq6p7xm, a3l8f3a6rr93qyyaxhdfqq1yi, duad6xilu5s6c7ul48b7gab1m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812894055,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-10T19:09:53.240Z,2025-05-10T20:55:51Z,,,,,5716932419,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, 1vnfc466lc01fdfhyvzt8fhii, 9x7teazvqgbnj3pnam6rf2xgp, 2ozy3ijlcknjqk0omzwd58x2i, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, a8ngovgs2qfu5udzb97kelg16, 6d45ccicyo6dregi9cm4ad4kq, 6hdas9nshfgbjhj91y3ob8b11, 2m28wyud6xi78nt8e92p9keay, 1j010cibh247p8kjchww6ny3u, 9glti6ay2zxkigdtjcxtkj7it, b0zo05bu61v32nw35mriue0yy, 9ij293r1mbtygl6v3u2s43i3u, 19addig7dyotjybbwgbjkft2h, 8bwjj53jwbsi0emx370uka5g4, djz5cm1g7ouen2y4o7w35jbl6",5716932423,59,"1, 22, 28, 6, 4, 5, 7, 8, 20, 13, 11, 2, 10, 14, 15, 17, 18, 31",5716932421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5717241797,197,28468,5716932427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5717564675,194,b32tamno8dpk5te2oq7d9a6t,5716932429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5716932425,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954715,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-05-10T20:06:23.266Z,2025-05-10T20:06:24Z,,,,,5717262415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954687,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-10T20:06:23.266Z,2025-05-10T22:55:36Z,,,,,5717262291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954753,3,1,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,49.8,49.1,2025-05-10T20:06:23.267Z,2025-05-10T20:13:45Z,a8ngovgs2qfu5udzb97kelg16,E. Bryant,,,5717262675,56,Back,5717262679,140,8.0,5717262699,279,S,5717262695,1,,5717262683,141,57.3,5717313059,189,,5717262687,212,44.2,5717262691,213,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954781,4,1,1,0,1,kfq8fhwnmycbtad1u0fyefx0,0,7.7,57.3,2025-05-10T20:06:25.156Z,2025-05-10T20:56:29Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5717262833,213,0.46,5717262831,212,66.1,5717262823,157,,5717262829,141,100.0,5717262825,56,Left,5717262827,140,64.0,5717262835,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954773,3,5,1,0,2,daicfonrbj124lu2la2rctxck,1,38.1,-1.1,2025-05-10T20:06:25.757Z,2025-05-10T20:59:23Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5717262957,233,5,5717262811,56,Back,5717262813,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954791,5,5,1,0,2,kfq8fhwnmycbtad1u0fyefx0,0,61.9,101.1,2025-05-10T20:06:25.757Z,2025-05-10T22:11:18Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,,5717262975,233,3,5717262879,347,,5717262877,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954827,4,1,1,0,4,daicfonrbj124lu2la2rctxck,1,40.2,0.0,2025-05-10T20:06:27.748Z,2025-05-10T20:06:31Z,bug5x187ehj0apzl11lrl3ip6,R. Hope-Gund,,,5717263129,56,Right,5717263137,213,0.31,5717263135,212,30.1,5717263127,107,,5717263139,1,,5717263133,141,12.0,5717263131,140,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812954843,5,1,1,0,8,daicfonrbj124lu2la2rctxck,0,67.5,12.0,2025-05-10T20:06:31.332Z,2025-05-10T20:08:55Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5717263233,3,,5717263243,213,5.42,5717263241,212,11.9,5717263237,140,74.9,5717263239,141,0.0,5717263235,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
