id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800373213,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-13T01:34:42.652Z,2025-04-13T06:15:34Z,,,,,5647847995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647847987,30,"cdaayu6d9xzn4gyn5jg5p6vl6, 9xjixcn3jhf7m75dl49u0qe7e, 7lzda1yh1eixs7rqn46y1ulpm, 74rnjizxzn5a0oag6sue0ja7e, 8pwslovfo5ostdhvpx53cxclw, 3csngjh4kjgpkfayppiwfbw2c, c0of0cn2tec0yn2vtwdqgxxpl, 6ahu72g0u39bxbjiz7ggefai1, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, 6dpxvfpnaua6y4gevop02qc8a, 7y56spdjsagw833hgo5ranvf9, e076q290ab1o6qz9vthl2c0a2, 39jhew6iao7uriko5shx2tnje, 2lpjr3oys0s0u2pnhut8epqwa, 6m158yzashjy4y3dcbresua22, 79z5vt08ga8prn33vi2a260kq, 6naqq6f6acfec3zh2msuxrmqd, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k",5647847989,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5647915805,197,23588,5647847991,59,"13, 2, 14, 6, 4, 34, 9, 8, 91, 10, 7, 1, 3, 17, 19, 22, 25, 29, 38, 44",5647847999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647847997,194,8pwslovfo5ostdhvpx53cxclw,5647847993,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800375509,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-13T01:39:59.174Z,2025-04-13T06:11:29Z,,,,,5647862053,194,28a0n53jofx4bk7vd74yqcb11,5647862051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647862043,30,"974nt2pay3nvbe8uyzx0qdhxw, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, 9jc85hbpruze4v8u1pjzsjt62, 6rnuvzwbmj7qv80xlwkjvqnkl, 1nw1tmtpagpr647obkvygwgr9, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, tc5nl1hz1w06jobp5ckktr3e, b3ktzeb8cz6vl5snbrtnpzw4q, 8d6e9axgsli468lnomdbcgu6t, 3ldhrzekr0tztaxr3sc8mmg2x, 63td0sigm6tp2tg8yovf5npm2, 653qyopyxl1qrfmul2n3m5g16, a6nj3s6nhav0ybrnhla1m67mc, 8q0b0qnmebzt9v4he9o3k7rbo",5647862047,59,"21, 2, 3, 30, 5, 12, 6, 39, 10, 11, 99, 4, 7, 9, 24, 33, 45, 91",5647862049,130,18,5647862045,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5647918495,197,23580,5647862055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387547,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-13T02:09:01.951Z,2025-04-13T02:09:02Z,,,,,5647929939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387559,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-13T02:09:01.951Z,2025-04-13T02:09:03Z,,,,,5647929971,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387567,3,1,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,50.0,50.0,2025-04-13T02:09:01.952Z,2025-04-13T02:09:04Z,70axpxvnx40ax7oxri5pmz9qs,C. Rutz,,,5647930001,56,Back,5647930003,140,38.0,5647930009,213,2.69,5647930007,212,14.0,5647930011,279,S,5647930005,141,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387587,4,1,1,0,1,b1rpb2ox52uxcmjrsnqd95pk5,1,37.5,58.6,2025-04-13T02:09:03.409Z,2025-04-13T02:09:06Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5647930095,141,40.8,5647930099,213,4.33,5647930097,212,13.0,5647930093,140,32.9,5647930091,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387609,5,1,1,0,4,b1rpb2ox52uxcmjrsnqd95pk5,1,38.3,24.7,2025-04-13T02:09:06.656Z,2025-04-13T02:09:09Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647930165,56,Center,5647930171,212,27.5,5647930169,141,28.8,5647930167,140,64.4,5647930173,213,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387623,6,1,1,0,6,b1rpb2ox52uxcmjrsnqd95pk5,1,64.2,28.6,2025-04-13T02:09:08.856Z,2025-04-13T02:09:10Z,tc5nl1hz1w06jobp5ckktr3e,J. Adebayo-Smith,,,5647930237,56,Right,5647930239,140,59.1,5647930243,212,15.3,5647930245,213,4.36,5647930241,141,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387689,7,1,1,0,8,b1rpb2ox52uxcmjrsnqd95pk5,1,59.1,7.5,2025-04-13T02:09:10.561Z,2025-04-13T02:09:17Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5647930581,212,17.4,5647930577,140,43.1,5647930579,141,14.2,5647930575,56,Back,5647930583,213,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800387747,8,1,1,0,15,b1rpb2ox52uxcmjrsnqd95pk5,1,39.5,25.5,2025-04-13T02:09:17.425Z,2025-04-13T02:09:24Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5647930821,213,2.34,5647930813,56,Back,5647930817,141,44.8,5647930819,212,18.2,5647930815,140,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
