id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2818632649,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-25T00:20:04.791Z,2025-05-25T03:42:30Z,,,,,5748831401,197,28293,5748669857,130,8,5748669853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5748831399,194,7i29w1zl3m6xdnurdll08jsvd,5748669859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5748669851,30,"duuhalibp64gdz6nub5ub0ovd, 7i29w1zl3m6xdnurdll08jsvd, 6oj55tf7cdnnnft350f9fyhnt, 3djjepgynp4qnhgvvqh9oa1ka, dqekbs06e79n3vapj437pwyc, b9lt0sfts2zxf2ali8vpf0pn9, cfx7vo0kbjvcly2nf1b7papsk, drbcpa8qvrgin42q3it10nieh, 3ljxfq84ubqzlooixppmpfdd6, cnqxbvy77blk2ulx06t65it49, 39t59x9q2xumbn2hphk7urp7u, 2h53fzt0ubszmkuwfnez8n622, ody1ty0csq2lnatvjwdrrv11, dio84sg1k4gsedcpordxs69lg, bjm0d2f9er34ymm41sulmkout, 6eqvj5hboqw5c21ofhsgo4p9l, ew3qxbn1ev1qv7wi0iwoc642c, 4ccmn07kk0thmg6apfxgivmc5",5748669855,59,"1, 5, 6, 18, 23, 14, 20, 10, 27, 21, 33, 3, 7, 11, 13, 22, 32, 77",5748669861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818632775,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-25T00:20:13.623Z,2025-05-25T02:49:36Z,,,,,5748670631,194,ds74l5fmanizrflvvfkl42pcl,5748831137,197,29752,5748670627,130,7,5748670623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5748670629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748670621,30,"9zolq6c0x4ubmtfusbz2c3xwq, 8sydisziijh84elb8dprtlduy, 52qwgcxm3vpgabixc8c2i3aax, f1j8v0figkewc23fmaexubo4p, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 6kp2pv58u27yf5tnclyhnuoh6, 7d1v02o7kk9guqpn77xzgtvu2, 1ua1e9ceddhcmq80ywq2ihd6, 3sp46qr51lu5o2213enn5xtjp, 6ydk69km9oe49cg6plrc6u0wk, 7qt4r82kyz05r8kd8cmdh1xqs, 5nv5d35t6x08kuujy5qptrlec, ersabc33m0ihy01uxccpnon4k, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 66munwmhmpdq06686gawcz9ck, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys, 6o5jqx64vum71hh2olnrb4178",5748670625,59,"1, 4, 23, 19, 5, 20, 7, 14, 10, 6, 17, 8, 11, 13, 21, 24, 28, 30, 31, 33, 3",5748670633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663129,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-25T01:03:32.685Z,2025-05-25T01:03:32Z,,,,,5748834751,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663135,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-25T01:03:32.685Z,2025-05-25T01:03:35Z,,,,,5748834829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818689269,363,43,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-25T01:03:32.685Z,2025-05-25T01:53:30Z,,,,,5748976509,144,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663145,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-05-25T01:03:32.686Z,2025-05-25T01:03:37Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5748834905,56,Back,5748834909,141,40.6,5748834915,279,S,5748834911,212,25.2,5748834913,213,3.40,5748834907,140,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663173,4,1,1,0,4,ak0rmms5xl49w57i2rvid1tk9,1,28.4,36.6,2025-05-25T01:03:36.910Z,2025-05-25T01:03:42Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5748835113,212,60.9,5748835105,140,77.3,5748835101,56,Left,5748835097,157,,5748835109,141,84.8,5748835115,213,0.57,5748835119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663195,5,61,1,0,9,ak0rmms5xl49w57i2rvid1tk9,0,77.3,84.8,2025-05-25T01:03:42.046Z,2025-05-25T01:03:46Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5748835255,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663279,3,5,1,0,10,cf5r1qpotp6n5i3vdchsp2en1,1,15.5,-1.7,2025-05-25T01:03:43.155Z,2025-05-25T01:53:08Z,1ua1e9ceddhcmq80ywq2ihd6,T. Trager,,,5748835819,347,,5748835845,233,6,5748835817,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663199,6,5,1,0,10,ak0rmms5xl49w57i2rvid1tk9,0,84.5,101.7,2025-05-25T01:03:43.155Z,2025-05-25T01:53:08Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5748835281,56,Left,5748835283,347,,5748835851,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
