id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2803332889,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-04-19T19:06:03.048Z,2025-04-19T22:47:49Z,,,,,5665046947,194,arrnspfznjcs9fmng4finp87p,5664165127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665047081,197,23320,5664165119,30,"arrnspfznjcs9fmng4finp87p, 8pqvmz8g1yhe7hqqc1d68c4mi, eg5pbxm7emj77mdcub4xp6m3u, f472o0229a6xev8qudf1tyf6y, c8svt3yazcfaq478j0cpbmbfu, couplbg5c1wzrb14ycd8f7h0p, dltmx3e4llkcszs22cbfz92xg, 9txqixk3uycvort3ntzkva1g5, 9ch7zgxlcjiio0xbo2hhl2yvo, 2w38gs56nefz2s67peyzb10q1, 711t32tk6qwl567dngcldfw15, 2gsbai5bpg1fbullzvngv2l1w, bug5x187ehj0apzl11lrl3ip6, f0rcvbvmbh2gcjxw6jfy5fe5m, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, a3l8f3a6rr93qyyaxhdfqq1yi, 1diaoqi51gzx23j4d5f8xc8b8",5664165121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5664165125,130,12,5664165129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664165123,59,"1, 12, 3, 15, 24, 5, 17, 20, 11, 9, 21, 8, 14, 16, 18, 19, 22, 77",,,,,,,,,,,,,,,,,,,,,,,,,,
2803334281,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-19T19:07:25.568Z,2025-04-20T00:00:24Z,,,,,5664172661,194,28a0n53jofx4bk7vd74yqcb11,5664172657,130,18,5664172663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664172651,30,"974nt2pay3nvbe8uyzx0qdhxw, 9jc85hbpruze4v8u1pjzsjt62, 7jizpx7yu2zxvcrnf9z4408vd, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, b3ktzeb8cz6vl5snbrtnpzw4q, 6rnuvzwbmj7qv80xlwkjvqnkl, 1nw1tmtpagpr647obkvygwgr9, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 8d6e9axgsli468lnomdbcgu6t, 62d3tsany7t5t2bwm4cx9pbai, 3ldhrzekr0tztaxr3sc8mmg2x, 597hrrj3moomrcd2d95yk12w9, 63td0sigm6tp2tg8yovf5npm2, 1cqnjzgntshx2ag3crh0p2uzu, 8q0b0qnmebzt9v4he9o3k7rbo, tc5nl1hz1w06jobp5ckktr3e",5664172655,59,"21, 12, 2, 30, 5, 4, 6, 39, 10, 11, 7, 3, 9, 13, 24, 32, 91, 99",5664476735,197,23580,5664172659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664172653,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2803385783,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-04-19T20:07:02.626Z,2025-04-19T20:07:05Z,,,,,5664461093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385763,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-19T20:07:02.626Z,2025-04-19T20:07:02Z,,,,,5664460983,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385831,3,1,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,50.0,50.0,2025-04-19T20:07:02.627Z,2025-04-19T20:07:07Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5664461333,141,51.5,5664461327,56,Back,5664461339,212,6.5,5664461343,279,S,5664461329,140,43.9,5664461341,213,2.98,5664461345,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385877,4,1,1,0,4,b1rpb2ox52uxcmjrsnqd95pk5,0,43.9,51.5,2025-04-19T20:07:07.043Z,2025-04-19T20:07:08Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5664461571,140,86.0,5664461569,56,Left,5664461575,212,55.3,5664461577,213,0.64,5664461567,157,,5664461579,1,,5664461573,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385947,3,5,1,0,6,daicfonrbj124lu2la2rctxck,1,16.0,-0.6,2025-04-19T20:07:08.780Z,2025-04-19T22:22:04Z,2w38gs56nefz2s67peyzb10q1,J. Williams,,,5664461889,347,,5664461887,56,Back,5664461945,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385879,5,5,1,0,6,b1rpb2ox52uxcmjrsnqd95pk5,0,84.0,100.6,2025-04-19T20:07:08.780Z,2025-04-19T22:22:05Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5664461589,347,,5664461995,233,3,5664461587,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385983,4,1,1,0,11,daicfonrbj124lu2la2rctxck,1,19.3,0.0,2025-04-19T20:07:13.783Z,2025-04-19T21:07:10Z,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,,,5664462109,213,0.39,5664462103,140,48.7,5664462101,56,Back,5664462105,141,17.7,5664462111,1,,5664462099,107,,5664462107,212,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385993,5,1,1,0,12,daicfonrbj124lu2la2rctxck,0,48.7,17.7,2025-04-19T20:07:15.128Z,2025-04-19T20:07:16Z,2w38gs56nefz2s67peyzb10q1,J. Williams,,,5664462139,140,42.3,5664462143,212,8.2,5664462135,3,,5664462141,141,24.5,5664462137,56,Back,5664462145,213,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386051,6,1,1,0,15,b1rpb2ox52uxcmjrsnqd95pk5,0,61.8,79.4,2025-04-19T20:07:18.187Z,2025-04-19T20:07:19Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5664462407,140,66.7,5664462413,213,6.20,5664462399,3,,5664462411,212,5.2,5664462403,56,Center,5664462409,141,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386103,6,1,1,0,16,daicfonrbj124lu2la2rctxck,0,30.3,25.0,2025-04-19T20:07:19.048Z,2025-04-19T21:07:20Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5664462653,141,40.0,5664462659,1,,5664462649,56,Back,5664462655,212,22.7,5664462651,140,49.6,5664462647,157,,5664462657,213,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386111,7,44,1,0,18,daicfonrbj124lu2la2rctxck,1,52.1,40.6,2025-04-19T20:07:21.376Z,2025-04-19T21:12:34Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5664462701,56,Center,5664726201,233,7,5664726207,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386123,7,44,1,0,18,b1rpb2ox52uxcmjrsnqd95pk5,0,47.9,59.4,2025-04-19T20:07:21.377Z,2025-04-19T21:12:35Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664462769,285,,5664726233,233,7,5664462767,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803433979,343,1,1,0,19,daicfonrbj124lu2la2rctxck,0,47.0,40.1,2025-04-19T20:07:21.626Z,2025-04-19T21:07:47Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5664726931,168,,5664726935,140,53.3,5664726939,212,6.6,5664726933,56,Center,5664726941,213,0.02,5664726929,3,,5664726937,141,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386199,8,1,1,0,19,b1rpb2ox52uxcmjrsnqd95pk5,1,40.0,80.9,2025-04-19T20:07:22.515Z,2025-04-19T22:28:32Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5664463141,56,Left,5664463145,141,85.7,5664463149,213,0.17,5664463143,140,57.6,5664463147,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386235,9,3,1,0,20,b1rpb2ox52uxcmjrsnqd95pk5,0,57.4,91.8,2025-04-19T20:07:23.232Z,2025-04-19T21:12:28Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5664463299,56,Left,5664463301,286,,5664495039,233,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387287,19,7,1,0,20,daicfonrbj124lu2la2rctxck,1,42.6,8.2,2025-04-19T20:07:23.233Z,2025-04-19T20:14:20Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5664468803,56,Back,5664494993,233,9,5664468807,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386247,10,43,1,0,21,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-19T20:07:24.232Z,2025-04-19T20:13:43Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5664463339,56,Left,5664468833,233,19,5664494931,144,50,5664463343,286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386291,8,50,1,0,27,daicfonrbj124lu2la2rctxck,1,42.4,7.4,2025-04-19T20:07:29.802Z,2025-04-19T21:12:29Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5664497037,56,Back,5664497093,233,11,5664497039,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386319,11,7,1,0,27,b1rpb2ox52uxcmjrsnqd95pk5,1,57.6,92.6,2025-04-19T20:07:29.803Z,2025-04-19T21:12:28Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5664463697,56,Left,5664463695,167,,5664497077,233,8,5664463699,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386373,10,5,1,0,28,daicfonrbj124lu2la2rctxck,1,49.6,-1.2,2025-04-19T20:07:30.988Z,2025-04-19T22:22:05Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5664463987,56,Back,5664464029,233,12,5664463989,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386333,12,5,1,0,28,b1rpb2ox52uxcmjrsnqd95pk5,0,50.4,101.2,2025-04-19T20:07:30.988Z,2025-04-19T22:22:06Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5664464101,233,10,5664463761,56,Left,5664463763,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386467,11,1,1,0,32,daicfonrbj124lu2la2rctxck,0,46.5,0.0,2025-04-19T20:07:34.639Z,2025-04-19T20:07:41Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5664464553,107,,5664464559,141,24.1,5664464563,213,0.45,5664464557,140,80.0,5664464561,212,39.1,5664464555,56,Center,5664464565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386501,13,44,1,0,37,b1rpb2ox52uxcmjrsnqd95pk5,1,20.8,72.4,2025-04-19T20:07:40.048Z,2025-04-19T20:07:46Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664464703,56,Back,5664464745,233,12,5664464705,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386477,12,44,1,0,37,daicfonrbj124lu2la2rctxck,0,79.2,27.6,2025-04-19T20:07:40.049Z,2025-04-19T20:07:48Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5664464801,233,13,5664464611,56,Center,5664464615,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386605,14,12,1,0,37,b1rpb2ox52uxcmjrsnqd95pk5,1,21.4,68.1,2025-04-19T20:07:40.571Z,2025-04-19T22:28:36Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664465253,56,Back,5664465255,140,20.4,5664465267,212,22.3,5664966575,167,,5664465303,15,,5664465271,213,1.62,5664465257,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386769,13,5,1,0,39,daicfonrbj124lu2la2rctxck,1,79.2,-1.1,2025-04-19T20:07:41.626Z,2025-04-19T22:22:06Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5664967305,233,821,5664466215,347,,5664466213,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803478271,821,5,1,0,39,b1rpb2ox52uxcmjrsnqd95pk5,0,20.8,101.1,2025-04-19T20:07:41.626Z,2025-04-19T22:22:07Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664967267,56,Back,5664967357,233,13,5664967269,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386789,14,1,1,0,59,daicfonrbj124lu2la2rctxck,0,86.0,0.0,2025-04-19T20:08:01.951Z,2025-04-19T20:08:03Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5664466309,141,27.3,5664466303,107,,5664466305,56,Center,5664466311,212,21.2,5664466307,140,94.4,5664466313,213,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386825,15,12,1,1,2,b1rpb2ox52uxcmjrsnqd95pk5,1,13.5,68.1,2025-04-19T20:08:05.060Z,2025-04-19T20:08:09Z,1nw1tmtpagpr647obkvygwgr9,Ryan Williams,,,5664466537,15,,5664466505,56,Back,5664466507,140,17.5,5664466513,212,4.3,5664466511,141,69.3,5664466515,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386847,15,44,1,1,4,daicfonrbj124lu2la2rctxck,1,85.3,27.8,2025-04-19T20:08:07.048Z,2025-04-19T21:12:35Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5664466607,56,Center,5664739051,233,395,5664466609,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803435301,395,44,1,1,4,b1rpb2ox52uxcmjrsnqd95pk5,0,14.7,72.2,2025-04-19T20:08:07.049Z,2025-04-19T21:12:36Z,7jizpx7yu2zxvcrnf9z4408vd,R. Williams,,,5664733341,285,,5664733335,56,Back,5664739071,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386859,16,1,1,1,4,daicfonrbj124lu2la2rctxck,0,81.7,28.0,2025-04-19T20:08:07.425Z,2025-04-19T21:09:14Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5664466667,213,1.73,5664466665,212,6.1,5664466657,3,,5664466661,140,80.8,5664466663,141,36.8,5664466659,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386939,16,12,1,1,6,b1rpb2ox52uxcmjrsnqd95pk5,1,17.5,69.3,2025-04-19T20:08:08.899Z,2025-04-19T20:08:13Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5664467113,141,59.7,5664467117,213,5.88,5664467109,56,Back,5664467115,212,16.6,5664467111,140,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803386915,17,1,1,1,7,daicfonrbj124lu2la2rctxck,0,68.0,61.8,2025-04-19T20:08:10.423Z,2025-04-19T20:08:12Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5664467001,141,74.0,5664466995,155,,5664467005,213,0.23,5664467003,212,35.9,5664466999,140,100.0,5664467007,1,,5664466997,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387123,17,5,1,1,9,b1rpb2ox52uxcmjrsnqd95pk5,1,-1.4,31.1,2025-04-19T20:08:12Z,2025-04-19T22:22:07Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5664468023,346,,5664468483,233,18,5664468021,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387217,18,5,1,1,9,daicfonrbj124lu2la2rctxck,0,101.4,68.9,2025-04-19T20:08:12Z,2025-04-19T22:22:07Z,eg5pbxm7emj77mdcub4xp6m3u,A. Sanchez,,,5664468453,56,Center,5664468553,233,17,5664468455,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387321,18,1,1,1,26,b1rpb2ox52uxcmjrsnqd95pk5,1,4.1,54.2,2025-04-19T20:08:28.854Z,2025-04-19T20:08:34Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5664468997,212,12.1,5664469003,237,,5664468981,124,,5664468995,141,71.8,5664468993,140,5.7,5664468987,56,Back,5664468999,213,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387347,19,1,1,1,31,b1rpb2ox52uxcmjrsnqd95pk5,1,10.9,71.2,2025-04-19T20:08:34.436Z,2025-04-19T20:08:37Z,28a0n53jofx4bk7vd74yqcb11,S. Carroll,,,5664469171,141,45.7,5664469169,140,39.1,5664469175,213,5.75,5664469177,1,,5664469167,56,Back,5664469165,155,,5664469173,212,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387351,20,1,1,1,34,b1rpb2ox52uxcmjrsnqd95pk5,0,39.1,45.7,2025-04-19T20:08:36.796Z,2025-04-19T21:11:55Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5664469197,56,Back,5664469201,140,44.7,5664469205,141,39.4,5664469207,212,7.3,5664469193,3,,5664469209,213,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387369,20,1,1,1,35,daicfonrbj124lu2la2rctxck,0,52.9,63.6,2025-04-19T20:08:38.448Z,2025-04-19T20:08:39Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5664469333,213,0.53,5664469327,140,63.2,5664469331,212,12.6,5664469325,56,Center,5664469329,141,73.0,5664469323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387427,21,1,1,1,38,b1rpb2ox52uxcmjrsnqd95pk5,1,28.3,28.9,2025-04-19T20:08:41.572Z,2025-04-19T20:08:44Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5664469681,56,Back,5664469679,3,,5664469685,141,28.9,5664469687,212,15.9,5664469689,213,3.14,5664469683,140,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387465,22,1,1,1,41,b1rpb2ox52uxcmjrsnqd95pk5,0,6.6,12.5,2025-04-19T20:08:44.484Z,2025-04-19T20:08:47Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664469877,212,26.8,5664469881,1,,5664469875,141,0.0,5664469871,56,Back,5664469869,157,,5664469879,213,5.91,5664469873,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387793,21,5,1,1,44,daicfonrbj124lu2la2rctxck,1,67.3,101.4,2025-04-19T20:08:46.985Z,2025-04-19T22:22:08Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5664471629,233,23,5664471613,56,Left,5664471615,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387469,23,5,1,1,44,b1rpb2ox52uxcmjrsnqd95pk5,0,32.7,-1.4,2025-04-19T20:08:46.985Z,2025-04-19T22:22:08Z,b3ktzeb8cz6vl5snbrtnpzw4q,S. Wiedt,,,5664469897,347,,5664469895,56,Back,5664471647,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387827,22,1,1,2,10,daicfonrbj124lu2la2rctxck,0,76.3,100.0,2025-04-19T20:09:13.089Z,2025-04-19T20:09:15Z,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,,,5664471717,141,76.7,5664471721,213,5.37,5664471713,56,Center,5664471719,212,21.0,5664471715,140,88.6,5664471711,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387987,24,4,1,2,14,b1rpb2ox52uxcmjrsnqd95pk5,1,10.4,26.8,2025-04-19T20:09:17.045Z,2025-04-19T22:22:50Z,9jc85hbpruze4v8u1pjzsjt62,M. Bryant,,,5664472735,13,,5664472739,152,,5664965361,233,23,5664472737,56,Back,5664472741,265,,5664472743,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803387853,23,4,1,2,14,daicfonrbj124lu2la2rctxck,0,89.6,73.2,2025-04-19T20:09:17.046Z,2025-04-19T22:22:50Z,2w38gs56nefz2s67peyzb10q1,J. Williams,,,5664471925,13,,5664965369,233,24,5664471929,152,,5664471927,56,Center,5664471933,286,,5664471931,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803389307,25,1,1,3,43,b1rpb2ox52uxcmjrsnqd95pk5,1,11.8,40.4,2025-04-19T20:10:46.038Z,2025-04-19T20:10:50Z,974nt2pay3nvbe8uyzx0qdhxw,C. Herrera,,,5664479921,1,,5664479909,152,,5664479917,212,54.6,5664479905,5,,5664479911,56,Center,5664479915,141,34.9,5664479919,213,6.21,5664479913,140,63.7,5664479907,157,,,,,,,,,,,,,,,,,,,,,,,,
2803389319,26,1,1,3,47,b1rpb2ox52uxcmjrsnqd95pk5,1,63.8,34.9,2025-04-19T20:10:49.886Z,2025-04-19T20:10:51Z,8d6e9axgsli468lnomdbcgu6t,D. Smith,,,5664480017,212,4.2,5664480053,156,,5664480015,141,41.0,5664480011,56,Center,5664480013,140,63.5,5664480019,213,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803389337,27,1,1,3,49,b1rpb2ox52uxcmjrsnqd95pk5,0,63.5,41.0,2025-04-19T20:10:51.878Z,2025-04-19T20:10:52Z,9irc1xmfpa2395qef78rfyjje,J. Cedeño,,,5664480105,155,,5664480109,140,73.5,5664480107,56,Center,5664480113,212,11.7,5664480115,213,5.82,5664480111,141,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803389381,24,12,1,3,50,daicfonrbj124lu2la2rctxck,1,32.1,72.0,2025-04-19T20:10:53.432Z,2025-04-19T21:10:57Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5664480333,140,41.5,5664737651,15,,5664480339,213,5.75,5664480335,141,63.5,5664480331,56,Back,5664480337,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
