id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2793193659,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-29T22:16:15.640Z,2025-03-29T23:13:14Z,,,,,5608494171,197,2754,5608344639,59,"98, 30, 16, 14, 3, 41, 99, 5, 19, 8, 21, 23, 4, 17, 2, 6, 22, 55, 44, 27",5608344641,130,8,5608344645,194,9tispdm7tc3te31awsfcmd905,5608344637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5608344635,30,"d38osra1p83cgtmrwqt6w60yy, arxprecroj7kqwx1tmkhhfsdm, 637c2iedo7modc3ekt36c2m7d, 9tispdm7tc3te31awsfcmd905, 97d0drjb3zqkh5ozfufg17nys, 54yx5xkqrktd2hp0sxjx6hm8l, d50x000h9o6i8kd8aihie4lx, e93nozniig2wriw9doit6a4tl, 8delieh6jv1cgaukmgcwfjsic, 2co6fedrz8anjzy9ise76dplh, 7ad4uvgwiwtjy23nt3yjsmctm, cv7nd9tnk6j2ixvnlibiip2vp, 2pka62t1zg04jwkcx6zbc4wlw, 33t1aoog229o5f7okwwg5d6ac, n6ubi9lw3fjau0xzvd09myqy, blts89a19itip4gjeagcwc1xx, 5fhb206czgy2ul5j0tsqeo7ah, 54c6tpqni8ggfg1pyrmdpsxlg, ddszr3eumcoos2r3cb2dtiq6s, 1lk61nwcvayf0ep21p31xcfzd",5608344647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608344643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793198827,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-03-29T22:25:13.120Z,2025-03-30T02:38:09Z,,,,,5608373773,130,8,5608373777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608492977,194,7i29w1zl3m6xdnurdll08jsvd,5608373769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5608373775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5608373771,59,"24, 3, 6, 10, 23, 5, 7, 34, 77, 21, 11, 1, 13, 14, 17, 20, 22, 27",5608492981,197,28293,5608373765,30,"8m19c2e0raanzp3dzf7aaf6jt, 2h53fzt0ubszmkuwfnez8n622, 6oj55tf7cdnnnft350f9fyhnt, drbcpa8qvrgin42q3it10nieh, dqekbs06e79n3vapj437pwyc, 7i29w1zl3m6xdnurdll08jsvd, ody1ty0csq2lnatvjwdrrv11, 6lehq7bt5okf4y9lbxan577x1, 4ccmn07kk0thmg6apfxgivmc5, cnqxbvy77blk2ulx06t65it49, dio84sg1k4gsedcpordxs69lg, duuhalibp64gdz6nub5ub0ovd, bjm0d2f9er34ymm41sulmkout, b9lt0sfts2zxf2ali8vpf0pn9, rtca480n5ehey5ffvt8nudck, cfx7vo0kbjvcly2nf1b7papsk, 6eqvj5hboqw5c21ofhsgo4p9l, 3ljxfq84ubqzlooixppmpfdd6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220857,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-03-29T23:07:28.020Z,2025-03-29T23:07:28Z,,,,,5608495559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220877,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-29T23:07:28.020Z,2025-03-29T23:07:29Z,,,,,5608495655,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220919,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-03-29T23:07:28.021Z,2025-03-30T00:12:50Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5608495845,56,Back,5608495847,140,36.7,5608495851,212,14.0,5608495857,279,S,5608495853,213,3.19,5608495849,141,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220969,4,1,1,0,4,ak0rmms5xl49w57i2rvid1tk9,1,36.7,49.1,2025-03-29T23:07:32.150Z,2025-03-30T00:12:52Z,6lehq7bt5okf4y9lbxan577x1,C. Adams,,,5608496051,56,Back,5608496059,213,4.67,5608496055,141,22.7,5608496057,212,18.0,5608496053,140,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221025,5,1,1,0,6,ak0rmms5xl49w57i2rvid1tk9,1,36.0,22.7,2025-03-29T23:07:34.550Z,2025-03-30T00:14:09Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5608496425,213,6.16,5608496419,140,76.3,5608496417,56,Right,5608496421,141,14.7,5608496427,1,,5608496423,212,42.7,5608496415,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221037,6,44,1,0,8,ak0rmms5xl49w57i2rvid1tk9,1,76.4,10.1,2025-03-29T23:07:36.732Z,2025-03-30T01:55:54Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5608496451,56,Right,5608496453,286,,5608496477,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793220999,3,44,1,0,8,8cpjplodpphtkbt0hq8sr8mqs,0,23.6,89.9,2025-03-29T23:07:36.733Z,2025-03-30T01:55:54Z,637c2iedo7modc3ekt36c2m7d,A. Stanley,,,5608496239,285,,5608496497,233,6,5608496237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221059,7,1,1,0,9,ak0rmms5xl49w57i2rvid1tk9,0,74.8,15.2,2025-03-29T23:07:37.117Z,2025-03-30T00:15:34Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5608496539,168,,5608496537,3,,5608496545,141,16.0,5608496549,213,0.25,5608496543,140,76.8,5608496541,56,Right,5608496547,212,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
