id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2822641247,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-14T22:05:16.869Z,2025-06-14T22:59:40Z,,,,,5771122183,194,9tknltys66s9j8ljchwu5efv9,5771122173,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, blkq1t8y0wnos6jxb0uwowwk5, 9tknltys66s9j8ljchwu5efv9, 6jdsh8ubirqphhurw5rr7kz8q, vg3ha8h2d35wgexer2i6ao0k, f21web74a70mly9i28jpa1yvp, 1tsiml56f2xxym8h4tfjmho2c, 3cj2fww973bv21rfjlnu15yc4, 7ejohb009byubwiqv36vag5jo, 69wq859yz6wzirpbvpnt3n8bt, 4avmtni30rahy4h40ffg89q6t, 4l0iztasx0cae3j4f15d8gd4a, ecipfh5r0gqsf0skgvgpu8cbu, 68lho3sxw1cm1acgk4phg9wtm, bjdoqj8tsm1wlxiqaavduwo9h, 18g5ilv70mq7igiooy5yb8sno, 8e6kj3506n4gum041dok8v1ex, 6a6bagymcckyt43w6b31irsvd",5771122185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771122179,130,17,5771122175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5771122181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5771122177,59,"1, 14, 11, 5, 27, 66, 17, 15, 26, 8, 13, 9, 10, 16, 19, 20, 24, 44, 55",5771201813,197,28571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822642405,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-14T22:09:58.061Z,2025-06-15T01:46:57Z,,,,,5771128157,30,"a3l8f3a6rr93qyyaxhdfqq1yi, bug5x187ehj0apzl11lrl3ip6, eg5pbxm7emj77mdcub4xp6m3u, 1diaoqi51gzx23j4d5f8xc8b8, c8svt3yazcfaq478j0cpbmbfu, 3tb7ycl6z32sevjo8rxa590, 4vdbw63j0s7npezknabq6p7xm, 9txqixk3uycvort3ntzkva1g5, 449e2muutlpvx9lhv1t2tcsmh, 711t32tk6qwl567dngcldfw15, 9ch7zgxlcjiio0xbo2hhl2yvo, amqkkery2iviorex40t7yi3xm, couplbg5c1wzrb14ycd8f7h0p, 2gsbai5bpg1fbullzvngv2l1w, 8pqvmz8g1yhe7hqqc1d68c4mi, 3o4uxnvpnf3cwjs3srwegxp90, f472o0229a6xev8qudf1tyf6y, 5o2437unwy8z2k2k2ers86dbd",5771128405,194,3tb7ycl6z32sevjo8rxa590,5771128159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5771128163,130,8,5771128165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771155415,197,29762,5771128167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771128161,59,"22, 14, 3, 77, 24, 6, 18, 20, 10, 21, 11, 2, 5, 8, 12, 13, 15, 80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657199,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-06-14T23:06:18.511Z,2025-06-14T23:06:20Z,,,,,5771209479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657193,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-14T23:06:18.511Z,2025-06-14T23:06:18Z,,,,,5771209449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657201,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,49.8,50.1,2025-06-14T23:06:18.512Z,2025-06-14T23:17:19Z,4vdbw63j0s7npezknabq6p7xm,J. Brito,,,5771209515,189,,5771209487,141,52.5,5771209485,140,29.0,5771209491,213,3.07,5771209489,212,21.9,5771209483,56,Back,5771209493,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657225,4,1,1,0,3,daicfonrbj124lu2la2rctxck,0,29.0,52.5,2025-06-14T23:06:22.237Z,2025-06-14T23:06:25Z,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,,,5771209613,213,6.04,5771209603,157,,5771209615,1,,5771209609,141,37.0,5771209605,56,Center,5771209611,212,43.0,5771209607,140,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657227,3,44,1,0,5,6597wqy6gmpv3zjx7rp8cdj46,1,31.4,66.8,2025-06-14T23:06:24.090Z,2025-06-15T01:09:34Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5771209619,56,Back,5771209621,285,,5771209641,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657229,5,44,1,0,5,daicfonrbj124lu2la2rctxck,0,68.6,33.2,2025-06-14T23:06:24.091Z,2025-06-15T01:09:35Z,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,,,5771209645,233,3,5771209627,286,,5771209625,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657231,4,1,1,0,5,6597wqy6gmpv3zjx7rp8cdj46,0,31.4,72.9,2025-06-14T23:06:24.416Z,2025-06-14T23:06:25Z,9tknltys66s9j8ljchwu5efv9,P. Craig,,,5771209637,212,5.9,5771209633,140,36.9,5771209631,56,Back,5771209635,141,71.5,5771209629,3,,5771209639,213,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657271,8,1,1,0,7,daicfonrbj124lu2la2rctxck,1,67.8,18.5,2025-06-14T23:06:25.702Z,2025-06-14T23:13:15Z,1diaoqi51gzx23j4d5f8xc8b8,A. Shapiro-Thompson,,,5771209817,56,Right,5771209825,213,3.41,5771209821,141,15.0,5771209823,212,9.1,5771209819,140,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
