id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2821667107,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-07T23:03:29.485Z,2025-06-08T03:49:10Z,,,,,5765672423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5765803859,197,2772,5765672427,130,2,5765672421,30,"3gzatxlefe9axcrqyllbtrzmc, du5dg5x7as3ub1iemjuwdd6uh, 8vcytrkvxzki08gxqpulol3hl, dbjysa6qhf203jmpjedz8pgph, 2wufroeor0e7k6hvatj1ltwfe, bpkzxcqtmvei7lqkqzuvzelsl, cbbip5xc4xfipnk6aal6cfywa, 5s5sc7zxuw8cr7vyzeofb8hnu, c08hvq1hplcct8kxrxucfpqp6, 4ua2bfowedufy5hilbxb3cul1, 7ao58e6608lb8eu3dmk17jisp, dp8j7znd4eavuoy3faqpamoa2, 87rpg135z1k0ir74kdczwo2y1, 56txiyhvsvhudyr1b21rznmjt, 6mrzod8fbjpv5s30eyypfyv2t, te1unnk7afru8djvu92vs00k, 374euncv00zs2oy6ux1u519be, 1m1s5p5j607baa6lany39txxw",5765672431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765672425,59,"41, 2, 11, 14, 27, 33, 20, 17, 28, 10, 8, 1, 3, 4, 9, 21, 26, 47",5765803857,194,bpkzxcqtmvei7lqkqzuvzelsl,5765672429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667691,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-07T23:07:02.754Z,2025-06-08T02:35:46Z,,,,,5765675585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5765675589,197,29734,5765675577,30,"a3k4grlhkn63p3xfb2rzslkdm, cla0i94uyddjw7jzqoyfsplre, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 486r7pszrdk085ot7cy2008dm, 35bpd9cmuep6cqczngaqpc19m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, bteydgv4om5ylyoznx9vesogl, hglsr5ybsi6bsl178ge0c31m, achy1l1rfq2d4ftn6l1esht9m, 5rdtu4wmswu65eqjjw38uao0k, 15jb2rb0mvhaz492ii7yqrk6h, 4f03usm5tnljkqleajmz9kmol, 56dgwb24qfzj4coisw4lj4duc",5765675591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765675579,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5765675581,59,"1, 2, 13, 32, 5, 4, 17, 27, 9, 25, 7, 11, 12, 16, 24, 31, 53, 70",5765675583,130,17,5765675587,194,42hi96pvzz8f69ixlcncn0549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821690891,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-08T00:06:38.460Z,2025-06-08T00:07:25Z,,,,,5765805661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821690895,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-08T00:06:38.460Z,2025-06-08T00:07:26Z,,,,,5765805685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821738649,909,1,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,50.3,50.4,2025-06-08T00:06:38.461Z,2025-06-08T02:27:05Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,,5766074559,140,39.7,5766074561,141,51.8,5766074567,279,S,5766074563,212,11.2,5766074565,213,3.06,5766074557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821690901,3,43,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-06-08T00:06:48.961Z,2025-06-08T00:07:16Z,4ua2bfowedufy5hilbxb3cul1,Leo Fernandes,,,5765805707,141,40.1,5765805703,56,Center,5765806241,189,0,5765805711,213,5.70,5765805705,140,60.3,5765805713,279,S,5765806497,144,1,5765805709,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821690925,3,43,1,0,6,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-06-08T00:06:55.451Z,2025-06-08T00:07:20Z,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,5765806663,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821692407,26,44,1,0,8,5qfq6cwtrgzd2szijivns7rjl,1,59.6,9.0,2025-06-08T00:06:46.803Z,2025-06-08T02:13:38Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5765818277,56,Right,5765818279,286,,5765818797,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821692397,33,44,1,0,8,83cpn99fh7ulkwe8nezy8a3mx,0,40.4,91.0,2025-06-08T00:06:46.804Z,2025-06-08T00:12:29Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5765818669,56,Back,5765818817,233,26,5765818671,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821692411,27,1,1,0,8,5qfq6cwtrgzd2szijivns7rjl,0,54.3,15.0,2025-06-08T00:06:46.979Z,2025-06-08T02:33:16Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5765819597,212,12.7,5765819593,140,66.2,5765819595,141,11.5,5765819591,56,Right,5765819599,213,6.09,5765819589,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
