id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2796739251,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-04-05T22:11:24.814Z,2025-04-05T22:59:53Z,,,,,5627848249,59,"98, 30, 16, 14, 3, 41, 99, 5, 19, 8, 21, 23, 4, 17, 2, 6, 18, 22",5627848245,30,"d38osra1p83cgtmrwqt6w60yy, arxprecroj7kqwx1tmkhhfsdm, 637c2iedo7modc3ekt36c2m7d, 9tispdm7tc3te31awsfcmd905, 97d0drjb3zqkh5ozfufg17nys, 54yx5xkqrktd2hp0sxjx6hm8l, d50x000h9o6i8kd8aihie4lx, e93nozniig2wriw9doit6a4tl, 8delieh6jv1cgaukmgcwfjsic, 2co6fedrz8anjzy9ise76dplh, 7ad4uvgwiwtjy23nt3yjsmctm, cv7nd9tnk6j2ixvnlibiip2vp, 2pka62t1zg04jwkcx6zbc4wlw, 33t1aoog229o5f7okwwg5d6ac, n6ubi9lw3fjau0xzvd09myqy, blts89a19itip4gjeagcwc1xx, 1nl79aq9il743hgoaijmupmmt, 5fhb206czgy2ul5j0tsqeo7ah",5627848257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627848251,130,8,5627848253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5627848255,194,9tispdm7tc3te31awsfcmd905,5627848247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5627994027,197,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796745551,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-04-05T22:21:07.120Z,2025-04-06T02:03:46Z,,,,,5627882997,59,"1, 14, 10, 5, 20, 27, 8, 44, 7, 15, 19, 4, 9, 13, 16, 17, 25, 55, 66, 71",5627883003,194,9tknltys66s9j8ljchwu5efv9,5627883005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5628013827,197,22464,5627882995,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5627882999,130,11,5627882993,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 4l0iztasx0cae3j4f15d8gd4a, 9tknltys66s9j8ljchwu5efv9, bjdoqj8tsm1wlxiqaavduwo9h, 6jdsh8ubirqphhurw5rr7kz8q, 7ejohb009byubwiqv36vag5jo, 8e6kj3506n4gum041dok8v1ex, 6u93ok0drr4byri2lu5g6rq0a, 1tsiml56f2xxym8h4tfjmho2c, 68lho3sxw1cm1acgk4phg9wtm, 4t3akio43zpg7pyr3dtmoipnu, 4avmtni30rahy4h40ffg89q6t, 69wq859yz6wzirpbvpnt3n8bt, ecipfh5r0gqsf0skgvgpu8cbu, f21web74a70mly9i28jpa1yvp, 7i7ysz3j5bhwh0vzmijx1hgwl, 6a6bagymcckyt43w6b31irsvd, vg3ha8h2d35wgexer2i6ao0k, 25yiwywy8abvc42fz2h9p81ec",5627883001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770035,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-04-05T23:06:39.478Z,2025-04-05T23:06:39Z,,,,,5628014763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770043,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-04-05T23:06:39.478Z,2025-04-05T23:06:43Z,,,,,5628014805,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770057,3,1,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,50.1,50.3,2025-04-05T23:06:39.479Z,2025-04-05T23:07:10Z,2co6fedrz8anjzy9ise76dplh,J. Blake,,,5628014915,212,25.2,5628016723,189,,5628014909,56,Back,5628014913,141,41.9,5628014919,279,S,5628014911,140,26.7,5628014917,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770073,4,1,1,0,1,8cpjplodpphtkbt0hq8sr8mqs,0,26.7,41.9,2025-04-05T23:06:41.110Z,2025-04-05T23:07:09Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5628015001,155,,5628015007,141,72.7,5628015005,140,78.4,5628015011,213,0.37,5628015003,56,Center,5628015013,1,,5628015009,212,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770077,5,43,1,0,4,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-04-05T23:06:43.718Z,2025-04-05T23:06:55Z,e93nozniig2wriw9doit6a4tl,J. Murphy,,,5628015823,144,56,5628015031,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770099,3,1,1,0,4,6597wqy6gmpv3zjx7rp8cdj46,0,32.4,27.3,2025-04-05T23:06:44.237Z,2025-04-05T23:09:22Z,411grh3cytippnnanb767qvsa,Rafa Mentzingen,,,5628015201,212,3.1,5628015199,141,24.6,5628015187,3,,5628015195,140,30.0,5628015203,213,3.77,5628015191,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796771761,33,44,1,0,6,6597wqy6gmpv3zjx7rp8cdj46,1,22.2,21.0,2025-04-05T23:06:46.096Z,2025-04-06T01:25:26Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5628024547,56,Back,5628035677,233,12,5628024549,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770823,12,44,1,0,6,8cpjplodpphtkbt0hq8sr8mqs,0,77.8,79.0,2025-04-05T23:06:46.097Z,2025-04-06T01:25:26Z,7ad4uvgwiwtjy23nt3yjsmctm,O. Brynéus,,,5628019349,56,Left,5628019351,286,,5628035723,233,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770117,4,1,1,0,7,6597wqy6gmpv3zjx7rp8cdj46,1,30.3,24.9,2025-04-05T23:06:46.751Z,2025-04-05T23:09:08Z,7ejohb009byubwiqv36vag5jo,Pedro Dolabella,,,5628015297,56,Back,5628015309,212,11.7,5628015313,213,1.19,5628015293,3,,5628015305,141,40.9,5628015301,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796770137,5,1,1,0,8,6597wqy6gmpv3zjx7rp8cdj46,0,34.5,40.9,2025-04-05T23:06:47.719Z,2025-04-05T23:12:36Z,1tsiml56f2xxym8h4tfjmho2c,M. Maldonado,,,5628015405,141,28.9,5628015409,213,4.62,5628036583,1,,5628015403,140,33.8,5628036581,157,,5628015407,212,8.2,5628015401,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
