id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2809913937,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-04T00:09:24.940Z,2025-05-04T05:33:28Z,,,,,5700446817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5700446829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5700446833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700653053,197,18652,5700446821,59,"23, 18, 12, 30, 3, 21, 8, 16, 14, 13, 10, 1, 6, 9, 11, 20, 24, 25, 66",5700841693,194,2mgcta30puk8kuwb5mo4zvcnp,5700446825,130,4,5700446815,30,"8y556fvv7asmfouaica4nbai1, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, c4g35kho1qirnu4q420knnl9m, 2mxaagzu9rb92z9880yjllbzd, dowfebdy2qnsz8hkj0ilrux62, 7ajceczjsu9ci4nqv9gg2860a, 6fgxgq77v66va16tcuqvyn6x, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 7ctc1xui7wk89o5v00z8ijqw9, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, cywd7q1m77lwe5q2dof7rvf9w, 1jhs3g95t0ah1hx3fwlo14kmi, 8gy9wgqywaqi9uy6i31i0q21h, 5a6sqqiyle6aj7zh8ozwikqok",,,,,,,,,,,,,,,,,,,,,,,,,,,
2809914371,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-04T00:10:08.355Z,2025-05-04T03:14:45Z,,,,,5700449379,59,"1, 16, 24, 9, 12, 22, 10, 11, 8, 19, 27, 3, 13, 15, 17, 23, 25, 42, 47, 79",5700449387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700449377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5700449381,130,21,5700449383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701025583,197,23585,5700449375,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 52rcg38mijjjusfwqxa2l7hex, 7b346y8ad54mkc0h1343ybs2x, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, 3nvijn3ctkplajtt1dd23wycp, bhzsz7pbe6pbwojtc1mi8m28l, ew8oodr9hiuqve7xlz24xznfu, caxfn5xu1taewgtxil6ah2rjd, akgtib8zyv5lrvh9mxunj2rdg, 9za3fwnri7qk1dutb4iwmh6g9, 18iz45ww0nara0xdaleg72ort, djau5chcmoyiyq28jt9ypzh4a, dxd6p1c8k96armsbg5isjbu95, 1iyhipdn84for8bbxb07kw4x5, g31cspu8sa8eohwakxm28ne2, 85k1701p1ihv5ty1q457tjaqc, 92e2s4yfk06ym5ksu9p8lgc2c, 440q4v39c5eysk75da049ny8k",5700449385,194,zczt4alpawz5522hff8x39p1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950011,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-05-04T01:07:46.626Z,2025-05-04T04:20:47Z,,,,,5700655235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949997,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-04T01:07:46.626Z,2025-05-04T01:07:46Z,,,,,5700655171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950019,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,50.0,50.0,2025-05-04T01:07:47.021Z,2025-05-04T01:07:50Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5700655269,141,70.6,5700655271,212,29.7,5700655267,140,25.1,5700655275,279,S,5700655265,56,Back,5700655273,213,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950075,4,1,1,0,3,5h878vnmkbuy2ummddprusxgq,0,27.7,78.1,2025-05-04T01:07:49.693Z,2025-05-04T02:06:20Z,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,5700655565,213,0.04,5700655559,140,75.4,5700655557,56,Left,5700655563,212,50.1,5700655561,141,80.8,5700655555,157,,5700655567,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950181,3,1,1,0,6,bk3zg8yaj5uoqhxzwons3bo8a,1,25.3,22.1,2025-05-04T01:07:53.118Z,2025-05-04T01:08:00Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5700656119,213,5.46,5700656117,212,11.6,5700656113,141,9.5,5700656107,56,Back,5700656109,140,32.8,5700656105,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950185,4,4,1,0,13,bk3zg8yaj5uoqhxzwons3bo8a,1,34.3,11.4,2025-05-04T01:08:00.086Z,2025-05-04T03:30:05Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5700656521,233,5,5700656193,13,,5700656195,56,Back,5700656197,152,,5700656199,265,,5700656201,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950237,5,4,1,0,13,5h878vnmkbuy2ummddprusxgq,0,65.7,88.6,2025-05-04T01:08:00.087Z,2025-05-04T03:28:18Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5700656481,265,,5700656573,233,4,5700656479,152,,5700656577,285,,5700656475,56,Left,5700656473,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809950603,5,1,1,0,38,bk3zg8yaj5uoqhxzwons3bo8a,1,33.9,13.6,2025-05-04T01:08:24.725Z,2025-05-04T01:08:27Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5700658359,141,77.7,5700658357,140,45.1,5700658365,1,,5700658415,189,,5700658351,196,,5700658361,212,45.1,5700658355,56,Back,5700658363,213,1.31,5700658349,5,5700658353,152,,,,,,,,,,,,,,,,,,,,,,,
