id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2793311127,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-30T01:03:21.859Z,2025-03-30T06:12:47Z,,,,,5608992913,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5609170847,197,14784,5608992915,59,"1, 15, 12, 6, 2, 5, 7, 88, 20, 21, 11, 4, 8, 13, 14, 18, 22, 31",5608992917,130,2,5608992921,194,1j010cibh247p8kjchww6ny3u,5608992919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5608992923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608992911,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, bnhjfu5p8tysruk7aep5dr1ex, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, d2yqubc3u7bjj96yqawjojod0, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, 2m28wyud6xi78nt8e92p9keay, 2ozy3ijlcknjqk0omzwd58x2i, a8ngovgs2qfu5udzb97kelg16, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 8bwjj53jwbsi0emx370uka5g4, f2nxaemhqi8kbtbejnqekgd4a, djz5cm1g7ouen2y4o7w35jbl6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793318291,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-30T01:14:14.933Z,2025-03-30T06:17:31Z,,,,,5609155221,194,8pwslovfo5ostdhvpx53cxclw,5609030199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5609030203,59,"13, 2, 3, 6, 4, 34, 9, 8, 91, 10, 7, 1, 19, 21, 29, 37, 38, 44, 83, 88",5609030207,130,7,5609030209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5609155223,197,23588,5609030195,30,"cdaayu6d9xzn4gyn5jg5p6vl6, 9xjixcn3jhf7m75dl49u0qe7e, e076q290ab1o6qz9vthl2c0a2, 74rnjizxzn5a0oag6sue0ja7e, 8pwslovfo5ostdhvpx53cxclw, 3csngjh4kjgpkfayppiwfbw2c, c0of0cn2tec0yn2vtwdqgxxpl, 6ahu72g0u39bxbjiz7ggefai1, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, 6dpxvfpnaua6y4gevop02qc8a, 7y56spdjsagw833hgo5ranvf9, 2lpjr3oys0s0u2pnhut8epqwa, anklhk2phdsmbt84kumwvgvyt, 6naqq6f6acfec3zh2msuxrmqd, 5dcrraswa6ydkfxq32znp7wno, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, 9j5kxdshj31du1psnt8cp6has, bb524gi3hf6soharvgp7bumtw",5609030213,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340281,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-03-30T02:07:35.848Z,2025-03-30T02:07:39Z,,,,,5609156653,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340279,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-30T02:07:35.848Z,2025-03-30T02:07:36Z,,,,,5609156641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340287,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.2,49.3,2025-03-30T02:07:35.849Z,2025-03-30T02:07:40Z,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,,,5609156713,212,19.9,5609156715,213,2.43,5609156717,279,S,5609156709,140,35.8,5609156707,56,Back,5609156711,141,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340295,4,1,1,0,4,2iwybwokic7nmr1t33abdbjoq,0,31.1,70.0,2025-03-30T02:07:39.941Z,2025-03-30T02:07:42Z,e076q290ab1o6qz9vthl2c0a2,H. Neville,,,5609156803,56,Center,5609156809,212,66.2,5609156813,1,,5609156807,141,31.3,5609156805,140,89.0,5609156801,157,,5609156811,213,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340313,4,1,1,0,10,kfq8fhwnmycbtad1u0fyefx0,0,20.2,63.4,2025-03-30T02:07:46.653Z,2025-03-30T02:07:49Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,,5609156913,141,53.4,5609156909,56,Center,5609156917,213,6.13,5609156915,212,44.6,5609156911,140,62.2,5609156919,1,,5609156907,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340309,5,44,1,0,11,2iwybwokic7nmr1t33abdbjoq,1,41.2,45.6,2025-03-30T02:07:47.797Z,2025-03-30T05:03:18Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5609156899,56,Back,5609156963,233,5,5609156901,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340317,5,44,1,0,11,kfq8fhwnmycbtad1u0fyefx0,0,58.8,54.4,2025-03-30T02:07:47.798Z,2025-03-30T05:03:19Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,,5609156943,56,Center,5609156967,233,5,5609156945,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793340319,6,1,1,0,12,2iwybwokic7nmr1t33abdbjoq,0,46.5,44.0,2025-03-30T02:07:48.366Z,2025-03-30T02:07:49Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5609156951,3,,5609156959,212,17.1,5609156961,213,0.48,5609156955,140,60.9,5609156957,141,55.7,5609156953,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
