id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2800292165,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-04-12T23:37:12.693Z,2025-04-13T03:37:08Z,,,,,5647394261,59,"28, 4, 3, 5, 13, 21, 7, 8, 9, 30, 26, 10, 11, 16, 17, 18, 22, 25, 31",5647599955,197,23577,5647394267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647394263,130,8,5647394265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5647394259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5647731785,194,d539xjkdwt1i77f0czbvo8ull,5647394257,30,"9q3w4j10qfsq94svbmyxa879x, 1460tac94fhhy43lmohs4fj3e, cvi9u3v3krlkbvwcwjqztzvca, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, bolmgcfvbdizfyh6n9oz4xjsa, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, 1xkff6cxd8zycnd3n3odmvai1, bzs1s1yntau3dvzyvn6t7t785, e5nj82ezbq0x6zdzdh4quyxn9, 864l8bcr288r74g3tmt1eqfe2, bbic10tw6eaf7rgpogt37rgtl, aqb7f88ta15ve8izh5zy9paz9, eqge8se9qvv9oqyivp267l016, c14ntw6zvozswy685dztldl1x, 7deyffi1b0b76ej9mpgbgr9qs, amy6q1u6b1rvlsudoc73mj2ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800298165,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-04-12T23:45:48.793Z,2025-04-13T16:49:00Z,,,,,5647428321,59,"1, 23, 4, 8, 21, 5, 70, 18, 11, 10, 32, 6, 7, 13, 17, 22, 55, 94",5647610863,197,3383,5647428323,130,8,5647428327,194,4o1ryjpzoxzpi3ex53cmayui1,5647428325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647428317,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, c481wk3de3opu190d8z99w8yy, bfdes5ft117ggu7ue5tnu5hm2, 4o1ryjpzoxzpi3ex53cmayui1, 371fgwtxyfnnu6m4pmq7s55ud, 8pg5wiwxujx3hnir5wie9xgfe, bzu3rjr0r2qmxluguyseq5sdl, 4g4zufvyime7qp4ks4badls0k, zd582wgzhdcz8n6oipywt3vt, euesmrqkdyvekqtpk81ln7uqy, 9izvs4qd03gfmqukkk5csxxxw, 4ceaxb019rb6flsigsqo80rca, 57h9hd13z846qsj0bqpdoegb8, 4695nvcz8lcrklltxvalcizmd, aigpzkjyja6ksrcl8dteylqs5, 1le9ot9v8ql9q57huwmu4vu38, 61rlxmejof8zjv8uw3sk1l045",5647428329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647428319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331629,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-04-13T00:36:48.392Z,2025-04-13T00:36:51Z,,,,,5647613115,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331621,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-04-13T00:36:48.392Z,2025-04-13T00:36:48Z,,,,,5647613075,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331653,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,49.8,50.1,2025-04-13T00:36:48.393Z,2025-04-13T00:37:46Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5647613229,279,S,5647613383,1,,5647613219,56,Back,5647613227,213,3.11,5647613223,141,51.8,5647613221,140,13.6,5647613225,212,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331705,4,1,1,0,4,87c66ubwpzykovmkaf1t46bis,1,13.6,51.6,2025-04-13T00:36:53.091Z,2025-04-13T00:36:56Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5647613539,140,24.1,5647613545,213,0.96,5647613543,212,19.2,5647613541,141,74.8,5647613537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331717,5,1,1,0,7,87c66ubwpzykovmkaf1t46bis,1,24.1,74.8,2025-04-13T00:36:55.973Z,2025-04-13T00:36:58Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5647613599,140,29.8,5647613605,213,1.10,5647613597,56,Back,5647613603,212,13.2,5647613601,141,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331751,6,1,1,0,9,87c66ubwpzykovmkaf1t46bis,1,30.0,92.4,2025-04-13T00:36:57.819Z,2025-04-13T00:37:01Z,c481wk3de3opu190d8z99w8yy,N. Flores,,,5647613809,140,25.0,5647613813,212,12.6,5647613807,56,Back,5647613811,141,75.6,5647613815,213,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331765,7,1,1,0,13,87c66ubwpzykovmkaf1t46bis,1,26.4,74.1,2025-04-13T00:37:01.691Z,2025-04-13T00:37:02Z,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,,,5647613887,212,16.8,5647613889,213,4.93,5647613883,140,29.8,5647613881,56,Back,5647613885,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800331791,8,1,1,0,14,87c66ubwpzykovmkaf1t46bis,1,29.8,49.9,2025-04-13T00:37:02.635Z,2025-04-13T00:37:06Z,bfdes5ft117ggu7ue5tnu5hm2,N. Hernandez,,,5647614071,213,3.03,5647614065,140,10.3,5647614069,212,20.6,5647614063,56,Back,5647614067,141,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
