id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2823714359,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-21T23:12:49.572Z,2025-06-22T02:25:20Z,,,,5777145335,59,"1, 30, 25, 15, 4, 33, 45, 12, 11, 9, 7, 3, 5, 6, 10, 22, 35, 88",5777145337,130,13,5777145331,30,"6j38lv6xa3gnzzsn5x2i35rdh, 653qyopyxl1qrfmul2n3m5g16, evk0esdocrzt5zxqmv4ostdcl, 2w7w1l7lwhu2u6nhvqg1bnd2h, ei30dsbb51ri88sr7aku2t13p, 4e47ixpbc8x9qzn7l3aeej0tl, e0879u9ckqe6xv1h2j8bqto9g, 4jq1xl8ott88bxfdo4bjm47hl, doseo9fbdr1a1srm0jhdqmr55, cclpvd1z3yyruciida1q3x4o9, 6g7v93m80xq6x38o9u3t8y3je, 3xd2kq7cxmvdbqsfzgi644c4q, 777irocsl9y6fja05sevniy95, bogxgfao7j28diagxffy0z9ey, cxnq0rc4u1efzt82nw3xgk355, 2j9i9ersvndkywcgqx9pzc9ka, 629pbkngxk7ucy0qt9mngvkd1, 24r8fdf8ypk7ejch9t86zjwgk",5777145333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5777145345,194,4jq1xl8ott88bxfdo4bjm47hl,5777145341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777268169,197,10793,5777145349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823717131,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-21T23:18:58.719Z,2025-06-22T00:07:12Z,,,,5777160809,130,11,5777160803,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, beq6yluq1raxsrvxo77qlrf56, bxlh35ww96wgrsgfc8blou50p, 9i7vyapra7fjdtv6xd9sms2ne, 3yd4f60qwxrbs2rch6uobxqsp, 5uv1a9rj5wot3wcgefjoxhkdm, e6uww9a9ssp0n20ksoolesa8l, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, 9etod4kwf9f5ye7jzc5ez0e3u, 7drelguz6c1htw10sq7zyxh0q, b708ir5u7r34j9oemje8f8z1m, dglf4uhg5wnc68cg8ijovfmy1, dhi7890xe8zsmzhw2cad7sul1, 7xe0ov84ztwduks4x3utn05ck, 730zlb0kpah9nuhbt4cadx3h1, 357vd87hv0jvljqtt2qf4vmz8, 2ig362xub2syd45v3usgymbkk",5777268331,194,e6uww9a9ssp0n20ksoolesa8l,5777160813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777160805,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5777160811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777160807,59,"1, 2, 33, 20, 3, 13, 19, 8, 9, 17, 7, 6, 10, 15, 21, 23, 43, 57",5777268333,197,29697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736781,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-22T00:08:59.953Z,2025-06-22T00:09:00Z,,,,5777271575,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736793,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-22T00:08:59.953Z,2025-06-22T02:27:34Z,,,,5777271631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736795,3,1,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,50.0,50.0,2025-06-22T00:08:59.954Z,2025-06-22T02:27:47Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,5777271643,140,28.8,5777271641,56,Back,5777271647,212,22.5,5777271645,141,54.9,5777271651,279,S,5777271649,213,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736827,4,1,1,0,1,b5l2e3csycjb8twvq9ek0j5gq,1,29.1,52.5,2025-06-22T00:09:01.914Z,2025-06-22T00:09:07Z,ei30dsbb51ri88sr7aku2t13p,G. Margvelashvili,,5777271839,56,Back,5777271849,1,,5777271843,141,9.4,5777271841,140,45.9,5777271847,213,5.25,5777271845,212,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736841,5,4,1,0,10,b5l2e3csycjb8twvq9ek0j5gq,1,63.0,32.2,2025-06-22T00:09:10.189Z,2025-06-22T00:22:20Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5777271939,265,,5777271937,152,,5777271935,56,Center,5777271941,286,,5777272969,233,3,5777271933,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823736999,3,4,1,0,10,c9xffml4i7ihblp1qhus9w3fu,0,37.0,67.8,2025-06-22T00:09:10.190Z,2025-06-22T00:22:20Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777272799,13,,5777273141,55,4,5777272807,285,,5777272801,56,Back,5777272805,265,,5777273151,233,5,5777272803,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737041,4,17,1,0,13,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-22T00:09:13.857Z,2025-06-22T00:09:46Z,9etod4kwf9f5ye7jzc5ez0e3u,E. Laszo,,5777273111,392,,5777273115,55,3,5777273109,31,,5777273113,13,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823737119,5,27,1,0,50,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-06-22T00:09:50.315Z,2025-06-22T00:09:57Z,,,,5777273529,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
