id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2785764263,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-08T23:19:15.167Z,2025-03-09T02:44:22Z,,,,,5567720831,194,38ghqgck8fwnxap6em08avzs9,5567619703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5567619701,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 6pqwh2z47uwgr9u9y8n79ppzp, 984jr9d6sbi5l5vt9ct1b6cph, 38ghqgck8fwnxap6em08avzs9, b7pzjfl5fuvivmc2x9defzfmx, 16si0dgkuqvahp0x1bjr37xuc, 9izknjlz6zunwjpo4u94q855g, 3ei1s8oyub83owfxxbsygmsmi, dkk3twgai2ldi75eh0xr37hbe, 8ecb1shzu9migh6lv1bnku8es, 9blzzcpytqe7o9rdte1s6mw6i, 7i9qesz7fugndupldntvshwd0, dqvxmefhimxvxstvlz5yd7ysp, c7q476j0dkl7e4fhqqlsp5rai, 5r88subg9jy8zg4y97tzwzxm1, lu2g4n0jcfxk41i8ro05ad5g",5567619711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567619705,59,"77, 2, 19, 94, 30, 4, 7, 8, 9, 17, 11, 44, 6, 10, 15, 22, 71, 81",5567720833,197,23583,5567619709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567619707,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2785764939,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-08T23:21:11.481Z,2025-03-09T02:48:30Z,,,,,5568233685,194,2yflerah2shma2hzhm99msez9,5567623393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567623385,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, 2yflerah2shma2hzhm99msez9, 16ndalf4kfr7e6rd9mwj7gfmc, rtercnq9nn7y0814ghe7wo2x, 1b9b97pxox77ia41cilqqm4iy, khvgxqohya7mawca1qx5q590, 4f03usm5tnljkqleajmz9kmol, abhcwxqh35hbgze01m4ihopyi, csx9pmpibyblftludnkd6j36x, 64amlcisr3cr924jwy25rjs9h, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, chiwsyjdyk4sn4vxqu9mdr0x6",5567623387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5567623389,59,"1, 6, 24, 80, 5, 14, 8, 3, 17, 28, 11, 4, 16, 22, 27, 31, 37, 72",5567623395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567722247,197,23268,5567623391,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783015,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-09T00:06:24.744Z,2025-03-09T00:06:25Z,,,,,5567722507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783025,3,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-03-09T00:06:24.744Z,2025-03-09T00:06:29Z,,,,,5567722541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783027,4,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,50.2,49.7,2025-03-09T00:06:25.178Z,2025-03-09T00:06:28Z,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,,,5567722555,140,29.6,5567722563,279,S,5567722559,212,22.2,5567722553,56,Back,5567722557,141,42.2,5567722561,213,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783067,5,1,1,0,4,2n3wgr89m7jl8tmioemit2pgq,0,29.6,42.2,2025-03-09T00:06:29.486Z,2025-03-09T00:06:34Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5567722813,212,56.2,5567722807,56,Center,5567722809,140,80.1,5567722811,141,69.6,5567722805,155,,5567722815,213,0.34,5567722817,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783055,3,44,1,0,6,ck22dnk93ng8ax7wonlff7yms,1,25.1,29.0,2025-03-09T00:06:30.928Z,2025-03-09T02:17:37Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5567722749,56,Back,5567722855,233,6,5567722751,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783069,6,44,1,0,6,2n3wgr89m7jl8tmioemit2pgq,0,74.9,71.0,2025-03-09T00:06:30.929Z,2025-03-09T02:17:38Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5567722871,233,3,5567722839,286,,5567722837,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785783057,4,1,1,0,6,ck22dnk93ng8ax7wonlff7yms,0,33.8,26.8,2025-03-09T00:06:31.350Z,2025-03-09T00:55:33Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5567722763,140,45.8,5567722765,141,19.8,5567722759,3,,5567722767,212,13.5,5567722769,213,5.92,5567722761,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785800363,318,1,1,0,10,2n3wgr89m7jl8tmioemit2pgq,1,50.9,83.0,2025-03-09T00:06:35.453Z,2025-03-09T00:45:27Z,16si0dgkuqvahp0x1bjr37xuc,Junior Moreira,,,5567820343,212,8.3,5567820345,213,0.32,5567820337,56,Left,5567820339,140,58.4,5567820341,141,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
